ticker,period,model_key,strategy,metric,n,mean,std
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,profit,20,619.0777179999993,573.5752293648799
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,arr,20,15.895076024394637,13.85204241432778
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,volatility,20,15.395711488548603,11.39047861076616
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,sharpe,20,-9.514789031933669,43.59075061487044
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,max_drawdown,20,16.79685753718834,12.389686340843369
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,violations,20,4.85,5.450977700810822
ACB,GOOD,EPSILON_GREEDY,Epsilon-Greedy,profit,20,581.3106059999993,582.0065786591057
ACB,GOOD,EPSILON_GREEDY,Epsilon-Greedy,arr,20,14.913088039780172,14.014991778454409
ACB,GOOD,EPSILON_GREEDY,Epsilon-Greedy,volatility,20,14.27230102452997,11.264256822056346
ACB,GOOD,EPSILON_GREEDY,Epsilon-Greedy,sharpe,20,-0.09268124107529957,2.0944056066145857
ACB,GOOD,EPSILON_GREEDY,Epsilon-Greedy,max_drawdown,20,15.090676367209642,11.939634369931097
ACB,GOOD,EPSILON_GREEDY,Epsilon-Greedy,violations,20,4.45,5.510516261992538
ACB,GOOD,BUY_AND_HOLD,Buy-and-Hold,profit,1,1459.72136,0.0
ACB,GOOD,BUY_AND_HOLD,Buy-and-Hold,arr,1,35.05284239664164,0.0
ACB,GOOD,BUY_AND_HOLD,Buy-and-Hold,volatility,1,30.337253975135685,0.0
ACB,GOOD,BUY_AND_HOLD,Buy-and-Hold,sharpe,1,1.087446626256321,0.0
ACB,GOOD,BUY_AND_HOLD,Buy-and-Hold,max_drawdown,1,33.062682008317466,0.0
ACB,GOOD,BUY_AND_HOLD,Buy-and-Hold,violations,1,13.0,0.0
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,profit,20,24.310413999999827,70.58724594491952
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,arr,20,1.1617456870262433,3.528001680214522
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,volatility,20,14.591571092376393,10.507862078790206
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,sharpe,20,-6.5809541418820485,27.849636499153117
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,max_drawdown,20,19.598333238915068,14.322426413860574
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,violations,20,3.0,3.7416573867739413
ACB,BAD,EPSILON_GREEDY,Epsilon-Greedy,profit,20,21.47007699999986,60.62678969916778
ACB,BAD,EPSILON_GREEDY,Epsilon-Greedy,arr,20,1.0348880874679947,3.0359089669633073
ACB,BAD,EPSILON_GREEDY,Epsilon-Greedy,volatility,20,14.556537955102073,9.452080425458265
ACB,BAD,EPSILON_GREEDY,Epsilon-Greedy,sharpe,20,-0.16944084513610114,0.4184473684047342
ACB,BAD,EPSILON_GREEDY,Epsilon-Greedy,max_drawdown,20,19.88578007923641,12.921025715285099
ACB,BAD,EPSILON_GREEDY,Epsilon-Greedy,violations,20,2.55,3.6487200351269538
ACB,BAD,BUY_AND_HOLD,Buy-and-Hold,profit,1,35.003020000000106,0.0
ACB,BAD,BUY_AND_HOLD,Buy-and-Hold,arr,1,1.7508112917253182,0.0
ACB,BAD,BUY_AND_HOLD,Buy-and-Hold,volatility,1,28.345936000888788,0.0
ACB,BAD,BUY_AND_HOLD,Buy-and-Hold,sharpe,1,0.1328033608307271,0.0
ACB,BAD,BUY_AND_HOLD,Buy-and-Hold,max_drawdown,1,38.368003989012514,0.0
ACB,BAD,BUY_AND_HOLD,Buy-and-Hold,violations,1,9.0,0.0
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,profit,20,1051.7204260000003,998.5815046524034
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,arr,20,23.749626720413584,21.2123208461926
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,volatility,20,14.872473903864792,10.542126770028243
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,sharpe,20,-0.6541371475377086,5.8367259432338106
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,max_drawdown,20,18.980743658296124,14.01364148290857
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,violations,20,3.55,3.2032056312059445
