ticker,period,model_key,model,strategy,seed,episodes,gamma,beta_0,beta_decay,beta_min,epsilon_init,epsilon_decay,epsilon_min,vae_latent_dim,vae_lr,vae_beta_kl,train_profit,train_roi,train_arr,train_volatility,train_sharpe,train_max_drawdown,train_violations,test_profit,test_roi,test_arr,test_volatility,test_sharpe,test_max_drawdown,test_violations,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,cost_loss_mean,novelty_mean,finite,elapsed_seconds
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,41,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,2599.001460000002,259.90014600000023,15.302926416785855,19.423499149829347,0.7355450831275439,36.34100780973933,13,56.76125000000002,5.676125000000002,2.8243732409456657,28.074766010026924,0.16881196549578825,36.739786011389064,9,2542.240210000002,254.22402100000022,12.47855317584019,0.5667331176317556,5.738690166330442,0.18596656096392664,0.035351155274387064,4.45996624477243,True,413.90026828900045
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,42,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,227.44793999999797,22.744793999999796,2.304798591566337,9.645985213025781,0.07971197350252421,29.103061589521733,5,142.24186999999915,14.224186999999915,6.939539823499086,22.460663269770865,0.32283842863227796,23.523206102604394,6,85.20606999999882,8.520606999999881,-4.634741231932749,-0.24312645512975375,1.184576726939966,0.17109590049447684,0.040657286461571164,3.9258399937613335,True,413.7822431959994
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,43,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,205.50942999999916,20.550942999999915,2.0998571018436607,5.113386052282297,0.045240423434699105,10.115128128487301,0,123.42532000000028,12.342532000000029,6.047148280116055,17.756631539367667,0.3078527522058185,16.569777314507288,0,82.08410999999887,8.208410999999886,-3.947291178272394,-0.2626123287711194,0.9832732907936903,0.18747500869734535,0.048535427987447075,4.109835477848478,True,413.4938496859995
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,44,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,3248.9026300000005,324.89026300000006,17.4508989182679,23.177023484455482,0.7316169564765067,45.94131085582141,21,-5.272879999999759,-0.527287999999976,-0.2663593988650126,26.328422585169886,0.04576642188465275,40.674602654601486,8,3254.17551,325.41755100000006,17.717258317132913,0.685850534591854,8.562393793316534,0.19883049572336262,0.05519485612367762,4.350759692938931,True,415.1073142130008
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,45,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,3776.3202100000008,377.63202100000007,18.988915831700748,25.340336809714387,0.7416473641805136,47.81356860633925,23,73.37108999999987,7.337108999999986,3.6365582436058252,28.587304600805748,0.1985155554954508,38.595371716456,9,3702.949120000001,370.29491200000007,15.352357588094922,0.5431318086850627,10.582750453642156,0.20308366592588095,0.043618047279145186,4.330334364301578,True,414.65077324900085
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,46,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,304.1218199999955,30.412181999999554,2.9963667847776154,5.0216578701526915,0.2212668297710281,16.808945657518166,0,-26.965630000000147,-2.6965630000000145,-1.3695990874690422,1.9300873432367405,-1.7432202417827871,4.017361148274095,0,331.08744999999567,33.108744999999566,4.365965872246658,1.9644870715538152,0.3401911034746409,0.1827864479402016,0.06406018696083077,3.766171411512193,True,414.78039559100034
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,47,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,853.8124000000005,85.38124000000005,7.10394994774981,14.927900665905492,0.4055080955365041,31.482107178464464,7,18.506199999999467,1.8506199999999466,0.9293757338403985,23.92609032365396,0.07499703906749089,28.506095563033984,8,835.306200000001,83.5306200000001,6.174574213909412,0.3305110564690132,2.4645658786356863,0.1955820282985424,0.056288776450372974,3.9800881756705584,True,413.60445195399916
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,48,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,152.6371400000021,15.263714000000208,1.5919810975108861,3.7517010517215206,-0.08875652525511168,7.820753081312461,0,-134.26938000000087,-13.426938000000085,-7.015554925036859,12.332469347815927,-0.6917544643238248,24.42386554734435,0,286.90652000000296,28.69065200000029,8.607536022547745,0.6029979390687131,10.542596133288397,0.22388247970877023,0.04874242739430789,3.6809250968527123,True,416.2088006649992
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,49,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,1693.2859899999949,169.32859899999949,11.645676489206359,18.28804091589007,0.5910510038132764,36.41925433286006,8,15.976620000000253,1.5976620000000255,0.802837586760563,4.681841135293511,-0.23253807297336213,6.6842154175956265,0,1677.3093699999945,167.73093699999947,10.842838902445795,0.8235890767866385,3.2714156232018996,0.20117216130782817,0.05175264573431221,3.6914500823722523,True,415.1249926349992
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,50,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,-28.363749999999527,-2.836374999999953,-0.3194163439898867,1.4848076358005937,-1.5573731195887164,6.067317838741857,0,22.184229999999843,2.2184229999999845,1.1130857347291467,1.0098391231145096,-0.8759631331100969,0.8608341205645755,0,-50.54797999999937,-5.054797999999938,-1.4325020787190335,-0.6814099864786195,0.0516711047013365,0.18133808877961388,0.04639938731902632,3.901095556142166,True,415.30070586799957
