config_id,vae_latent_dim,vae_lr,vae_beta_kl,vae_batch_size,bootstrap_trajectories,bootstrap_updates,online_aux_updates,vae_replay_capacity,seeds,val_profit_mean,val_roi_mean,val_arr_mean,val_sharpe_mean,val_sharpe_std,val_mdd_mean,val_violations_mean,train_sharpe_mean,gap_sharpe_mean,gap_arr_mean,vae_loss_last_mean,novelty_mean,novelty_std,finite_rate,score
vae_019,16,0.0001,0.05,256,5,100,1,50000,3,1160.486653333333,116.04866533333329,27.417195816140296,1.0825293441777504,0.44074802168197785,26.699128512480854,3.3333333333333335,0.320436892060948,-0.7620924521168023,-19.4166139765461,0.24258701503276817,6.326287447901829,3.4936950850197106,1.0,0.9957765849121338
vae_031,16,0.003,0.05,256,5,100,1,50000,3,1097.1104933333324,109.71104933333326,26.004327066213094,1.0236281467405386,0.4438407557875104,26.853821029182914,3.3333333333333335,0.368721407330663,-0.6549067394098755,-16.969854405785274,0.05885317176580427,24.383573254468285,21.034996725274215,1.0,0.9326285654658815
vae_027,16,0.001,0.05,256,5,100,1,50000,3,1080.0958499999995,108.00958499999996,25.568403144443405,1.014239277163264,0.4334310779929779,26.68521724457658,3.3333333333333335,0.3980218251561855,-0.6162174520070787,-16.48511360654409,0.08591458449761069,21.163338055232504,19.523550220677496,1.0,0.9275170138269514
vae_023,16,0.0003,0.05,256,5,100,1,50000,3,1104.0270866666663,110.40270866666664,26.169499086592197,1.0272394633675388,0.4428750632257808,27.265138814285024,3.3333333333333335,0.28994241831773415,-0.7372970450498046,-18.37129856879895,0.20516941199700034,11.85819371474089,10.55783455831889,1.0,0.9163906183358617
vae_039,32,0.0003,0.05,256,5,100,1,50000,3,1065.03034,106.503034,25.306859062621438,1.0143087108031559,0.41556140303639005,26.554978333792786,3.3333333333333335,0.328976346645152,-0.6853323641580037,-16.469052466543,0.1738458126783371,19.204664766442615,16.143949990183994,1.0,0.914334513527206
vae_015,8,0.003,0.05,256,5,100,1,50000,3,1017.685903333333,101.76859033333331,24.11999031265418,0.9638076316679092,0.3861125064539639,26.373041253672326,3.3333333333333335,0.3809379803121664,-0.5828696513557429,-15.33587323940416,0.07049333552519473,16.242672951806753,12.8544510410493,1.0,0.872036555354155
vae_047,32,0.003,0.05,256,5,100,1,50000,3,1032.965206666666,103.29652066666661,24.495920609615613,0.9794971354948245,0.43547800220765,26.676623955187182,3.3333333333333335,0.36047920432315067,-0.6190179311716737,-15.771129089060983,0.04780733709534007,41.037995021336314,41.05188044893699,1.0,0.8717672965042293
vae_043,32,0.001,0.05,256,5,100,1,50000,3,1017.8111966666662,101.78111966666665,24.175178451265186,0.9699892657449896,0.3999927058024456,26.42161668835264,3.3333333333333335,0.3435302219090253,-0.6264590438359642,-15.450169276252097,0.07365573445955907,35.371760807811334,34.31237856891936,1.0,0.8664196774497919
vae_011,8,0.001,0.05,256,5,100,1,50000,3,1008.6605899999998,100.86605899999999,23.84559898474896,0.9523414827908243,0.40860493025858574,26.465712087858304,3.3333333333333335,0.38074966398531007,-0.5715918188055144,-15.10735110465987,0.0978282714883486,13.37373600100833,11.658213713045349,1.0,0.8512453764054848
vae_007,8,0.0003,0.05,256,5,100,1,50000,3,997.7384866666666,99.77384866666667,23.68033891655159,0.9478327642477825,0.38669397572107866,26.527653318481445,3.3333333333333335,0.37686933019441504,-0.5709634340533675,-14.9463599141179,0.202060043811798,8.483281925291804,6.039111686372792,1.0,0.848737442158154
vae_035,32,0.0001,0.05,256,5,100,1,50000,3,1028.8938299999998,102.889383,24.383835696285704,0.9672073689611499,0.4454570892271807,26.824537652389182,3.3333333333333335,0.2628715073039269,-0.704335861657223,-16.694080087293347,0.244877427816391,6.922461504175499,4.206148050271447,1.0,0.8343524348834791
vae_003,8,0.0001,0.05,256,5,100,1,50000,3,980.9588366666663,98.09588366666664,23.233980407428007,0.9283882942096681,0.40260165361891265,26.352153347592704,3.3333333333333335,0.326729435369973,-0.601658858839695,-15.294843701259687,0.24015302459398902,6.041381167095373,3.4578079582699144,1.0,0.8113078296404479
