ticker,period,model_key,model,seed,episode,split,control,epsilon_ucb,action_coverage,ucb_total_transitions,profit,roi,arr,volatility,sharpe,max_drawdown,violations,flat_step_ratio,no_trade,near_zero_vol,collapse,trade_count,invalid_action_count,invalid_action_rate,turnover,exposure_ratio,q_scale_mean,exploration_bonus_mean,exploration_bonus_max
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,1,train,1.0,1.0,1.0,2247,3833.7019900000005,383.37019900000007,19.147016790981542,19.258151927073584,0.910247691255757,30.54384336752303,12,0.02091677792612372,False,False,False,2199,0,0.0,58.368009999999984,0.6827783849542759,0.30120303672143606,0.9630639361550026,1.0
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,1,test,1.0,1.0,1.0,2247,433.36905000000024,43.33690500000002,19.797425024625248,25.25839915459349,0.7686170012057308,28.756765544642683,4,0.0,False,False,False,498,0,0.0,31.280950000000026,0.9176889116704894,0.5489203970894277,0.9894069323534511,1.0
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,2,train,0.9045834549972122,0.8,1.0,4494,3854.191700000001,385.4191700000001,19.203067001287,19.237433480030948,0.9134848917374546,30.421255292465084,12,0.02358700489541611,False,False,False,2193,0,0.0,58.74830000000002,0.6802905097079825,0.2952726402506066,0.8710267509019128,0.9045834541320801
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,2,test,0.9045834549972122,0.8,1.0,4494,433.36905000000024,43.33690500000002,19.797425024625248,25.25839915459349,0.7686170012057308,28.756765544642683,4,0.0,False,False,False,498,0,0.0,31.280950000000026,0.9176889116704894,0.5421288328237802,0.8950331078127555,0.9045834541320801
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,3,train,0.8182712270546932,0.6400000000000001,1.0,6741,3197.786500000001,319.77865000000014,17.292946689992238,18.893726604953645,0.8403956519868443,31.08305377793532,12,0.024922118380062305,False,False,False,2190,0,0.0,54.77349999999997,0.6569805819267418,0.28423803220418065,0.7856673157180876,0.8182712197303772
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,3,test,0.8182712270546932,0.6400000000000001,1.0,6741,416.29583,41.629583000000004,19.079368980903944,25.56935030149914,0.738686355040807,28.73766567291315,5,0.0,False,False,False,498,0,0.0,31.234170000000017,0.9267645860460106,0.5362113590341017,0.8096791892188359,0.8182712197303772
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,4,train,0.7401946136939427,0.5120000000000001,1.0,8988,3774.8577399999995,377.48577399999994,18.984864348962272,19.18634946630609,0.9057807004550773,30.43137365427126,12,0.027592345349354695,False,False,False,2184,0,0.0,57.90225999999998,0.677028204776321,0.28350712952478013,0.7125734728594286,0.7401946187019348
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,4,test,0.7401946136939427,0.5120000000000001,1.0,8988,439.07133999999996,43.907134,20.036298428254383,25.297081465670683,0.7757476382003751,27.89244664291404,5,0.0,False,False,False,498,0,0.0,31.128660000000032,0.9165492303482129,0.5283072846062691,0.7324303244425895,0.7401946187019348
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,5,train,0.6695678010255933,0.4096000000000001,1.0,11235,3758.994529999999,375.8994529999999,18.94084746657456,19.129589652190973,0.9059517714549745,30.33375108668725,12,0.02848242100578549,False,False,False,2180,0,0.0,57.65547000000001,0.6739058505539137,0.27794303241031243,0.6444323595075028,0.6695678234100342
FPT,BAD,UCB_WITHOUT_CONFIDENCE_WEIGHTING,UCB-VAE without Confidence Weighting,41,5,test,0.6695678010255933,0.4096000000000001,1.0,11235,438.26793999999995,43.826794,20.0026719518279,25.102065905505132,0.7786584606870065,27.14609411364492,5,0.0,False,False,False,498,0,0.0,31.13206000000003,0.9166483540445365,0.5220868248477518,0.6625709513888476,0.6695678234100342
