ticker,period,model_key,result_schema_version,model,strategy,seed,episodes,gamma,near_zero_vol_percent,collapse_flat_ratio,beta_0,beta_decay,beta_min,epsilon_init,beta_decay_transitions,beta_min_action_coverage,ucb_epsilon_init,ucb_epsilon_decay,ucb_epsilon_min,ucb_warmup_episodes,q_scale_floor,final_beta,final_ucb_epsilon,final_action_coverage,ucb_total_transitions,epsilon_decay,epsilon_min,vae_latent_dim,vae_lr,vae_beta_kl,train_profit,train_roi,train_arr,train_volatility,train_sharpe,train_max_drawdown,train_violations,train_flat_step_ratio,train_no_trade,train_near_zero_vol,train_collapse,train_trade_count,train_invalid_action_count,train_invalid_action_rate,train_turnover,train_exposure_ratio,train_q_scale_mean,train_exploration_bonus_mean,train_exploration_bonus_max,test_profit,test_roi,test_arr,test_volatility,test_sharpe,test_max_drawdown,test_violations,test_flat_step_ratio,test_no_trade,test_near_zero_vol,test_collapse,test_trade_count,test_invalid_action_count,test_invalid_action_rate,test_turnover,test_exposure_ratio,test_q_scale_mean,test_exploration_bonus_mean,test_exploration_bonus_max,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,cost_loss_mean,novelty_mean,finite,elapsed_seconds
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,41,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,387.39841000000115,38.73984100000011,5.623323500730493,19.74054573056447,0.27699091687462774,36.47796173683919,11,0.046822742474916385,False,False,False,1423,0,0.0,32.511590000000034,0.48031934805810905,0.22387285957168976,0.09552841279627379,0.10000000149011612,813.77782,81.377782,21.882063323210097,26.128312762363702,0.8181183054448053,36.26245360521184,8,0.0,False,False,False,752,0,0.0,34.24218000000002,0.9432920122031051,0.44867800449595807,0.09890873502035638,0.10000000149011612,-426.37940999999887,-42.637940999999884,-16.258739822479605,-0.5411273885701776,0.012166266038871578,0.1879422952388895,0.034703490552331864,5.187838684140599,True,431.001515637
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,42,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,-56.03027999999904,-5.603027999999903,-0.9588115706033906,9.404418675923806,-0.26901348033657346,30.055652112315112,2,0.12842809364548494,False,False,False,860,0,0.0,32.07028000000005,0.1335136341535718,0.16443848193289842,0.09610962577007867,0.10000000149011612,1007.1623299999987,100.71623299999987,26.0557217826344,14.429189532171188,1.5517758591064457,9.126759020387446,0,0.0,False,False,False,752,0,0.0,57.34767000000005,0.4735261160920513,0.2871481966960462,0.0989802122193549,0.10000000149011612,-1063.1926099999978,-106.31926099999978,-27.01453335323779,-1.820789339443019,0.0045898796691930055,0.1745211845841901,0.0433499440936179,4.894893070917065,True,428.59120927999993
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,43,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,589.206080000002,58.92060800000019,8.047419297131375,13.74575158497629,0.49123808763629057,26.161846453353487,2,0.04414715719063545,False,False,False,1233,0,0.0,40.99391999999997,0.30222170368326073,0.18357882494711159,0.09641425570670722,0.10000000149011612,878.5737099999999,87.85737099999999,23.312231046144618,18.285983513468533,1.1375929046937927,21.799861430591722,0,0.03590425531914894,False,False,False,506,0,0.0,39.64629,0.6382322533059097,0.3589320756653522,0.09881683761466518,0.10000000149011612,-289.3676299999979,-28.936762999999793,-15.264811749013242,-0.6463548170575022,0.0060694669800189635,0.185546921244983,0.049939151647789726,5.076873655965987,True,431.2746521639999
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,44,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,620.4232999999992,62.04232999999992,8.399176888148329,19.40011708734176,0.4132900452048517,28.31593361209252,6,0.0,False,False,False,1495,0,0.0,48.77669999999996,0.585660918917179,0.21306158230705405,0.09674498591154097,0.10000000149011612,829.7104799999997,82.97104799999997,22.236850024088373,22.563671282800993,0.9216106449961644,23.69209636860193,2,0.0,False,False,False,752,0,0.0,61.57952000000004,0.8465365939852986,0.41453888621973867,0.0990016147452884,0.10000000149011612,-209.2871800000005,-20.928718000000046,-13.837673135940044,-0.5083205997913127,0.011911775976747136,0.19562303105304982,0.05605722275915845,5.060162112952662,True,428.009570078
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,45,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,164.98277000000076,16.498277000000076,2.5843380647051495,21.571614737000893,0.13446739253531273,35.97442889900224,11,0.023411371237458192,False,False,False,1283,0,0.0,62.64723000000006,0.5038201381532725,0.2676192607269638,0.09678064726086945,0.10000000149011612,817.4099899999999,81.74099899999999,21.963126628815143,24.86493494758205,0.8495027032197157,38.151466817164774,7,0.0,False,False,False,752,0,0.0,109.18000999999991,0.897327634389897,0.4646256247416456,0.09898086261757194,0.10000000149011612,-652.4272199999991,-65.24272199999992,-19.378788564109993,-0.715035310684403,0.017171617196571013,0.18552874665835808,0.044707648391867506,4.9671293608628115,True,425.6590444049998
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,46,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,259.5733200000034,25.95733200000034,3.9311986401486365,10.491245075727159,0.23239031761055745,16.468049148352044,0,0.016053511705685617,False,False,False,1439,0,0.0,35.466680000000004,0.2745431283608027,0.18888673364717426,0.09600339175430465,0.10000000149011612,152.3726400000014,15.237264000000142,4.826301838856439,10.977621564385,0.30550591121811077,8.010604222702517,0,0.03324468085106383,False,False,False,727,0,0.0,48.76736,0.34708593544411526,0.3148578075454273,0.0986964271865007,0.10000000149011612,107.20068000000197,10.720068000000197,-0.8951031987078029,-0.07311559360755332,0.007485575803514587,0.1811626364444864,0.06331646695476154,5.0695159370421905,True,427.8510989670003
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,47,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,674.1690200000005,67.41690200000005,8.991776266264196,14.7661234520731,0.5263359241268906,16.599358477489755,0,0.01137123745819398,False,False,False,1440,0,0.0,68.17097999999993,0.41104333920704456,0.22149717747965783,0.09706322472892513,0.10000000149011612,341.84868000000006,34.18486800000001,10.266087405063518,13.335684286421204,0.6558374609876146,23.51462998966933,2,0.2220744680851064,False,False,False,379,0,0.0,35.75132000000001,0.3365669816517005,0.3699798140119999,0.09817150828196186,0.10000000149011612,332.32034000000044,33.23203400000004,-1.2743111387993213,-0.12950153686072408,0.00879520006662157,0.19537256534757286,0.056477864613306936,5.131700853343397,True,426.61114991700015
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,48,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,1654.8472000000002,165.48472,17.720221267740712,26.502722609555956,0.6779990190249561,35.291491227516595,14,0.020066889632107024,False,False,False,1390,0,0.0,36.652799999999964,0.8247311854981413,0.2377315845776561,0.0976512465058543,0.10000000149011612,378.11427999999955,37.81142799999996,11.247718035726638,13.813460377846562,0.7022135471358403,15.928698798432087,0,0.15824468085106383,False,False,False,501,0,0.0,36.13572,0.3845555132400929,0.42225603434316655,0.09886507533141187,0.10000000149011612,1276.7329200000006,127.67329200000006,6.472503232014073,-0.024214528110884204,0.008232555086444202,0.20283151083979115,0.05080407012639374,4.746156766924222,True,425.1345247610002
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,49,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,559.6147700000013,55.96147700000012,7.708628415826824,18.490659971796415,0.3892574029144547,29.659666065586492,6,0.008026755852842809,False,False,False,1356,0,0.0,65.25522999999991,0.46152664963981344,0.21774637503269126,0.0968505890296382,0.10000000149011612,-65.03521000000069,-6.503521000000069,-2.210128880954376,5.393128330187461,-0.7615257571054636,10.67365339339602,0,0.18617021276595744,False,False,False,449,0,0.0,36.09520999999999,0.08882880028119895,0.3203886714466709,0.09877546044513295,0.10000000149011612,624.649980000002,62.46499800000019,9.9187572967812,1.1507831600199183,0.010077575328317902,0.19526803555159733,0.05198563207583181,4.837058977531972,True,432.0245170769999
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,50,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,67275,,,16,0.0001,0.05,292.75235000000157,29.275235000000155,4.3836915306213475,10.609285673575346,0.2725287428931067,27.24028260517621,1,0.005351170568561873,False,False,False,1487,0,0.0,55.197649999999925,0.22198440161356778,0.20373675135964137,0.0967355359906337,0.10000000149011612,3.801760000000513,0.3801760000000513,0.12619055997227235,3.7755530585444266,-0.47713226580910634,7.545182641464192,0,0.023936170212765957,False,False,False,718,0,0.0,44.35823999999999,0.07189340707465143,0.4035840414741889,0.09907437756664805,0.10000000149011612,288.95059000000106,28.895059000000103,4.257500970649075,0.7496610087022131,0.008880795376953082,0.18062572232608137,0.04927417186313662,4.945380477050978,True,430.32161494499996
