ticker,period,model_key,result_schema_version,model,strategy,seed,episodes,gamma,near_zero_vol_percent,collapse_flat_ratio,beta_0,beta_decay,beta_min,epsilon_init,beta_decay_transitions,beta_min_action_coverage,ucb_epsilon_init,ucb_epsilon_decay,ucb_epsilon_min,ucb_warmup_episodes,q_scale_floor,final_beta,final_ucb_epsilon,final_action_coverage,ucb_total_transitions,epsilon_decay,epsilon_min,vae_latent_dim,vae_lr,vae_beta_kl,train_profit,train_roi,train_arr,train_volatility,train_sharpe,train_max_drawdown,train_violations,train_flat_step_ratio,train_no_trade,train_near_zero_vol,train_collapse,train_trade_count,train_invalid_action_count,train_invalid_action_rate,train_turnover,train_exposure_ratio,train_q_scale_mean,train_exploration_bonus_mean,train_exploration_bonus_max,test_profit,test_roi,test_arr,test_volatility,test_sharpe,test_max_drawdown,test_violations,test_flat_step_ratio,test_no_trade,test_near_zero_vol,test_collapse,test_trade_count,test_invalid_action_count,test_invalid_action_rate,test_turnover,test_exposure_ratio,test_q_scale_mean,test_exploration_bonus_mean,test_exploration_bonus_max,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,cost_loss_mean,novelty_mean,finite,elapsed_seconds
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,41,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1115.5589299999992,111.55589299999993,8.688379456617024,14.543364238580656,0.5127321602259467,25.393673524053877,6,0.054294615042278595,False,False,False,1961,0,0.0,21.17107,0.18165656707080877,0.1728096124817649,0.0,0.0,-464.6603800000006,-46.46603800000006,-26.911551843299197,33.19112540120743,-0.8453491733217334,63.97174027643835,21,0.0,False,False,False,498,0,0.0,12.480379999999993,0.5265386432419663,0.2764100712765173,0.0,0.0,1580.21931,158.021931,35.59993129991622,1.35808133354768,0.012890507773651432,,0.03814253117246874,0.0,True,421.18616775099997
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,42,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,624.5784099999946,62.45784099999946,5.543542991470796,9.164911385750685,0.42136002110550047,28.28859962431105,0,0.21673342234089898,False,False,False,1375,0,0.0,34.131589999999974,0.11848751268006844,0.152292761223869,0.0,0.0,-190.1003499999997,-19.01003499999997,-10.038149749797709,40.883382477390356,-0.10485861201503346,65.92526096178597,30,0.018072289156626505,False,False,False,309,0,0.0,12.650349999999998,0.767515289477696,0.2525801722663473,0.0,0.0,814.6787599999943,81.46787599999944,15.581692741268505,0.526218633120534,0.004377092557950635,,0.04687211319868421,0.0,True,416.724072256
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,43,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,3192.5053100000023,319.25053100000025,17.276530168738358,18.18365431314895,0.8650266678581262,33.185499710763395,4,0.03337783711615487,False,False,False,2075,0,0.0,42.90469,0.3914932197929017,0.17567067320114993,0.0,0.0,1.9035999999995283,0.19035999999995282,0.09546160177964502,34.320684666490834,0.11701000921828385,60.23690936468693,18,0.05622489959839357,False,False,False,230,0,0.0,10.546400000000002,0.5803098291196217,0.27301230157415074,0.0,0.0,3190.6017100000026,319.0601710000003,17.181068566958714,0.7480166586398423,0.0064088249721357396,,0.05205001952447768,0.0,True,415.9503353760001
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,44,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,2333.7104599999993,233.37104599999995,14.325443331824928,18.80446616014507,0.705656450492403,44.281065944892354,11,0.0004450378282153983,False,False,False,2238,0,0.0,48.70953999999997,0.4443475829773549,0.17850724276955995,0.0,0.0,76.59736000000066,7.659736000000067,3.7723595795256637,25.220333406672925,0.19477685785716434,31.888890854806355,1,0.0,False,False,False,498,0,0.0,21.29264,0.5226084735895878,0.2922988476074604,0.0,0.0,2257.1130999999987,225.71130999999988,10.553083752299266,0.5108795926352386,0.008328577547577026,,0.04610462062189291,0.0,True,415.176774839
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,45,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,2117.052620000002,211.7052620000002,13.474436552634138,20.581499663936352,0.6249135892982899,34.90413553497246,18,0.01290609701824655,False,False,False,2005,0,0.0,47.42738000000002,0.3047717260443247,0.28510003834034425,0.0,0.0,-264.32329000000016,-26.432329000000017,-14.273597122775383,44.8727434402874,-0.16549355079695804,68.22895405935306,34,0.002008032128514056,False,False,False,444,0,0.0,34.32328999999998,0.8871000367130331,0.3563098184554931,0.0,0.0,2381.3759100000025,238.1375910000002,27.748033675409523,0.7904071400952479,0.016101045909705628,,0.04647853492020533,0.0,True,415.3571074650001
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,46,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1185.1168899999984,118.51168899999985,9.080028672629915,12.42901517871474,0.6064581399109115,32.545356098473455,0,0.0053404539385847796,False,False,False,2208,0,0.0,43.77310999999997,0.322276340631677,0.17239513000681445,0.0,0.0,-110.93672999999899,-11.093672999999898,-5.728883651468442,10.651837670649837,-0.692786782630299,25.800385506871176,0,0.07228915662650602,False,False,False,417,0,0.0,14.51673,0.1737762030894611,0.241468766098281,0.0,0.0,1296.0536199999974,129.60536199999976,14.808912324098356,1.2992449225412104,0.007049978698997609,,0.07865969622186546,0.0,True,413.76231385400024
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,47,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1232.4041399999996,123.24041399999996,9.34000220262028,17.457191610876375,0.4884879249940397,44.59580060132961,9,0.0035603026257231864,False,False,False,2177,0,0.0,67.39585999999993,0.4287960726234049,0.18787979234124375,0.0,0.0,88.78694999999993,8.878694999999993,4.360195887846974,34.74505358353778,0.24003542207020273,46.80053103509921,14,0.030120481927710843,False,False,False,348,0,0.0,18.09304999999999,0.6677845965173753,0.3055312328609118,0.0,0.0,1143.6171899999997,114.36171899999997,4.979806314773306,0.24845250292383697,0.008140324732399385,,0.042479233501543257,0.0,True,414.3608272050001
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,48,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,6032.14167,603.214167,24.21822296715037,27.633821510534375,0.8573076132051596,63.379587485131324,28,0.012016021361815754,False,False,False,2056,0,0.0,41.988329999999976,0.7783558547206696,0.23124396127226302,0.0,0.0,-26.289860000000544,-2.6289860000000544,-1.327761744253808,5.472395702784685,-0.584357494973964,9.383520371969015,0,0.25100401606425704,False,False,False,331,0,0.0,11.82986,0.06304539560798383,0.32639672496472016,0.0,0.0,6058.431530000001,605.843153,25.54598471140418,1.4416651081791236,0.009143711693378676,,0.05820381478245916,0.0,True,414.39610176899987
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,49,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,481.9421499999987,48.19421499999987,4.470638957557038,16.142255144264446,0.23034629329160078,34.075569081459875,13,0.018691588785046728,False,False,False,1928,0,0.0,58.54785000000005,0.3762736983402627,0.18309075220205756,0.0,0.0,188.2504199999994,18.82504199999994,9.039187747628885,20.040917721610896,0.4356246103241872,22.733709359518006,3,0.05622489959839357,False,False,False,383,0,0.0,17.779579999999992,0.23922610948502446,0.2211432009486549,0.0,0.0,293.6917299999993,29.369172999999932,-4.568548790071847,-0.20527831703258642,0.007990101886263553,,0.04261005812742073,0.0,True,411.3065000249999
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,50,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,2616.7587000000026,261.67587000000026,15.366042242082134,16.95770749478873,0.8171667194321834,31.80337027383987,11,0.0,False,False,False,2247,0,0.0,58.761300000000084,0.296296648359658,0.19844257582557642,0.0,0.0,-56.651289999999904,-5.6651289999999905,-2.883585200223582,3.7426986103275923,-1.304066605464215,9.450182999999948,0,0.08433734939759036,False,False,False,444,0,0.0,17.881290000000003,0.03923625604521719,0.28950652851158354,0.0,0.0,2673.4099900000024,267.34099900000024,18.249627442305716,2.1212333248963984,0.008474472325861477,,0.05535710437287544,0.0,True,408.5039663100001
