ticker,period,model_key,model,seed,episode,split,control,epsilon_ucb,action_coverage,ucb_total_transitions,profit,roi,arr,volatility,sharpe,max_drawdown,violations,flat_step_ratio,no_trade,near_zero_vol,collapse,trade_count,invalid_action_count,invalid_action_rate,turnover,exposure_ratio,q_scale_mean,exploration_bonus_mean,exploration_bonus_max
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,1,train,1.0,1.0,1.0,2247,3593.8277199999984,359.3827719999998,18.474629964590015,23.550588597014446,0.7587518434204107,53.75198409051888,16,0.0,False,False,False,2247,0,0.0,33.29227999999996,0.6006166060207595,0.290599897168958,0.0,0.0
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,1,test,1.0,1.0,1.0,2247,-168.47243000000003,-16.847243000000002,-8.840748164644863,44.16743722436732,-0.035090821403226904,61.92823838152939,30,0.0,False,False,False,498,0,0.0,12.722430000000006,0.915183193912988,0.3809690529622706,0.0,0.0
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,2,train,0.9045834549972122,0.8,1.0,4494,3572.4822299999987,357.2482229999998,18.41329471461495,23.302538756499075,0.762097524239099,52.93150339307293,14,0.0,False,False,False,2247,0,0.0,33.08776999999997,0.5940869316082669,0.2844062399004744,0.0,0.0
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,2,test,0.9045834549972122,0.8,1.0,4494,-168.56246,-16.856246,-8.845700179169713,44.2285769155569,-0.034562153798013334,61.92823838152939,30,0.0,False,False,False,498,0,0.0,12.722460000000007,0.9162906834517269,0.37712405280894545,0.0,0.0
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,3,train,0.8182712270546932,0.6400000000000001,1.0,6741,3398.14552,339.814552,17.902592443113807,24.61712384807925,0.7164959289544506,60.618649755837986,21,0.0,False,False,False,2247,0,0.0,33.534479999999995,0.5942693176271813,0.27470691733204844,0.0,0.0
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,3,test,0.8182712270546932,0.6400000000000001,1.0,6741,-168.47243000000003,-16.847243000000002,-8.840748164644863,44.16743722436732,-0.035090821403226904,61.92823838152939,30,0.0,False,False,False,498,0,0.0,12.722430000000006,0.915183193912988,0.37216760511379166,0.0,0.0
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,4,train,0.7401946136939427,0.5120000000000001,1.0,8988,3041.74617,304.17461699999996,16.799967389361846,28.370582223524504,0.6233444960190312,71.51373821989058,32,0.0,False,False,False,2247,0,0.0,33.54382999999998,0.7003931305271259,0.30493470121541444,0.0,0.0
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,4,test,0.7401946136939427,0.5120000000000001,1.0,8988,-169.08339999999998,-16.90834,-8.874359235801254,44.13074678742156,-0.03634056159746506,61.92823838152939,30,0.0,False,False,False,498,0,0.0,12.683400000000004,0.9128427718781102,0.3676543207652119,0.0,0.0
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,5,train,0.6695678010255933,0.4096000000000001,1.0,11235,3182.713349999998,318.2713349999998,17.246043275243817,28.320422962182345,0.6375109210543589,71.54091429368191,33,0.0,False,False,False,2247,0,0.0,33.45664999999998,0.6853552869673072,0.3016816381220824,0.0,0.0
SSI,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,5,test,0.6695678010255933,0.4096000000000001,1.0,11235,-142.45461,-14.245461,-7.420685964039031,44.41627902375858,0.002600649614797036,61.60796130848048,30,0.0,False,False,False,498,0,0.0,12.694610000000004,0.9163761536580282,0.36315427190927135,0.0,0.0
