model_key,model,seed,episode,split,control,profit,roi,arr,sharpe,max_drawdown,violations
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,1,train,0.03,1554.7218299999995,155.47218299999994,10.991929778899244,0.5002724856028582,54.24679395944203,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,1,test,0.03,-186.85281999999984,-18.685281999999983,-9.909015275473509,-0.12292360363148237,68.33010363847293,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,2,train,0.027,1556.9327599999992,155.6932759999999,11.00260583027357,0.5006588350602634,54.247421066424906,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,2,test,0.027,-186.70266999999978,-18.670266999999978,-9.90062320153423,-0.12328247764641419,68.32117501803909,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,3,train,0.024300000000000002,1556.5601799999995,155.65601799999996,11.000807305681025,0.5004959101440192,54.261447632362135,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,3,test,0.024300000000000002,-186.70266999999978,-18.670266999999978,-9.90062320153423,-0.12328247764641419,68.32117501803909,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,4,train,0.02187,1555.4685799999993,155.54685799999993,10.995536573881704,0.50009961264268,54.28976539758854,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,4,test,0.02187,-186.8014499999997,-18.68014499999997,-9.90614405461374,-0.1234282291706921,68.32117501803909,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,5,train,0.019683,1557.281969999999,155.7281969999999,11.004291331338889,0.5004646124236348,54.34643344312941,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,5,test,0.019683,-186.90993999999978,-18.69099399999998,-9.912207986333044,-0.12358830236535048,68.32117501803909,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,6,train,0.0177147,1556.7303399999992,155.67303399999992,11.00162873386379,0.5002733655342941,54.36561431384111,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,6,test,0.0177147,-184.40133999999978,-18.44013399999998,-9.772094874336812,-0.11940489790441026,68.32117501803909,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,7,train,0.015943230000000003,1561.7533399999993,156.1753339999999,11.025854838037619,0.5012700009098746,54.375520907049676,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,7,test,0.015943230000000003,-184.6213399999998,-18.46213399999998,-9.784374008274755,-0.11973499047135183,68.32117501803909,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,8,train,0.014348907000000001,1482.3548900000005,148.23548900000006,10.63787197949293,0.4857028808544559,54.31941479558079,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,8,test,0.014348907000000001,-183.97352999999976,-18.397352999999974,-9.748221680037151,-0.11879588165023897,68.32117501803909,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,9,train,0.012914016300000003,1508.1402300000004,150.81402300000005,10.765067341885315,0.4905307082015131,54.336918073723304,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,9,test,0.012914016300000003,-184.35390999999981,-18.43539099999998,-9.769447819754372,-0.1187778739025458,68.33010363847293,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,10,train,0.011622614670000002,1507.5292100000001,150.75292100000001,10.762066740528308,0.4902956019822586,54.43742700099505,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,10,test,0.011622614670000002,-182.39780999999994,-18.239780999999994,-9.660344804411093,-0.11576577421219411,68.33010363847293,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,11,train,0.010460353203000003,1528.6089499999998,152.86089499999997,10.865211741231828,0.49488857760623184,54.37033965051234,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,11,test,0.010460353203000003,-174.26213999999982,-17.42621399999998,-9.207953075066023,-0.10170266532504763,68.33010363847293,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,12,train,0.01,1660.0082599999996,166.00082599999996,11.491447935505228,0.518983961734521,54.56722479125803,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,12,test,0.01,-173.28277999999978,-17.328277999999976,-9.153644042008002,-0.09988036207485003,68.33010363847293,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,13,train,0.01,1553.9187500000003,155.39187500000003,10.988049864688488,0.49962739736379225,54.372023912466204,15
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,13,test,0.01,-173.25785999999982,-17.325785999999983,-9.15226255444097,-0.09983031744686227,68.33010363847293,18
UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,14,train,0.01,1557.5730300000005,155.75730300000006,11.005696008631105,0.5000959982032098,54.4370951128417,15
