ticker,period,model_key,model,seed,episode,split,control,profit,roi,arr,volatility,sharpe,max_drawdown,violations
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,1,train,0.03,1213.7904099999992,121.37904099999992,14.200361368825899,16.158648995947793,0.7858799702957726,26.83589713129982,3
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,1,test,0.03,1433.1849899999997,143.31849899999997,34.56464062996068,29.70151093775919,1.0919348602567611,32.96815891081788,13
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,2,train,0.027,1210.0299299999997,121.00299299999998,14.167925781572022,16.1317287969365,0.7851446637864018,26.755924687821093,3
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,2,test,0.027,1433.1849899999997,143.31849899999997,34.56464062996068,29.70151093775919,1.0919348602567611,32.96815891081788,13
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,3,train,0.024300000000000002,1211.59058,121.159058,14.181392564341921,16.192025941818674,0.7835635086451709,26.93374358092492,3
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,3,test,0.024300000000000002,1443.6868799999993,144.36868799999993,34.75827075198274,29.742384762271328,1.095727509617361,32.96667782717061,13
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,4,train,0.02187,1212.5233099999996,121.25233099999997,14.189437273549288,16.157100018888315,0.7853516041951742,26.93585955032871,3
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,4,test,0.02187,1443.6868799999993,144.36868799999993,34.75827075198274,29.742384762271328,1.095727509617361,32.96667782717061,13
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,5,train,0.019683,1199.0069799999992,119.90069799999992,14.072583009171558,16.133088046403035,0.7798629391592516,26.745324180737374,3
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,5,test,0.019683,1443.7829099999994,144.37829099999993,34.76003875914291,29.73936126091062,1.0958541616141801,32.94824445656815,13
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,6,train,0.0177147,1198.0255099999995,119.80255099999995,14.064074518971314,16.109744331496135,0.780292969248912,26.75450400158225,3
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,6,test,0.0177147,1443.7829099999994,144.37829099999993,34.76003875914291,29.73936126091062,1.0958541616141801,32.94824445656815,13
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,7,train,0.015943230000000003,1198.942799999999,119.89427999999988,14.072026721127173,16.08605254510237,0.781643885803204,26.74592427240357,3
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,7,test,0.015943230000000003,1443.8761399999994,144.38761399999993,34.761755171262564,29.73856206534759,1.0959189434041305,32.94824445656815,13
