model_key,model,seed,episodes,beta_0,epsilon_init,epsilon_decay,epsilon_min,profit,roi,arr,sharpe,max_drawdown,violations,q_loss_mean,vae_loss_mean,cost_loss_mean
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,44,45,0.03,,,,-96.84802000000002,-9.684802000000001,-5.009137328539881,-0.041392551333394464,56.116097222872426,12,11.173452713956804,0.12668422247315275,0.05440194775703652
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,45,45,0.03,,,,-169.30851999999993,-16.930851999999994,-8.933583522859445,-0.16043772474563492,53.78422988520411,13,30.72197378024712,0.1238253113010834,0.04266260998997966
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,46,45,0.03,,,,71.33382999999981,7.133382999999981,3.5372773739780428,0.29539693769575875,4.065446470232417,0,0.9262313811656413,0.12029789269998156,0.06359340599898634
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,47,45,0.03,,,,21.04316999999969,2.104316999999969,1.0561272417690448,0.1426170682787324,57.24930964133631,8,2.3026803504003723,0.125122978743808,0.0557823882919961
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,48,45,0.03,,,,51.96088000000009,5.196088000000009,2.58846931563399,0.1098877568610883,9.38747400000002,0,28.025321625032838,0.13345956573712414,0.04752175873868039
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,49,45,0.03,,,,37.83638999999994,3.7836389999999933,1.8912403417559176,0.08085426814357992,28.24509227441444,1,4.562611100112015,0.12951583343333212,0.050973494588558016
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,50,45,0.03,,,,3.4352800000000343,0.34352800000000344,0.17315882969992646,-2.662443738593441,0.5290185183296201,0,0.709038255668754,0.11911500990390778,0.047440067116684956
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,51,45,0.03,,,,60.82913000000008,6.082913000000008,3.023865197225284,0.5008674003588575,1.1787573080742935,0,20.546635031107655,0.12900475777428724,0.035248226348053795
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,52,45,0.03,,,,-198.26701000000003,-19.826701000000003,-10.54923242801008,-0.25481195212721686,57.357630537154336,13,33.262046348459926,0.1385685015341331,0.04458291178312281
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,53,45,0.03,,,,122.44143000000054,12.244143000000053,6.000283427356479,0.2776944346070825,43.59001807886558,6,15.36525821526011,0.1263115085918328,0.05081622709744963
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,54,45,0.03,,,,51.932399999999916,5.193239999999991,2.587068136966608,0.15591476148693187,3.832892669469648,0,0.3583635692026202,0.1232835360128304,0.05088485436963624
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,55,45,0.03,,,,-61.11760000000038,-6.1117600000000385,-3.1314827707877857,-0.1767403818198622,29.221678439003124,2,31.194911441905997,0.1326382143744107,0.05033467522147914
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,56,45,0.03,,,,44.902419999999665,4.4902419999999665,2.24062543602106,0.06785763702348728,5.714857674810453,0,1.484113062272081,0.13637279657454326,0.05594730266080848
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,57,45,0.03,,,,66.99209999999971,6.699209999999971,3.3253811999347738,0.1657977460888058,15.430235628900094,2,5.644591660719195,0.11952354717871239,0.04741794289057625
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,58,45,0.03,,,,-60.89003000000014,-6.089003000000013,-3.119638398647784,-0.007557318526952582,46.71555012773882,11,5.020220487861805,0.12325161865045284,0.046824685044201286
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,59,45,0.03,,,,-146.26526000000035,-14.626526000000034,-7.667798823114824,-0.44171415523577506,35.66589394615561,3,0.42641171442731396,0.11287866319561826,0.0479471067030882
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,60,45,0.03,,,,-58.594090000000165,-5.859409000000017,-3.0002207061198605,-0.01959301691334119,44.15334759046623,9,6.819109623520463,0.12192600284670961,0.04944280380832738
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,61,45,0.03,,,,-31.632070000000112,-3.163207000000011,-1.608510507714167,-0.3344739718188993,16.191011035349444,0,1.0678278496756253,0.11514299727719406,0.046162691423348313
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,62,45,0.03,,,,63.61456999999905,6.3614569999999055,3.16024674726616,0.1536533131443563,9.60040757552941,1,12.166394788689084,0.11237475836071475,0.04742545401998635
UNCERTAINTY_AWARE,Uncertainty-Aware UCB-VAE,63,45,0.03,,,,-169.15179,-16.915179,-8.924915860542548,-0.10966782353320349,66.16466333278291,17,22.314570046501395,0.1302822668233822,0.0650353252502351
