model,seed,episode,split,profit,roi,arr,sharpe,max_drawdown,violations
Uncertainty-Aware UCB-VAE,44,1,train,3197.6990899999964,319.76990899999964,17.292675126402845,0.7430952164404068,52.92632826477654,15
Uncertainty-Aware UCB-VAE,44,1,test,-0.9992099999997208,-0.09992099999997209,-0.050421525872312856,0.09333680314916125,49.01398104265823,10
Uncertainty-Aware UCB-VAE,44,2,train,3304.1342499999973,330.41342499999973,17.61968107370937,0.7585057331083865,51.957528077226044,14
Uncertainty-Aware UCB-VAE,44,2,test,-0.9992099999997208,-0.09992099999997209,-0.050421525872312856,0.09333680314916125,49.01398104265823,10
Uncertainty-Aware UCB-VAE,44,3,train,3186.248829999997,318.62488299999967,17.257058167329653,0.7434682226928604,53.26116841947989,15
Uncertainty-Aware UCB-VAE,44,3,test,-4.735549999999648,-0.47355499999996487,-0.23918422382772642,0.08884345531730853,49.28674626573139,10
Uncertainty-Aware UCB-VAE,44,4,train,3197.5444299999963,319.75444299999964,17.29219461958302,0.7440599963553135,53.20017691401847,15
Uncertainty-Aware UCB-VAE,44,4,test,-4.717899999999872,-0.4717899999999872,-0.2382917079310265,0.08890699908910825,49.20420107175766,10
Uncertainty-Aware UCB-VAE,44,5,train,3224.196329999997,322.4196329999997,17.37476694951001,0.747481296491633,53.12388542694285,15
Uncertainty-Aware UCB-VAE,44,5,test,-4.697879999999714,-0.46978799999997134,-0.23727935661659316,0.08923134156450113,49.28339755648591,10
Uncertainty-Aware UCB-VAE,44,6,train,3239.943479999997,323.9943479999997,17.423337057296308,0.7471826825428443,53.27547871612982,15
Uncertainty-Aware UCB-VAE,44,6,test,-2.9675599999998212,-0.2967559999999821,-0.1498203573447321,0.09181956165498684,49.300304671203165,10
Uncertainty-Aware UCB-VAE,44,7,train,3240.5820099999983,324.0582009999998,17.425303138467573,0.7476333488304766,53.20630430374973,15
Uncertainty-Aware UCB-VAE,44,7,test,-2.9675599999998212,-0.2967559999999821,-0.1498203573447321,0.09181956165498684,49.300304671203165,10
Uncertainty-Aware UCB-VAE,44,8,train,3240.7612499999977,324.07612499999976,17.42585498440752,0.7448695891107665,53.323927530495375,15
Uncertainty-Aware UCB-VAE,44,8,test,-2.9675599999998212,-0.2967559999999821,-0.1498203573447321,0.09181956165498684,49.300304671203165,10
Uncertainty-Aware UCB-VAE,44,9,train,3277.9835299999977,327.79835299999974,17.540008611865687,0.7497151901457653,53.160908275138084,15
Uncertainty-Aware UCB-VAE,44,9,test,-45.73469,-4.573469,-2.334021858023594,0.017767365521610477,49.29672038777398,9
Uncertainty-Aware UCB-VAE,44,10,train,3278.7240299999976,327.87240299999974,17.542270614559996,0.7499086043759636,53.12588206974953,15
Uncertainty-Aware UCB-VAE,44,10,test,-23.898949999999786,-2.389894999999979,-1.2129008827654664,0.05785367965978253,49.713533396548,10
Uncertainty-Aware UCB-VAE,44,11,train,3304.1041199999972,330.4104119999997,17.619589525570035,0.7532334160672148,53.2141350516127,14
Uncertainty-Aware UCB-VAE,44,11,test,-23.678959999999734,-2.3678959999999734,-1.2016694334250344,0.05795238322257738,49.69413191723613,10
Uncertainty-Aware UCB-VAE,44,12,train,3332.0879499999965,333.20879499999967,17.704372249277768,0.7572212417604586,52.87255725247575,14
Uncertainty-Aware UCB-VAE,44,12,test,-23.46442000000002,-2.346442000000002,-1.1907174380900165,0.056122237321986214,49.67521108732766,8
Uncertainty-Aware UCB-VAE,44,13,train,3304.0598299999974,330.4059829999997,17.61945495211341,0.7523038832743479,53.21653959920719,15
Uncertainty-Aware UCB-VAE,44,13,test,-14.059909999999832,-1.4059909999999831,-0.7117952090283874,0.07300720003561349,49.36401132388829,10
Uncertainty-Aware UCB-VAE,44,14,train,3379.5511899999974,337.95511899999974,17.847065146976384,0.7605148900992177,53.0278003588385,15
Uncertainty-Aware UCB-VAE,44,14,test,-22.01364999999987,-2.201364999999987,-1.116688735823479,0.060982997853750755,49.990112292135784,10
Uncertainty-Aware UCB-VAE,44,15,train,3363.4695399999973,336.34695399999976,17.798872099601425,0.7589601734815463,52.96027674862845,15
Uncertainty-Aware UCB-VAE,44,15,test,-22.01364999999987,-2.201364999999987,-1.116688735823479,0.060982997853750755,49.990112292135784,10
Uncertainty-Aware UCB-VAE,44,16,train,3363.059129999997,336.3059129999997,17.7976401296301,0.7588279067771577,52.980999348582046,15
Uncertainty-Aware UCB-VAE,44,16,test,-14.430869999999913,-1.4430869999999913,-0.730643256343344,0.07377158237059252,49.990112292135784,10
Uncertainty-Aware UCB-VAE,44,17,train,3392.787419999997,339.2787419999997,17.886613256420446,0.7618017483097193,52.86434703846994,15
Uncertainty-Aware UCB-VAE,44,17,test,-26.019059999999968,-2.601905999999997,-1.3212061062063851,0.05474925178267784,49.990112292135784,10
Uncertainty-Aware UCB-VAE,44,18,train,3395.036769999997,339.5036769999997,17.893323486079705,0.7622852039963067,52.949927482517886,15
Uncertainty-Aware UCB-VAE,44,18,test,-25.90415999999982,-2.590415999999982,-1.3153334798653327,0.051740994006789096,50.18037625605706,8
Uncertainty-Aware UCB-VAE,44,19,train,3421.4801099999977,342.14801099999977,17.971980863783934,0.7640148266310645,52.98831850325364,15
Uncertainty-Aware UCB-VAE,44,19,test,-35.656159999999886,-3.565615999999989,-1.814993511527374,0.03623324593591816,50.61994108769784,8
Uncertainty-Aware UCB-VAE,44,20,train,3379.829109999997,337.9829109999997,17.847896626519734,0.7561266592638655,53.4317896450492,15
Uncertainty-Aware UCB-VAE,44,20,test,-23.616639999999734,-2.3616639999999736,-1.1984879534599702,0.06283920967727802,50.64676829636673,10
Uncertainty-Aware UCB-VAE,44,21,train,3379.841209999998,337.9841209999998,17.847932826168567,0.7564099831892219,53.31795207772893,15
Uncertainty-Aware UCB-VAE,44,21,test,-67.84633999999994,-6.784633999999993,-3.4823397122203503,-0.005830480253136002,52.676123928004735,10
Uncertainty-Aware UCB-VAE,44,22,train,3416.3487499999974,341.63487499999974,17.956750066861392,0.759195048757147,53.222175520880214,15
Uncertainty-Aware UCB-VAE,44,22,test,-67.58038999999997,-6.758038999999997,-3.4684484971915563,-0.0053526942270153855,52.97179345571137,10
Uncertainty-Aware UCB-VAE,44,23,train,3366.3845599999977,336.63845599999974,17.807619452989766,0.7541734271874593,53.28771575131977,15
Uncertainty-Aware UCB-VAE,44,23,test,-68.27853999999991,-6.8278539999999905,-3.5049187585668884,-0.006122771137251546,52.97179345571137,10
Uncertainty-Aware UCB-VAE,44,24,train,3458.405619999997,345.84056199999964,18.081121419467404,0.7617128590670339,53.76437995179203,15
Uncertainty-Aware UCB-VAE,44,24,test,-75.38680999999985,-7.538680999999986,-3.877017240954328,-0.019488871007266314,52.8715732987805,10
Uncertainty-Aware UCB-VAE,44,25,train,3590.043509999997,359.0043509999997,18.463774715878568,0.7745749548150908,53.41964823927691,15
Uncertainty-Aware UCB-VAE,44,25,test,-68.24180999999987,-6.824180999999988,-3.5029997035630256,-0.005737431003783758,52.8715732987805,10
Uncertainty-Aware UCB-VAE,44,26,train,3625.5082999999977,362.5508299999998,18.565197247909015,0.7792764391689713,53.35489952825744,15
Uncertainty-Aware UCB-VAE,44,26,test,-66.44194000000016,-6.644194000000016,-3.4090066641740746,-0.0014952405896765438,52.74395344897599,10
Uncertainty-Aware UCB-VAE,44,27,train,3523.628969999998,352.3628969999998,18.271953781272487,0.7681813509502705,53.40587281420781,15
Uncertainty-Aware UCB-VAE,44,27,test,-65.98436000000004,-6.598436000000003,-3.38512518281634,-0.0008543411024822606,52.75696055180378,10
Uncertainty-Aware UCB-VAE,44,28,train,3520.0525799999978,352.00525799999974,18.261553450425193,0.7681367388704861,53.35797472815218,15
Uncertainty-Aware UCB-VAE,44,28,test,-66.67254000000014,-6.667254000000014,-3.421044068311352,-0.0013054557115100799,53.02812763069199,10
Uncertainty-Aware UCB-VAE,44,29,train,3524.439459999997,352.4439459999997,18.274309713149606,0.7685310679737425,53.378742309354365,15
Uncertainty-Aware UCB-VAE,44,29,test,-68.43840000000012,-6.843840000000013,-3.5132714994117964,-0.002962255477049164,53.09394490408811,11
Uncertainty-Aware UCB-VAE,44,30,train,3755.809589999998,375.5809589999998,18.931994249135077,0.7861753427282041,52.9567532058779,15
Uncertainty-Aware UCB-VAE,44,30,test,-87.82911999999988,-8.782911999999987,-4.531766654448999,-0.034005484777344566,53.521353431985005,12
Uncertainty-Aware UCB-VAE,44,31,train,3729.1554099999967,372.9155409999997,18.85769599744087,0.782262859128031,52.88593393913491,15
Uncertainty-Aware UCB-VAE,44,31,test,-85.91045999999994,-8.591045999999993,-4.4305140467931325,-0.029522249525844504,53.850984288597736,12
Uncertainty-Aware UCB-VAE,44,32,train,3813.1220099999964,381.3122009999996,19.090506666960373,0.7894353775145946,53.03549600058716,15
