Date,Open,High,Low,Close,Volume
2019-01-03,81.15930302125051,81.40732468976978,79.85542204068864,80.01132202148438,4546648
2019-01-04,81.42857105752186,83.25683286368941,81.09551359566288,83.13636779785156,4683779
2019-01-07,83.26392467269031,84.20640468911765,82.67576534166592,83.72453308105469,3923755
2019-01-08,84.79454349961219,85.43939511526631,84.31267766326849,84.91500854492188,4982726
2019-01-09,85.68033689448966,86.02756601700982,84.94336356755966,85.5244369506836,3800850
2019-01-10,85.09218069038248,86.35354075326748,85.00005901511798,86.30393981933594,4089860
2019-01-11,86.15514235033443,86.1834857466277,85.17723297203997,86.07010650634766,3893630
2019-01-14,85.39688732161581,85.49609483594104,84.8654148594486,85.31185150146484,5469220
2019-01-15,85.71576940515028,86.40314182947795,85.61656188851107,86.26141357421875,3668845
2019-01-16,86.15512066113504,86.45274321261002,85.62364818379045,86.18346405029297,4017791
2019-01-17,85.4323279684973,86.74329468130716,85.42524212046371,86.58739471435547,5261275
2019-01-18,87.35271983322838,88.38023575689401,86.9558896852597,87.74246978759766,6284891
2019-01-22,87.3739713677568,87.72828637617857,86.12678299052058,86.82123565673828,10514810
2019-01-23,93.09261433199192,95.66493562045191,92.341469167667,94.16973114013672,23078630
2019-01-24,93.9854912162443,94.3964930551365,93.1351328338697,93.91462707519531,6613753
2019-01-25,94.15555677368805,95.2681027919599,93.84375683537858,94.93505096435547,5969940
2019-01-28,94.31853564223599,95.53029482797268,93.95004892391063,95.14763641357422,5604154
2019-01-29,95.1618040089775,95.95546419572058,94.67284658488836,95.19014739990234,5268807
2019-01-30,94.95630870080565,95.68620199948178,94.42484178251775,95.22559356689453,4707941
2019-01-31,95.2751923372541,95.46651588803948,94.77205754435458,95.2539291381836,5108664
2019-02-01,95.6436766189452,95.80665677363028,94.49569010259982,95.02716827392578,3981076
2019-02-04,94.97048818839073,95.80667493931698,94.24060614005545,95.7995834350586,4149064
2019-02-05,95.8633526257695,96.24601106401745,95.60825077034187,96.0546875,5647249
2019-02-06,95.82083039333473,96.83416885636207,95.78539549847827,96.6003189086914,5104166
2019-02-07,95.74004386836141,96.39958293222224,94.7148989666125,95.48196411132812,4580852
2019-02-08,94.87265479666169,95.85478973388672,94.76512294359257,95.85478973388672,3399291
2019-02-11,96.27056750993651,96.88708487440407,95.99814514382894,96.05550384521484,3237475
2019-02-12,96.88707758067693,97.63981179252748,96.67918806002525,97.53227996826172,3469791
2019-02-13,98.15595523234323,98.87284157059023,97.79033793652262,98.5860824584961,4448638
2019-02-14,98.33517136594507,98.64342997500034,97.64695864861996,97.84052276611328,2917712
2019-02-15,98.62913707347558,99.06643862221406,98.49293158311258,98.95174407958984,4020929
2019-02-19,98.79400145292689,99.43202972412108,98.47139453233005,99.4320297241211,3541442
2019-02-20,99.47502421167441,99.81913057712711,98.37102105667557,98.93019104003906,3976892
2019-02-21,98.80117679497576,99.18113102035355,98.46424445918213,98.81551361083984,3072416
2019-02-22,99.453521554756,99.91949657969478,99.23845791893648,99.82630157470703,3256930
2019-02-25,100.3639845566772,100.70091686512586,99.87649853088664,99.97686767578125,3341133
2019-02-26,100.12739077450948,100.71523439061855,99.98401121297368,100.16323852539062,3201178
2019-02-27,99.8263215673724,100.05573350404883,99.21697829117772,99.76897430419922,2647321
2019-02-28,99.48219260925708,99.69009355423671,98.72946990334462,99.02339172363281,3616859
2019-03-01,99.86931686606191,100.39263910815976,99.3889936179034,99.79045867919922,3169380
2019-03-04,100.35680448785655,100.42132587118512,98.33518787284932,99.23846435546875,3563617
2019-03-05,99.19545780421709,99.46070603386482,98.61477677347675,98.84417724609375,4445814
2019-03-06,99.01621100899928,99.20977512855,98.0125769872228,98.19896697998047,2895642
2019-03-07,97.93373049461253,98.13445732293233,96.51429444107485,97.03762817382812,4559305
2019-03-08,96.21323144067127,96.95161753822674,95.7615873944351,96.84408569335938,3947186
2019-03-11,97.51792920279544,98.73662685078078,97.38171232848889,98.7222900390625,4120508
2019-03-12,99.3029735973326,100.14890272111543,98.8298244721004,99.13092041015625,4136616
2019-03-13,98.96606670328889,99.87650599376016,98.82268710357926,99.33167266845703,3319167
2019-03-14,99.29580180938552,99.60407188174717,98.97320636657636,99.49652862548828,2864576
2019-03-15,99.91233471468941,100.60054750855497,99.81196558142166,99.9553451538086,7482770
2019-03-18,100.2421382732993,100.62925524055547,99.44639339094194,100.5145492553711,3418851
