ticker,period,model_key,model,seed,episode,split,control,epsilon_ucb,action_coverage,ucb_total_transitions,profit,roi,arr,volatility,sharpe,max_drawdown,violations,flat_step_ratio,no_trade,near_zero_vol,collapse,trade_count,invalid_action_count,invalid_action_rate,turnover,exposure_ratio,q_scale_mean,exploration_bonus_mean,exploration_bonus_max
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,1,train,1.0,1.0,1.0,2247,-327.57131000000084,-32.757131000000086,-4.316629555316521,25.81636964916494,-0.12061839042180442,69.67827239302284,34,0.004005340453938585,False,False,False,2238,0,0.0,133.72131000000007,0.5795716441573351,0.2871673814073689,0.0,0.0
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,1,test,1.0,1.0,1.0,2247,-160.20119999999974,-16.020119999999974,-8.386931168838807,29.058647086446438,-0.22711646412884584,32.207611929447665,9,0.0,False,False,False,498,0,0.0,48.97119999999996,0.8664352106251227,0.3217354580520626,0.0,0.0
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,2,train,0.9045834549972122,0.8,1.0,4494,-391.22109000000125,-39.12210900000013,-5.36873118538046,25.757941230462144,-0.1646532421935527,69.48458876114755,37,0.004005340453938585,False,False,False,2238,0,0.0,134.84108999999998,0.5882433431472663,0.28511220798340703,0.0,0.0
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,2,test,0.9045834549972122,0.8,1.0,4494,-160.20119999999974,-16.020119999999974,-8.386931168838807,29.058647086446438,-0.22711646412884584,32.207611929447665,9,0.0,False,False,False,498,0,0.0,48.97119999999996,0.8664352106251227,0.3168750742532642,0.0,0.0
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,3,train,0.8182712270546932,0.6400000000000001,1.0,6741,-402.67796000000124,-40.267796000000125,-5.568421165096327,25.81779223643983,-0.17200952822199939,68.87074393567775,36,0.0075656430796617715,False,False,False,2230,0,0.0,131.57796000000005,0.5715601674612268,0.2798982183994003,0.0,0.0
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,3,test,0.8182712270546932,0.6400000000000001,1.0,6741,-145.57335999999987,-14.557335999999987,-7.589765207529487,28.995070139926142,-0.1981778300218775,31.20036245314105,9,0.0,False,False,False,498,0,0.0,49.24335999999995,0.8661276336722165,0.3106868458260973,0.0,0.0
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,4,train,0.7401946136939427,0.5120000000000001,1.0,8988,-393.34469000000183,-39.33446900000018,-5.405491298800291,25.69412464065433,-0.16738174199072106,69.76146434961214,34,0.009345794392523364,False,False,False,2226,0,0.0,133.42469000000008,0.583341015468858,0.2759224499397985,0.0,0.0
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,4,test,0.7401946136939427,0.5120000000000001,1.0,8988,-156.50536999999986,-15.650536999999986,-8.184872437750812,28.91605072419771,-0.22204768740392614,31.888505834809166,8,0.0,False,False,False,498,0,0.0,49.38536999999995,0.8653380847534803,0.3045621252353172,0.0,0.0
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,5,train,0.6695678010255933,0.4096000000000001,1.0,11235,-373.96720000000107,-37.39672000000011,-5.074215110964497,25.37488667211064,-0.15883935062417062,69.4562561685484,37,0.010680907877169559,False,False,False,2223,0,0.0,132.39720000000008,0.566824820073581,0.27106743312553133,0.0,0.0
GAS,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,UCB-VAE without VAE uncertainty,41,5,test,0.6695678010255933,0.4096000000000001,1.0,11235,-150.69837000000007,-15.069837000000009,-7.868280680800554,28.920801229568326,-0.20996789479139674,31.877366053309263,8,0.0,False,False,False,498,0,0.0,49.70836999999995,0.8642498232663693,0.2990523573445029,0.0,0.0
