stage,batch_idx,config_id,seed,label,use_cost,robust_loss,weight_decay,reward_shaping,kl_reduction,beta_0,beta_decay,beta_min,vae_latent_dim,vae_lr,vae_beta_kl,vae_batch_size,bootstrap_trajectories,bootstrap_updates,online_aux_updates,vae_replay_capacity,train_profit,train_roi,train_arr,train_sharpe,train_max_drawdown,train_violations,val_profit,val_roi,val_arr,val_sharpe,val_max_drawdown,val_violations,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,vae_loss_last,vae_recon_last,vae_kl_last,cost_loss_last,novelty_mean,novelty_std,novelty_max,finite
UCB,3,ucb_003,42,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.01,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,17.19278000000213,1.7192780000002132,0.28523178398249804,-0.2495006414723311,15.996327142930959,0,314.14123999999924,31.414123999999926,9.549552900727365,0.5662102978277742,22.348899863635868,0,-29.694845999999714,-9.264321116744867,-0.8157109393001053,0.6289971368861627,0.1747016657015373,0.16774743795394897,0.16729407012462616,0.009067241102457047,0.0035194819793105125,5.793334311526449,3.6948136639678255,18.079267501831055,True
UCB,3,ucb_003,43,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.01,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,360.5235999999986,36.05235999999986,5.278675927721599,0.43460482601504113,12.801906958412243,0,966.2094999999981,96.62094999999982,25.323687061572507,1.2896959071444463,20.85124594132119,1,-60.568589999999965,-20.045011133850906,-0.8550910811294051,1.608664508934857,0.18253183652614724,0.1617249697446823,0.1612161248922348,0.010176869109272957,0.009022855199873447,5.912446570335897,3.733470815551373,17.302825927734375,True
UCB,3,ucb_003,44,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.01,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,1725.9494699999982,172.59494699999982,18.241227092916667,0.7331312614320505,37.6561687507046,10,2213.53571,221.353571,47.660626246243055,1.3408931845922143,38.358221325813545,10,-48.75862400000017,-29.41939915332639,-0.6077619231601638,11.550336245240437,0.2457891025419893,0.39782005548477173,0.3970213532447815,0.015973808243870735,0.005459061823785305,7.317444733309792,3.08027461500811,18.33023452758789,True
UCB,3,ucb_007,42,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.01,0.99,0.01,16,0.0001,0.05,256,5,100,1,50000,17.19278000000213,1.7192780000002132,0.28523178398249804,-0.2495006414723311,15.996327142930959,0,314.14123999999924,31.414123999999926,9.549552900727365,0.5662102978277742,22.348899863635868,0,-29.694845999999714,-9.264321116744867,-0.8157109393001053,0.6289971368861627,0.1747016657015373,0.16774743795394897,0.16729407012462616,0.009067241102457047,0.0035194819793105125,5.793334311526449,3.6948136639678255,18.079267501831055,True
UCB,3,ucb_007,43,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.01,0.99,0.01,16,0.0001,0.05,256,5,100,1,50000,360.5235999999986,36.05235999999986,5.278675927721599,0.43460482601504113,12.801906958412243,0,966.2094999999981,96.62094999999982,25.323687061572507,1.2896959071444463,20.85124594132119,1,-60.568589999999965,-20.045011133850906,-0.8550910811294051,1.608664508934857,0.18253183652614724,0.1617249697446823,0.1612161248922348,0.010176869109272957,0.009022855199873447,5.912446570335897,3.733470815551373,17.302825927734375,True
UCB,3,ucb_007,44,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.01,0.99,0.01,16,0.0001,0.05,256,5,100,1,50000,1725.9494699999982,172.59494699999982,18.241227092916667,0.7331312614320505,37.6561687507046,10,2213.53571,221.353571,47.660626246243055,1.3408931845922143,38.358221325813545,10,-48.75862400000017,-29.41939915332639,-0.6077619231601638,11.550336245240437,0.2457891025419893,0.39782005548477173,0.3970213532447815,0.015973808243870735,0.005459061823785305,7.317444733309792,3.08027461500811,18.33023452758789,True
UCB,3,ucb_011,42,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.03,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,39.069330000000946,3.906933000000094,0.6424191287047964,-0.19212577508945772,13.748701618152923,0,281.94733999999903,28.194733999999904,8.646126214993345,0.5258171058685174,22.42392008720448,0,-24.28780099999981,-8.003707086288548,-0.7179428809579751,0.6323299972580168,0.17464213905663326,0.1677873730659485,0.16733427345752716,0.0090620843693614,0.00352620636112988,5.7592907611648165,3.7097767290481976,18.05535888671875,True
UCB,3,ucb_011,43,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.03,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,351.71475999999893,35.17147599999989,5.164475635245402,0.42426175119332593,12.6278655809024,0,854.9964899999986,85.49964899999986,22.911008182717985,1.2290228103936618,20.799071535782435,0,-50.32817299999997,-17.746532547472583,-0.8047610592003358,1.5957052289560023,0.1825381875038147,0.16224242746829987,0.16173358261585236,0.010176812298595905,0.00905329268425703,5.884588416096551,3.7248986931612467,17.347620010375977,True
UCB,3,ucb_011,44,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.03,0.93,0.01,16,0.0001,0.05,256,5,100,1,50000,1719.4635499999981,171.9463549999998,18.194173419805647,0.7317920911395103,37.640652391946105,10,2213.53571,221.353571,47.660626246243055,1.3408931845922143,38.358221325813545,10,-49.407216000000176,-29.466452826437408,-0.609101093452704,11.50376782787067,0.24534721107318483,0.3974415957927704,0.3966436982154846,0.015957675874233246,0.005453780759125948,7.317763119388364,3.080119295803479,18.330366134643555,True
UCB,3,ucb_015,42,Uncertainty-Aware UCB-VAE,True,True,0.0001,True,sum,0.03,0.99,0.01,16,0.0001,0.05,256,5,100,1,50000,29.909620000001723,2.9909620000001724,0.4936343848736868,-0.2169133518253448,14.779178552161845,0,299.4904399999991,29.949043999999915,9.140271062298332,0.542762981101144,22.18089333992732,0,-26.95808199999974,-8.646636677424645,-0.7596763329264887,0.6253832861062283,0.17463063731275755,0.1674472838640213,0.16699418425559998,0.009061961434781551,0.003492654301226139,5.7835715869063336,3.6900294196102736,18.067670822143555,True
