ticker,time,feature,feature_value,shap_value
ACB,2021-01-04,Close,10.75,-0.022120877701613945
ACB,2021-01-04,Balance,1000.0,0.02653333723659767
ACB,2021-01-04,Position,0.0,-0.0033770623075221225
ACB,2021-01-04,MACD,0.15061791241168976,-0.01127923311926696
ACB,2021-01-04,RSI,62.374935150146484,0.03393644970182349
ACB,2021-01-04,CCI,102.40384674072266,0.047750320952006875
ACB,2021-01-04,ADX,31.939502716064453,-0.05564556707003132
ACB,2021-01-20,Close,10.619999885559082,-0.010847759327332972
ACB,2021-01-20,Balance,1000.0,0.009259047441699864
ACB,2021-01-20,Position,0.0,-0.0063554758068378354
ACB,2021-01-20,MACD,0.15544438362121582,-0.026187643987605563
ACB,2021-01-20,RSI,45.884765625,-0.04118231174172584
ACB,2021-01-20,CCI,-90.86509704589844,-0.11527005489980618
ACB,2021-01-20,ADX,33.832916259765625,-0.06739654472896679
ACB,2021-02-08,Close,10.319999694824219,-0.0057437587658678586
ACB,2021-02-08,Balance,1000.0,0.009287984332374587
ACB,2021-02-08,Position,0.0,-0.004959175223486292
ACB,2021-02-08,MACD,-0.08440805226564407,0.0016040270898781128
ACB,2021-02-08,RSI,46.06792449951172,-0.036130913747305295
ACB,2021-02-08,CCI,-30.538850784301758,-0.056566715749130365
ACB,2021-02-08,ADX,30.517953872680664,-0.052062850605415864
ACB,2021-03-03,Close,12.470000267028809,-0.009820803006699732
ACB,2021-03-03,Balance,1000.0,0.034582227151627044
ACB,2021-03-03,Position,0.0,-0.00402850279889283
ACB,2021-03-03,MACD,0.48554548621177673,-0.010795253976145076
ACB,2021-03-03,RSI,69.95122528076172,0.06974038016281563
ACB,2021-03-03,CCI,103.68168640136719,0.05541663333994349
ACB,2021-03-03,ADX,25.724666595458984,-0.029851722207754443
ACB,2021-03-22,Close,12.529999732971191,-0.008397685408172175
ACB,2021-03-22,Balance,1000.0,0.03469561641591691
ACB,2021-03-22,Position,0.0,-0.006371762281252587
ACB,2021-03-22,MACD,0.374912828207016,0.00038966393253134224
ACB,2021-03-22,RSI,62.41752624511719,0.043781391884667425
ACB,2021-03-22,CCI,90.13278198242188,0.04547304184385053
ACB,2021-03-22,ADX,22.2471866607666,-0.008358071825583149
ACB,2021-04-08,Close,12.90999984741211,-0.007974456742944204
ACB,2021-04-08,Balance,1000.0,0.03382826876317117
ACB,2021-04-08,Position,0.0,-0.00627363181111376
ACB,2021-04-08,MACD,0.28009888529777527,0.0007803708821667865
ACB,2021-04-08,RSI,64.11001586914062,0.05085670430026008
ACB,2021-04-08,CCI,96.09818267822266,0.04788617184260548
ACB,2021-04-08,ADX,18.047956466674805,0.009546871480492183
ACB,2021-04-27,Close,12.760000228881836,0.0026304987912411995
ACB,2021-04-27,Balance,1000.0,0.023456945851177018
ACB,2021-04-27,Position,0.0,-0.0064755004297571885
ACB,2021-04-27,MACD,0.05919497087597847,-0.01294905016113101
ACB,2021-04-27,RSI,54.315032958984375,-0.005241998968203201
ACB,2021-04-27,CCI,-41.7790412902832,-0.065764450620518
ACB,2021-04-27,ADX,14.601770401000977,0.02740711447331024
ACB,2021-05-18,Close,13.600000381469727,-0.003789403644235383
ACB,2021-05-18,Balance,1000.0,0.03337448174637394
ACB,2021-05-18,Position,0.0,-0.006599109498640677
ACB,2021-05-18,MACD,0.2879953384399414,0.003772032146625262
ACB,2021-05-18,RSI,62.80360412597656,0.04352738798672923
ACB,2021-05-18,CCI,88.30609130859375,0.044857431439870706
ACB,2021-05-18,ADX,23.628490447998047,-0.01630819529021034
ACB,2021-06-04,Close,17.0,0.022114047376748335
ACB,2021-06-04,Balance,1000.0,0.016698636265010638
ACB,2021-06-04,Position,0.0,-0.0047021867876884775
ACB,2021-06-04,MACD,0.9415297508239746,-0.07626928691566362
ACB,2021-06-04,RSI,84.72200775146484,0.09338958418934185
ACB,2021-06-04,CCI,183.13690185546875,0.06970340300375255
ACB,2021-06-04,ADX,48.956764221191406,-0.14797996265064345
ACB,2021-06-22,Close,16.719999313354492,0.01136237632431898
ACB,2021-06-22,Balance,1000.0,0.02749452247299923
ACB,2021-06-22,Position,0.0,-0.005038549218538864
ACB,2021-06-22,MACD,0.6370646953582764,-0.04797787351170484
ACB,2021-06-22,RSI,64.16513061523438,0.04182697963334636
ACB,2021-06-22,CCI,72.82012939453125,0.02471262456319307
ACB,2021-06-22,ADX,35.93805694580078,-0.08007947031736305
ACB,2021-07-09,Close,16.510000228881836,0.008875155931075268
ACB,2021-07-09,Balance,1000.0,0.022872020024643783
ACB,2021-07-09,Position,0.0,-0.005802984243776934
ACB,2021-07-09,MACD,0.4148204028606415,-0.031928289300068496
ACB,2021-07-09,RSI,50.93587112426758,-0.026132800780156545
ACB,2021-07-09,CCI,-50.38151931762695,-0.09606450058910268
ACB,2021-07-09,ADX,28.21893882751465,-0.045667238981113877
ACB,2021-07-28,Close,15.550000190734863,0.005752995636143038
ACB,2021-07-28,Balance,1000.0,0.007605579318508659
ACB,2021-07-28,Position,0.0,-0.005351202432283655
ACB,2021-07-28,MACD,-0.17381393909454346,0.03387248736227753
ACB,2021-07-28,RSI,46.35554122924805,-0.036129467132190875
ACB,2021-07-28,CCI,-42.376956939697266,-0.06947938500972
ACB,2021-07-28,ADX,23.53575897216797,-0.02226442584023075
ACB,2021-08-13,Close,16.579999923706055,0.012645632634675478
ACB,2021-08-13,Balance,1000.0,0.022958104497460996
ACB,2021-08-13,Position,0.0,-0.008609605291987005
ACB,2021-08-13,MACD,0.2130289226770401,-0.010414303227998923
ACB,2021-08-13,RSI,52.47454833984375,-0.02316870774267895
ACB,2021-08-13,CCI,20.83024787902832,-0.012636409006440356
ACB,2021-08-13,ADX,16.474836349487305,0.013192573889265188
ACB,2021-09-01,Close,15.010000228881836,0.002070719116112424
ACB,2021-09-01,Balance,909.6397094726562,-0.020185753714462448
ACB,2021-09-01,Position,6.0,-0.002696243336196573
ACB,2021-09-01,MACD,-0.3672167956829071,0.13992608564693312
ACB,2021-09-01,RSI,36.77520751953125,-0.04225085206210222
ACB,2021-09-01,CCI,-78.33597564697266,-0.06331285586365887
ACB,2021-09-01,ADX,24.711715698242188,-0.04561465252386149
ACB,2021-09-22,Close,14.819999694824219,0.0014627306419787815
ACB,2021-09-22,Balance,325.40606689453125,-0.054917169426101545
ACB,2021-09-22,Position,45.0,-0.006673883252844783
ACB,2021-09-22,MACD,-0.2841753661632538,0.12310791070667663
ACB,2021-09-22,RSI,40.26077651977539,-0.02231039889829875
ACB,2021-09-22,CCI,-53.56232452392578,-0.031406315405500165
ACB,2021-09-22,ADX,25.812421798706055,-0.02474322283373704
ACB,2021-10-08,Close,14.75,0.01582449942462366
ACB,2021-10-08,Balance,13.874859809875488,-0.07347694484102688
ACB,2021-10-08,Position,66.0,-0.008620204275380622
ACB,2021-10-08,MACD,-0.18203794956207275,0.049105607698105826
ACB,2021-10-08,RSI,44.51399612426758,-0.023305080509082705
ACB,2021-10-08,CCI,-39.65975570678711,-0.031025704307235565
ACB,2021-10-08,ADX,22.21706199645996,-0.020467559461480482
ACB,2021-10-27,Close,14.729999542236328,0.005178134094002584
ACB,2021-10-27,Balance,374.2940673828125,-0.10665099752579232
ACB,2021-10-27,Position,42.0,0.04096757241194328
ACB,2021-10-27,MACD,-0.07923252880573273,0.033914921133948915
ACB,2021-10-27,RSI,43.47493362426758,-0.018776818826808796
ACB,2021-10-27,CCI,-46.15574645996094,-0.04117438084316099
ACB,2021-10-27,ADX,14.185742378234863,0.019381222451794713
ACB,2021-11-12,Close,15.640000343322754,0.012110335420573763
ACB,2021-11-12,Balance,557.9502563476562,-0.1697907035298985
ACB,2021-11-12,Position,30.0,0.004262958557908925
ACB,2021-11-12,MACD,0.17512954771518707,-0.017331780026630838
ACB,2021-11-12,RSI,58.44319152832031,0.012954545022445472
ACB,2021-11-12,CCI,49.508968353271484,0.006855852793393255
ACB,2021-11-12,ADX,21.450544357299805,-0.008059706558371666
ACB,2021-12-01,Close,15.710000038146973,0.011433545620377482
ACB,2021-12-01,Balance,589.2988891601562,-0.1561283007711064
ACB,2021-12-01,Position,28.0,0.008119372378299905
ACB,2021-12-01,MACD,0.18245616555213928,-0.028337118214534662
ACB,2021-12-01,RSI,50.4552116394043,-0.04126660350345167
ACB,2021-12-01,CCI,-44.110565185546875,-0.060972648301627554
ACB,2021-12-01,ADX,18.802949905395508,-0.008287458934145769
ACB,2021-12-20,Close,15.520000457763672,0.006491678174535831
ACB,2021-12-20,Balance,867.7301635742188,-0.0554085162268386
ACB,2021-12-20,Position,10.0,-0.004216966575180328
ACB,2021-12-20,MACD,-0.007797949947416782,-0.016591022481966772
