config_id,vae_latent_dim,vae_lr,vae_beta_kl,vae_batch_size,bootstrap_trajectories,bootstrap_updates,online_aux_updates,vae_replay_capacity,seeds,val_profit_mean,val_roi_mean,val_arr_mean,val_sharpe_mean,val_sharpe_std,val_mdd_mean,val_violations_mean,train_sharpe_mean,gap_sharpe_mean,gap_arr_mean,vae_loss_last_mean,novelty_mean,novelty_std,finite_rate,score
vae_016,16,0.0001,0.0001,256,5,100,1,50000,3,1153.1584066666662,115.3158406666666,27.183812213118852,1.0592986345301214,0.4691210257804444,26.94360138317536,3.3333333333333335,0.3046163881789477,-0.7546822463511736,-19.31815839239752,0.24108567833900452,6.6843327633714695,3.7478361706232266,1.0,0.9600191757939376
vae_020,16,0.0003,0.0001,256,5,100,1,50000,3,1105.8349399999995,110.58349399999996,26.19796123927979,1.0296962971602013,0.4488607587135114,26.77478518160503,3.3333333333333335,0.32522854290258324,-0.704467754257618,-18.009231496041693,0.17808268715937925,22.533164230404093,21.10868469580293,1.0,0.9301137999410951
vae_036,32,0.0003,0.0001,256,5,100,1,50000,3,1053.5326499999994,105.35326499999995,25.039426240692922,0.9995716813531704,0.41482731789040916,26.752856366240717,3.3333333333333335,0.33971433631848313,-0.6598573450346873,-16.2633379916508,0.14275839179754254,40.109119979701916,38.287152358702265,1.0,0.8979600013751136
vae_044,32,0.003,0.0001,256,5,100,1,50000,3,1030.7473400000001,103.07473400000002,24.53861343873651,0.9868295380905341,0.4056588798773328,26.503868633035864,3.3333333333333335,0.3601421912424944,-0.6266873468480396,-15.629195257394471,0.012645233112076867,384.9243018699415,327.50448275243235,1.0,0.887885874014509
vae_024,16,0.001,0.0001,256,5,100,1,50000,3,1023.0869333333334,102.30869333333332,24.29162763338525,0.9782286924406017,0.3893958908987177,26.481151613868377,3.3333333333333335,0.37790029773062866,-0.6003283947099731,-15.409633544376346,0.03612142801284784,170.56738938968616,154.78736359836287,1.0,0.8843491435475297
vae_040,32,0.001,0.0001,256,5,100,1,50000,3,1040.8343466666668,104.08343466666668,24.711663168261907,0.983926248280126,0.4078639470966048,26.616244655255596,3.3333333333333335,0.3441829332806026,-0.6397433149995234,-15.954790054108996,0.03201197398205593,259.45959419961287,225.2025613705931,1.0,0.8835061685438678
vae_012,8,0.003,0.0001,256,5,100,1,50000,3,1037.476253333333,103.7476253333333,24.591879482700975,0.9870872048496503,0.40233596355055806,26.353513700320182,3.3333333333333335,0.3086294080115858,-0.6784577968380644,-16.46843566924328,0.016521836631,132.27703426992562,114.75943612631727,1.0,0.8795105692400624
vae_008,8,0.001,0.0001,256,5,100,1,50000,3,1021.5775899999999,102.157759,24.180083607350458,0.9779551180328131,0.41240501400261464,26.20857213732869,3.3333333333333335,0.35896477812346883,-0.6189903399093443,-15.330241065627275,0.0438002484540144,101.8671340303295,96.85711940433448,1.0,0.8752445985260915
vae_028,16,0.003,0.0001,256,5,100,1,50000,3,1031.0345233333333,103.10345233333334,24.51829338615285,0.974372836081109,0.39418206391968613,26.875295548994973,3.3333333333333335,0.3489178660031398,-0.6254549700779694,-15.713082684816406,0.015024143892029898,256.9359884468069,230.4146989645582,1.0,0.8742564062824013
vae_004,8,0.0003,0.0001,256,5,100,1,50000,3,1010.9352866666662,101.0935286666666,23.913790016173916,0.9547062687410445,0.4095794348149317,26.447968588353508,3.3333333333333335,0.3938776884561796,-0.560828580284865,-15.048468865388733,0.15782014528910315,19.60994368252602,18.627375682152064,1.0,0.8571782040228375
vae_032,32,0.0001,0.0001,256,5,100,1,50000,3,1030.1735966666663,103.01735966666662,24.430865538026026,0.9709995465261022,0.4408661252253802,26.829685994456497,3.3333333333333335,0.273004743838094,-0.6979948026880084,-16.640170846512543,0.24363729357719419,7.820848143779025,5.05819666965084,1.0,0.8415574971384194
vae_000,8,0.0001,0.0001,256,5,100,1,50000,3,993.8544666666667,99.38544666666665,23.556248716700363,0.9425141323483245,0.40843001555250374,26.338132550170645,3.3333333333333335,0.3787473282705753,-0.5637668040777492,-14.81410325662552,0.23881957928339637,6.3225722016777475,3.700729422356139,1.0,0.8391020432970318
