,Annual Return (%),Annual Volatility (%),Sharpe Ratio,Max Drawdown (%)
EW,28.86188452304137,21.953292351120293,1.0869387671514192,-35.706618576666585
MV,31.541123098454122,20.698938659643943,1.282245603742017,-34.00687530409787
RP,29.43063902461901,21.539310588535272,1.1342349572517285,-35.42004415539864
MW,31.541123098454122,20.698938659643943,1.282245603742017,-34.00687530409787
MS,34.3365916573119,21.497130867999854,1.364674748339635,-33.83695587868318
MU,36.463046747209916,24.251446968073413,1.2973678143259015,-40.57408633933145
