time,EW,MV,RP,MW,MS,MU
2019-01-11,1.6692172865505455,1.874785405201038,1.7221304000354996,1.874785405201038,2.046745566879038,2.213697776389159
2019-01-14,1.669371609398972,1.8796053093155871,1.7228972908054003,1.8796053093155871,2.0496630057608,2.2123584345311964
2019-01-15,1.678897388685231,1.8890477154558936,1.732438794093738,1.8890477154558936,2.0566995772659697,2.2135277264635653
2019-01-16,1.6773604335276602,1.8865344790930512,1.730870933380848,1.8865344790930512,2.058445713208662,2.2247352911569287
2019-01-17,1.6637084940623632,1.8734478205413918,1.7175149065430575,1.8734478205413918,2.0432627905663465,2.2059633987660283
2019-01-18,1.6605890784871762,1.8727358474338067,1.7146909270904525,1.8727358474338067,2.0477202246987303,2.21911176356693
2019-01-21,1.6749339049017244,1.886626255038803,1.7288894134202426,1.886626255038803,2.065313466950023,2.233439942881956
2019-01-22,1.6614776587564866,1.8806759707767275,1.7166061883067365,1.8806759707767275,2.0593858645372105,2.230758053123304
2019-01-23,1.6660882580190768,1.885318408861362,1.7212958897381747,1.885318408861362,2.0714482714270326,2.2532344308163994
2019-01-24,1.6655108850851337,1.886933488400934,1.7210614979893915,1.886933488400934,2.071000896812582,2.2489344628059738
2019-01-25,1.6680006553140831,1.8872127970591055,1.723263220476253,1.8872127970591055,2.0712469109638096,2.2447603914738883
2019-01-28,1.6666921708114515,1.8868420908445271,1.722406572309942,1.8868420908445271,2.073883135454529,2.2553236923957947
2019-01-29,1.681976343007743,1.903136881361075,1.7380627793425645,1.903136881361075,2.08559964034521,2.2563091721207824
2019-01-30,1.672505194825442,1.9055712401824623,1.7299746491681216,1.9055712401824623,2.080456909973232,2.230700992794835
2019-01-31,1.661829517686643,1.8972804052101924,1.7195951185478469,1.8972804052101924,2.059207537831162,2.1842765555584256
2019-02-01,1.636700207738043,1.853452436312885,1.6906157276794984,1.853452436312885,2.002355273368313,2.112059634523745
2019-02-11,1.7010272952350047,1.9303087566394799,1.757826382330011,1.9303087566394799,2.097635180221355,2.2300424070772378
2019-02-12,1.7217774057407589,1.9628556046892534,1.7817672384047167,1.9628556046892534,2.150495263140047,2.308407184673721
2019-02-13,1.7580183150882098,1.9898606208366616,1.8166477865633148,1.9898606208366616,2.1868916889390144,2.3600742832425756
2019-02-14,1.7656778664807484,2.009447678692147,1.8271938423637206,2.009447678692147,2.2203641629877904,2.4075211936013403
2019-02-15,1.765629559258673,2.004288628425214,1.826099957875705,2.004288628425214,2.2176461893190678,2.419421778056705
2019-02-18,1.7922320623860226,2.0251079439527415,1.852203969512136,2.0251079439527415,2.247115944526864,2.459228996318471
2019-02-19,1.7856132436204126,2.033409334280893,1.848344665144812,2.033409334280893,2.253086675325061,2.469216629004232
2019-02-20,1.7905651996129077,2.0463302898781834,1.8544959490017037,2.0463302898781834,2.2703923499528433,2.4928867668894266
2019-02-21,1.8153152808110744,2.0658333857967217,1.8791212482071629,2.0658333857967217,2.2990591438786745,2.5322815606866795
2019-02-22,1.8400720074234385,2.0814631854843118,1.902418077739453,2.0814631854843118,2.3226099951208043,2.560357566918676
2019-02-25,1.8579202555052146,2.094184841773641,1.9194638070968921,2.094184841773641,2.34225233478741,2.584452634068522
2019-02-26,1.8368037111372597,2.0777680746894265,1.8988786386769445,2.0777680746894265,2.32536658806128,2.5645137936129094
2019-02-27,1.832256607565311,2.0819052646879763,1.8959633119462447,2.0819052646879763,2.332661172459982,2.5828990090792163
2019-02-28,1.7972554244105083,2.0341474347481903,1.8582506030334391,2.0341474347481903,2.274558489630782,2.515211073965363
2019-03-01,1.8306821201746828,2.060155295532705,1.890926577896753,2.060155295532705,2.307575869483153,2.5506754279288
2019-03-04,1.8672638455622252,2.0933963105095588,1.9275804403414045,2.0933963105095588,2.3524241707512745,2.617394825874959
2019-03-05,1.8551779966145456,2.086933079312596,1.9163087113860346,2.086933079312596,2.346876291284926,2.605692355051962
2019-03-06,1.864108689628156,2.084629967168892,1.923685989851873,2.084629967168892,2.3441798476254774,2.607684085464768
2019-03-07,1.8591403011979235,2.091285221338089,1.9208115375285724,2.091285221338089,2.346203502428271,2.593617660147923
2019-03-08,1.8466559362937038,2.078766924879172,1.9079686326330905,2.078766924879172,2.332661140226941,2.5768696894201986
2019-03-11,1.846043849040606,2.0775632992650674,1.9074165870941828,2.0775632992650674,2.329108536216791,2.573823338256686
2019-03-12,1.8838766471114623,2.124198632414492,1.9462378062767116,2.124198632414492,2.365019241979008,2.5785421605356382
2019-03-13,1.8876066717520448,2.119104876846189,1.9486396573723201,2.119104876846189,2.3630904148142142,2.5835551511192425
2019-03-14,1.893713545362215,2.1319288848183495,1.956172681844549,2.1319288848183495,2.381173008656168,2.5920929540533173
2019-03-15,1.8710924786112697,2.110596986124198,1.9337030439313823,2.110596986124198,2.335148960459754,2.510034027864207
2019-03-18,1.889008774800086,2.135808353578761,1.9535444160359139,2.135808353578761,2.365982810901406,2.5377240155397267
2019-03-19,1.8791344590665104,2.1228784146409323,1.9432246852028476,2.1228784146409323,2.3550714556216317,2.535898647310911
2019-03-20,1.874797854902351,2.114704467250614,1.9381668874776221,2.114704467250614,2.3527579856175413,2.5425591897546456
2019-03-21,1.8474597021013606,2.0856820675101506,1.9099231687110452,2.0856820675101506,2.317182412829355,2.4954919913152764
2019-03-22,1.846875383511349,2.092699832323885,1.9108890472959845,2.092699832323885,2.330014406052796,2.510759409204718
2019-03-25,1.8049497020466407,2.046015292020948,1.8671982194634,2.046015292020948,2.2794084867836104,2.4531548612772833
2019-03-26,1.804791750273896,2.044607567388608,1.866399608191111,2.044607567388608,2.2738032651517934,2.443221566390867
2019-03-27,1.8209178215081199,2.0556494132454777,1.8817204012084774,2.0556494132454777,2.290868079584496,2.4729720586548414
2019-03-28,1.8375921165273867,2.0753528277735143,1.8994234593859012,2.0753528277735143,2.317302376771918,2.499924049621707
2019-03-29,1.8409912797708277,2.082317014649458,1.9033396138456118,2.082317014649458,2.3193436987656555,2.490357079598582
2019-04-01,1.850201144575457,2.0900136588542457,1.9123237776361726,2.0900136588542457,2.325386623736341,2.487657810083483
2019-04-02,1.8476715646257809,2.091792909750386,1.9102907209645952,2.091792909750386,2.32699292671215,2.4908991674063112
2019-04-03,1.8518738438233908,2.1010241528776423,1.914372014586459,2.1010241528776423,2.3257188021951642,2.474957859248562
2019-04-04,1.8605050193175479,2.11450115601638,1.9236020429704743,2.11450115601638,2.341055719301467,2.4882183176736272
2019-04-05,1.8687304200037864,2.1184444529252024,1.9312744236277286,2.1184444529252024,2.3449979595244224,2.492308750677679
2019-04-08,1.8817785570713403,2.1262665671255787,1.9438004549562096,2.1262665671255787,2.354517845320792,2.4928675901431046
2019-04-09,1.8639671428705644,2.100557902114192,1.9243779896638147,2.100557902114192,2.3235965363288393,2.453409310081518
2019-04-10,1.8452335342965216,2.080239589100349,1.9050913798537343,2.080239589100349,2.302356108561404,2.434148723616549
2019-04-11,1.8509454904094507,2.0995307766576135,1.9135327169332084,2.0995307766576135,2.329132164058842,2.470966773489833
2019-04-12,1.8537645188165615,2.1065182354179948,1.9160171627275115,2.1065182354179948,2.325062181493674,2.454615100442496
2019-04-16,1.842897598171077,2.0951988310412695,1.9050264407668187,2.0951988310412695,2.3130817192557798,2.442578573921834
2019-04-17,1.8403388732883308,2.087005222315895,1.9007211141389788,2.087005222315895,2.292714990657503,2.401751099682042
2019-04-18,1.82974587422396,2.077312512313751,1.8899863217061548,2.077312512313751,2.2783592755992896,2.3793877139429873
2019-04-19,1.8400606909588044,2.0880225980158604,1.9007231900366435,2.0880225980158604,2.293345401162306,2.4029210510422097
2019-04-22,1.8456016540834197,2.0938085012682475,1.9070250525118873,2.0938085012682475,2.307753516236932,2.4331615699873557
2019-04-23,1.850455424086004,2.0993364942112853,1.9121588354827503,2.0993364942112853,2.315924003895102,2.447205145394068
2019-04-24,1.8790062409712325,2.127617769950228,1.9407636144668012,2.127617769950228,2.3593992982767373,2.5094632455528374
2019-04-25,1.8742686411872052,2.126957676988223,1.9364429169973927,2.126957676988223,2.3516602548560597,2.4977567943777617
2019-04-26,1.894128986037901,2.146606376379935,1.9561365327661187,2.146606376379935,2.3689487302760925,2.5163431957501383
2019-05-02,1.9002561222630723,2.152502827946802,1.962045893894133,2.152502827946802,2.3728437247362506,2.529780232926234
2019-05-03,1.8935997075051083,2.1469908499398445,1.9552357395872453,2.1469908499398445,2.3659303812982713,2.522066155074961
2019-05-06,1.8654546738819573,2.1149894219190077,1.9266915691206494,2.1149894219190077,2.3376344901627766,2.4935656206074226
2019-05-07,1.871541760302508,2.130625622675999,1.9338622614335859,2.130625622675999,2.3480860311168374,2.500976389290334
2019-05-08,1.8622339010837818,2.124462158785589,1.9249573070432016,2.124462158785589,2.3385586694761233,2.4877341771549615
