config_id,seed,episode,split,beta,profit,roi,arr,sharpe,max_drawdown,violations
ucb_002,45,1,train,0.01,9348.190500000002,934.8190500000003,29.670130380300463,0.954262952867869,55.76998085521557,23
ucb_002,45,1,test,0.01,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,2,train,0.009300000000000001,9347.952590000003,934.7952590000002,29.669798907790046,0.9542360152847942,55.772678793861274,23
ucb_002,45,2,test,0.009300000000000001,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,3,train,0.008649000000000002,9348.705690000003,934.8705690000003,29.670848155087914,0.9543267149497526,55.764139410153355,23
ucb_002,45,3,test,0.008649000000000002,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,4,train,0.008043570000000002,9374.57281,937.457281,29.70684606725571,0.9548144306884557,55.77245683532567,23
ucb_002,45,4,test,0.008043570000000002,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,5,train,0.007480520100000002,9375.95828,937.5958280000001,29.708771901390207,0.9551152934209868,55.756789425955574,23
ucb_002,45,5,test,0.007480520100000002,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,6,train,0.0069568836930000025,9375.79692,937.5796920000001,29.708547619158978,0.9549780457241858,55.754459538632105,23
ucb_002,45,6,test,0.0069568836930000025,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,7,train,0.0064699018344900015,9375.97968,937.597968,29.70880164607401,0.9549925035291698,55.75075344468211,23
ucb_002,45,7,test,0.0064699018344900015,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,8,train,0.006017008706075703,9454.710720000001,945.4710720000002,29.817865592146386,0.9570198396366127,55.76432743367028,23
ucb_002,45,8,test,0.006017008706075703,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,9,train,0.005595818096650404,9507.077420000001,950.7077420000002,29.890004195943543,0.9587871659664574,55.71458108522509,23
ucb_002,45,9,test,0.005595818096650404,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,10,train,0.005204110829884876,9480.976400000001,948.0976400000001,29.8540883532203,0.9577964922649802,55.76809843334437,23
ucb_002,45,10,test,0.005204110829884876,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,11,train,0.005,9481.390660000003,948.1390660000002,29.85465900885218,0.9579284848063727,55.763460370229666,23
ucb_002,45,11,test,0.005,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,12,train,0.005,9613.715320000003,961.3715320000002,30.0359223965458,0.961848908594109,55.71255927274188,23
ucb_002,45,12,test,0.005,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,13,train,0.005,9614.055890000001,961.4055890000001,30.036386324941144,0.9617631228057992,55.771921213440066,23
ucb_002,45,13,test,0.005,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,14,train,0.005,9645.542510000001,964.554251,30.079220712489118,0.9627887582215733,55.71808987886985,23
ucb_002,45,14,test,0.005,-297.03952000000004,-29.703952000000005,-16.289808501783696,-0.3544122017187439,65.76627881929184,15
ucb_002,45,15,train,0.005,9640.64643,964.064643,30.07256748663647,0.9623809665716087,55.77409512915672,23
ucb_002,45,15,test,0.005,-293.8963799999999,-29.38963799999999,-16.10119077446489,-0.34915237793179865,65.79896706590299,15
ucb_002,45,16,train,0.005,9640.64643,964.064643,30.07256748663647,0.9623809665716087,55.77409512915672,23
ucb_002,45,16,test,0.005,-293.8963799999999,-29.38963799999999,-16.10119077446489,-0.34915237793179865,65.79896706590299,15
ucb_002,45,17,train,0.005,9696.801970000002,969.6801970000002,30.14871378143644,0.9643513715966151,55.74168733675352,23
ucb_002,45,17,test,0.005,-293.8963799999999,-29.38963799999999,-16.10119077446489,-0.34915237793179865,65.79896706590299,15
ucb_002,45,18,train,0.005,9693.614080000001,969.3614080000001,30.144400561249608,0.9640164027853992,55.77665102078918,23
ucb_002,45,18,test,0.005,-293.8963799999999,-29.38963799999999,-16.10119077446489,-0.34915237793179865,65.79896706590299,15
ucb_002,45,19,train,0.005,9776.62605,977.6626050000001,30.256345130687954,0.9665375483977168,55.74356595728926,23
ucb_002,45,19,test,0.005,-293.8963799999999,-29.38963799999999,-16.10119077446489,-0.34915237793179865,65.79896706590299,15
ucb_002,45,20,train,0.005,10305.00208,1030.500208,30.95142520847396,0.9815496377122582,55.78265837786406,23
ucb_002,45,20,test,0.005,-301.2537299999999,-30.12537299999999,-16.543357418909277,-0.3621416303072835,65.5267776172921,16
ucb_002,45,21,train,0.005,10145.410670000001,1014.541067,30.74458053025413,0.9766318473385107,55.78133605644297,23
ucb_002,45,21,test,0.005,-301.2537299999999,-30.12537299999999,-16.543357418909277,-0.3621416303072835,65.5267776172921,16
ucb_002,45,22,train,0.005,10225.938900000001,1022.5938900000001,30.849278972019146,0.979092473529147,55.77500740997432,23
ucb_002,45,22,test,0.005,-301.2537299999999,-30.12537299999999,-16.543357418909277,-0.3621416303072835,65.5267776172921,16
ucb_002,45,23,train,0.005,10252.690260000001,1025.2690260000002,30.883911954747557,0.9797082037036519,55.76919793879915,23
ucb_002,45,23,test,0.005,-339.75252999999987,-33.97525299999999,-18.89566916954556,-0.4488948040764733,65.5267776172921,15
ucb_002,45,24,train,0.005,10279.531230000002,1027.9531230000002,30.918587479098147,0.980299991195574,55.76050412115292,23
ucb_002,45,24,test,0.005,-339.75252999999987,-33.97525299999999,-18.89566916954556,-0.4488948040764733,65.5267776172921,15
ucb_002,45,25,train,0.005,10279.222390000003,1027.9222390000002,30.9181889097109,0.980259929842448,55.763717119732256,23
ucb_002,45,25,test,0.005,-321.12918,-32.112918,-17.749514202496876,-0.4149858301616182,64.42163945980172,16
ucb_002,45,26,train,0.005,10306.52592,1030.6525920000001,30.95338769999385,0.9813911445679664,55.76434116424879,23
ucb_002,45,26,test,0.005,-290.36633000000006,-29.036633000000005,-15.889850164817132,-0.36492217571856694,62.21667045492762,14
ucb_002,45,27,train,0.005,10012.417850000002,1001.2417850000002,30.57018917351193,0.9729261052392503,55.7754660223741,23
ucb_002,45,27,test,0.005,-340.93971,-34.093971,-18.96927278232088,-0.4737329672610565,63.376091214848906,14
ucb_002,45,28,train,0.005,9985.810900000002,998.5810900000002,30.535075354367702,0.972104880436717,55.775540639676855,23
ucb_002,45,28,test,0.005,-340.93971,-34.093971,-18.96927278232088,-0.4737329672610565,63.376091214848906,14
ucb_002,45,29,train,0.005,10012.417850000002,1001.2417850000002,30.57018917351193,0.9729261052392503,55.7754660223741,23
ucb_002,45,29,test,0.005,-340.93971,-34.093971,-18.96927278232088,-0.4737329672610565,63.376091214848906,14
ucb_002,45,30,train,0.005,10012.417850000002,1001.2417850000002,30.57018917351193,0.9729261052392503,55.7754660223741,23
ucb_002,45,30,test,0.005,-340.93971,-34.093971,-18.96927278232088,-0.4737329672610565,63.376091214848906,14
ucb_002,45,31,train,0.005,10012.417850000002,1001.2417850000002,30.57018917351193,0.9729261052392503,55.7754660223741,23
ucb_002,45,31,test,0.005,-300.65468,-30.065468,-16.50726932697616,-0.394703183368192,61.21457365973841,14
ucb_002,45,32,train,0.005,10012.417850000002,1001.2417850000002,30.57018917351193,0.9729261052392503,55.7754660223741,23
ucb_002,45,32,test,0.005,-300.65468,-30.065468,-16.50726932697616,-0.394703183368192,61.21457365973841,14
ucb_002,45,33,train,0.005,9985.844160000002,998.5844160000003,30.535119295537694,0.9720407101429595,55.77883138535622,23
ucb_002,45,33,test,0.005,-300.65468,-30.065468,-16.50726932697616,-0.394703183368192,61.21457365973841,14
ucb_002,45,34,train,0.005,10012.417850000002,1001.2417850000002,30.57018917351193,0.9729261052392503,55.7754660223741,23
ucb_002,45,34,test,0.005,-300.65468,-30.065468,-16.50726932697616,-0.394703183368192,61.21457365973841,14
ucb_002,45,35,train,0.005,10012.458060000003,1001.2458060000002,30.570242182506945,0.972922007843941,55.774697632134675,23
ucb_002,45,35,test,0.005,-301.04266999999993,-30.104266999999997,-16.53064095093706,-0.395236215632141,61.249725302761306,14
ucb_002,45,36,train,0.005,9986.314800000002,998.6314800000002,30.53574106495134,0.9720775353275772,55.769816735055464,23
ucb_002,45,36,test,0.005,-301.04266999999993,-30.104266999999997,-16.53064095093706,-0.395236215632141,61.249725302761306,14
ucb_002,45,37,train,0.005,10012.635620000003,1001.2635620000003,30.570476258469203,0.9729554967766065,55.772805221448984,23
ucb_002,45,37,test,0.005,-301.04266999999993,-30.104266999999997,-16.53064095093706,-0.395236215632141,61.249725302761306,14
ucb_002,45,38,train,0.005,9933.696710000002,993.3696710000002,30.466079454112638,0.970698752544427,55.763544373719895,23
ucb_002,45,38,test,0.005,-301.04266999999993,-30.104266999999997,-16.53064095093706,-0.395236215632141,61.249725302761306,14
ucb_002,45,39,train,0.005,9933.696710000002,993.3696710000002,30.466079454112638,0.970698752544427,55.763544373719895,23
ucb_002,45,39,test,0.005,-301.04266999999993,-30.104266999999997,-16.53064095093706,-0.395236215632141,61.249725302761306,14
ucb_002,45,40,train,0.005,9933.696710000002,993.3696710000002,30.466079454112638,0.970698752544427,55.763544373719895,23
ucb_002,45,40,test,0.005,-169.30851999999993,-16.930851999999994,-8.933583522859445,-0.16043772474563492,53.78422988520411,13
ucb_002,45,41,train,0.005,10012.458060000003,1001.2458060000002,30.570242182506945,0.972922007843941,55.774697632134675,23
ucb_002,45,41,test,0.005,-169.30851999999993,-16.930851999999994,-8.933583522859445,-0.16043772474563492,53.78422988520411,13
ucb_002,45,42,train,0.005,9933.519150000002,993.3519150000002,30.465843876665886,0.9706650959617311,55.76544996509449,23
ucb_002,45,42,test,0.005,-169.30851999999993,-16.930851999999994,-8.933583522859445,-0.16043772474563492,53.78422988520411,13
ucb_002,45,43,train,0.005,9933.519150000002,993.3519150000002,30.465843876665886,0.9706650959617311,55.76544996509449,23
ucb_002,45,43,test,0.005,-169.30851999999993,-16.930851999999994,-8.933583522859445,-0.16043772474563492,53.78422988520411,13
ucb_002,45,44,train,0.005,9933.519150000002,993.3519150000002,30.465843876665886,0.9706650959617311,55.76544996509449,23
ucb_002,45,44,test,0.005,-169.30851999999993,-16.930851999999994,-8.933583522859445,-0.16043772474563492,53.78422988520411,13
ucb_002,45,45,train,0.005,9985.851110000001,998.5851110000002,30.535128477456965,0.9721007785107323,55.774770387923624,23
ucb_002,45,45,test,0.005,-169.30851999999993,-16.930851999999994,-8.933583522859445,-0.16043772474563492,53.78422988520411,13
ucb_002,46,1,train,0.01,41.33550999999966,4.133550999999966,0.45136868085611237,-2.2455388125142073,1.1207453011926285,0
ucb_002,46,1,test,0.01,8.816550000000234,0.8816550000000234,0.44381788611880246,-1.1738644254789865,1.38739912064561,0
ucb_002,46,2,train,0.009300000000000001,39.882719999999836,3.988271999999984,0.43577702325330314,-1.9189484881169847,1.7251765777543393,0
ucb_002,46,2,test,0.009300000000000001,13.21245000000033,1.321245000000033,0.6643858223901677,-0.9261502692050578,1.4433427626063011,0
ucb_002,46,3,train,0.008649000000000002,38.80371999999966,3.880371999999966,0.42418442658933575,-1.9085486308067356,1.724836691625789,0
ucb_002,46,3,test,0.008649000000000002,13.862950000000183,1.3862950000000183,0.696984893561603,-0.8885927776367187,1.4433427626063011,0
ucb_002,46,4,train,0.008043570000000002,33.324040000000196,3.3324040000000195,0.3651459489234954,-1.6325860865191693,1.7810427181689408,0
ucb_002,46,4,test,0.008043570000000002,19.272969999999987,1.9272969999999987,0.967701398868237,-0.639441263821834,1.4433427626063011,0
ucb_002,46,5,train,0.007480520100000002,36.779850000000124,3.677985000000012,0.4024114100744436,-1.5406202161874647,1.775211411613172,0
ucb_002,46,5,test,0.007480520100000002,21.093570000000227,2.109357000000023,1.0586437330498688,-0.5683414480359594,1.4433427626063011,0
ucb_002,46,6,train,0.0069568836930000025,50.217699999999695,5.021769999999969,0.5462759634459413,-1.3406427983917049,1.7251881991691236,0
ucb_002,46,6,test,0.0069568836930000025,22.191350000000057,2.219135000000006,1.1134410460870159,-0.5305147575929825,1.4433427626063011,0
ucb_002,46,7,train,0.0064699018344900015,59.60589999999979,5.960589999999979,0.6458176004304983,-1.2108459044902475,1.7699668458119027,0
ucb_002,46,7,test,0.0064699018344900015,22.198210000000017,2.219821000000002,1.1137833814319098,-0.5312105581242604,1.4433427626063011,0
ucb_002,46,8,train,0.006017008706075703,84.00044999999909,8.400044999999908,0.9008508285616834,-0.8375874586122101,1.764723609460328,0
ucb_002,46,8,test,0.006017008706075703,18.52498999999989,1.8524989999999888,0.9303150901644353,-0.6108927781543055,1.4433427626063011,0
ucb_002,46,9,train,0.005595818096650404,97.65604999999869,9.76560499999987,1.0413947439245064,-0.684435126847883,2.0448512080512398,0
ucb_002,46,9,test,0.005595818096650404,26.79917999999998,2.679917999999998,1.3431302478986273,-0.3612429945718339,1.4433427626063011,0
ucb_002,46,10,train,0.005204110829884876,115.96527999999876,11.596527999999875,1.2274150268321682,-0.49390285977245313,2.160573906756381,0
ucb_002,46,10,test,0.005204110829884876,28.924669999999878,2.892466999999988,1.4489086414188002,-0.2691318341693907,1.639174455959664,0
ucb_002,46,11,train,0.005,134.0739699999981,13.40739699999981,1.4087485110978681,-0.34434774840611304,1.88924891167204,0
ucb_002,46,11,test,0.005,29.17863999999986,2.917863999999986,1.461540618246504,-0.2191523262688804,1.9182204878563858,0
ucb_002,46,12,train,0.005,156.31744999999773,15.631744999999771,1.6279966949563462,-0.1301785378963053,6.74845334176841,0
ucb_002,46,12,test,0.005,34.98594000000003,3.498594000000003,1.7499641861032478,-0.06703011099982255,2.66791341853611,0
ucb_002,46,13,train,0.005,159.34349999999722,15.934349999999723,1.6575334437359812,-0.11556034285262999,6.961652487537162,0
ucb_002,46,13,test,0.005,38.1272299999996,3.81272299999996,1.9056443578837179,-0.016388933762068132,2.671343432188084,0
ucb_002,46,14,train,0.005,163.896499999998,16.3896499999998,1.7018456303211194,-0.09915128543006949,6.8557149606776875,0
ucb_002,46,14,test,0.005,43.74084999999968,4.374084999999968,2.183271335862469,0.06718557779881869,2.6676282661592596,0
ucb_002,46,15,train,0.005,291.8661499999989,29.186614999999893,2.888293982811918,0.22262703429112424,11.883784822808138,0
ucb_002,46,15,test,0.005,41.07365999999956,4.107365999999956,2.051455388024137,0.028737935272956233,3.2199992178671484,0
ucb_002,46,16,train,0.005,132.11850999999842,13.211850999999841,1.38929173623763,-0.09879445268161628,20.26924879821888,0
ucb_002,46,16,test,0.005,43.61651999999958,4.361651999999959,2.177130499414326,0.06049967340353207,3.212143235275766,0
ucb_002,46,17,train,0.005,113.67936999999824,11.367936999999824,1.2043392083358029,-0.1525651269982437,17.797967071669127,0
