model,seed,episode,split,profit,roi,arr,sharpe,max_drawdown,violations
Epsilon-Greedy,44,1,train,3226.317809999997,322.63178099999965,17.38131975882351,0.7454814716240329,52.82216367703588,15
Epsilon-Greedy,44,1,test,-4.5919299999997065,-0.4591929999999706,-0.2319219510916625,0.0873886949700106,49.01398104265823,10
Epsilon-Greedy,44,2,train,3212.9692899999973,321.2969289999997,17.340040187740403,0.7478694251450845,53.01887611761303,14
Epsilon-Greedy,44,2,test,-4.414569999999685,-0.4414569999999684,-0.2229543017754132,0.086919874580686,49.12926401661067,10
Epsilon-Greedy,44,3,train,3239.607049999998,323.9607049999998,17.42230105854421,0.7542845962271415,52.37062874463406,14
Epsilon-Greedy,44,3,test,16.286520000000337,1.6286520000000335,0.818348217600362,0.1166554901973667,47.74612052174802,9
Epsilon-Greedy,44,4,train,3266.505749999997,326.6505749999998,17.504902902811015,0.7602626136609821,51.81927877582822,14
Epsilon-Greedy,44,4,test,16.286520000000337,1.6286520000000335,0.818348217600362,0.1166554901973667,47.74612052174802,9
Epsilon-Greedy,44,5,train,3224.8928899999974,322.48928899999976,17.376918800560937,0.7538169006537339,52.31143967844629,14
Epsilon-Greedy,44,5,test,10.514600000000314,1.0514600000000314,0.5290752987687553,0.107328597446439,47.913292337499634,9
Epsilon-Greedy,44,6,train,3658.3272499999975,365.83272499999975,18.658439303636687,0.8369185177015758,44.10536441499255,10
Epsilon-Greedy,44,6,test,10.033250000000294,1.003325000000029,0.5049144051758381,0.1068584811011336,47.95588633466881,9
Epsilon-Greedy,44,7,train,3682.119279999999,368.2119279999999,18.72567056867505,0.8415723249110442,43.51561216682728,10
Epsilon-Greedy,44,7,test,4.590450000000374,0.4590450000000373,0.2313203495110327,0.0997521116321444,48.57359884331924,9
Epsilon-Greedy,44,8,train,3681.845809999999,368.1845809999999,18.724899526787464,0.8425880114370891,43.31239506996354,10
Epsilon-Greedy,44,8,test,26.224390000000085,2.6224390000000084,1.3145062752168537,0.13277366766704,47.735329334556205,9
Epsilon-Greedy,44,9,train,3400.935599999997,340.09355999999974,17.91090630607075,0.7826379009163473,49.64807013300097,13
Epsilon-Greedy,44,9,test,16.70279000000005,1.6702790000000052,0.8391790257176401,0.1201382087454022,48.34981466324037,9
Epsilon-Greedy,44,10,train,3396.5096099999973,339.6509609999997,17.897715588407802,0.7754881175968622,49.920832179623375,14
Epsilon-Greedy,44,10,test,16.70279000000005,1.6702790000000052,0.8391790257176401,0.1201382087454022,48.34981466324037,9
Epsilon-Greedy,44,11,train,3400.7895999999973,340.0789599999997,17.910471372356707,0.7847484697990874,49.50989945398647,13
Epsilon-Greedy,44,11,test,16.70279000000005,1.6702790000000052,0.8391790257176401,0.1201382087454022,48.34981466324037,9
Epsilon-Greedy,44,12,train,3319.735099999998,331.9735099999998,17.667006961306342,0.7697851739646925,50.96248228651105,13
Epsilon-Greedy,44,12,test,16.170870000000264,1.6170870000000264,0.8125601585515119,0.1192985602134209,48.47231299925612,9
Epsilon-Greedy,44,13,train,3713.678369999998,371.3678369999998,18.814382928186863,0.8425685588220314,43.7084150098738,10
Epsilon-Greedy,44,13,test,16.170870000000264,1.6170870000000264,0.8125601585515119,0.1192985602134209,48.47231299925612,9
Epsilon-Greedy,44,14,train,3708.890259999997,370.8890259999997,18.80095762281686,0.8429403530510927,43.75723906110342,10
Epsilon-Greedy,44,14,test,9.395570000000362,0.9395570000000362,0.4728978921904714,0.108655050785832,48.80887769511781,9
Epsilon-Greedy,44,15,train,3655.579569999997,365.55795699999976,18.650655291411656,0.838982631410978,43.75920906922402,9
Epsilon-Greedy,44,15,test,5.403850000000261,0.5403850000000261,0.2722542508047487,0.102079381987432,49.23250014985548,9
Epsilon-Greedy,44,16,train,3655.916479999998,365.5916479999998,18.651609956790715,0.8428362442118111,43.76060530285459,9
