ticker,period,model_key,step,time,portfolio_value
ACB,GOOD,BUY_AND_HOLD,0,2018-12-28,1000.0
ACB,GOOD,BUY_AND_HOLD,1,2019-01-02,985.32136
ACB,GOOD,BUY_AND_HOLD,2,2019-01-03,948.84136
ACB,GOOD,BUY_AND_HOLD,3,2019-01-04,954.92136
ACB,GOOD,BUY_AND_HOLD,4,2019-01-07,968.60136
ACB,GOOD,BUY_AND_HOLD,5,2019-01-08,962.52136
ACB,GOOD,BUY_AND_HOLD,6,2019-01-09,979.2413600000001
ACB,GOOD,BUY_AND_HOLD,7,2019-01-10,976.20136
ACB,GOOD,BUY_AND_HOLD,8,2019-01-11,976.20136
ACB,GOOD,BUY_AND_HOLD,9,2019-01-14,968.60136
ACB,GOOD,BUY_AND_HOLD,10,2019-01-15,982.28136
ACB,GOOD,BUY_AND_HOLD,11,2019-01-16,971.64136
ACB,GOOD,BUY_AND_HOLD,12,2019-01-17,976.20136
ACB,GOOD,BUY_AND_HOLD,13,2019-01-18,965.5613599999999
ACB,GOOD,BUY_AND_HOLD,14,2019-01-21,995.96136
ACB,GOOD,BUY_AND_HOLD,15,2019-01-22,982.28136
ACB,GOOD,BUY_AND_HOLD,16,2019-01-23,982.28136
ACB,GOOD,BUY_AND_HOLD,17,2019-01-24,985.32136
ACB,GOOD,BUY_AND_HOLD,18,2019-01-25,985.32136
ACB,GOOD,BUY_AND_HOLD,19,2019-01-28,976.20136
ACB,GOOD,BUY_AND_HOLD,20,2019-01-29,979.2413600000001
ACB,GOOD,BUY_AND_HOLD,21,2019-01-30,988.36136
ACB,GOOD,BUY_AND_HOLD,22,2019-01-31,992.92136
ACB,GOOD,BUY_AND_HOLD,23,2019-02-01,995.96136
ACB,GOOD,BUY_AND_HOLD,24,2019-02-11,1018.76136
ACB,GOOD,BUY_AND_HOLD,25,2019-02-12,1029.4013599999998
ACB,GOOD,BUY_AND_HOLD,26,2019-02-13,1029.4013599999998
ACB,GOOD,BUY_AND_HOLD,27,2019-02-14,1015.7213599999999
ACB,GOOD,BUY_AND_HOLD,28,2019-02-15,1018.76136
ACB,GOOD,BUY_AND_HOLD,29,2019-02-18,1026.3613599999999
ACB,GOOD,BUY_AND_HOLD,30,2019-02-19,1023.32136
ACB,GOOD,BUY_AND_HOLD,31,2019-02-20,1026.3613599999999
ACB,GOOD,BUY_AND_HOLD,32,2019-02-21,1015.7213599999999
ACB,GOOD,BUY_AND_HOLD,33,2019-02-22,1029.4013599999998
ACB,GOOD,BUY_AND_HOLD,34,2019-02-25,1046.12136
ACB,GOOD,BUY_AND_HOLD,35,2019-02-26,1040.0413600000002
ACB,GOOD,BUY_AND_HOLD,36,2019-02-27,1032.4413599999998
ACB,GOOD,BUY_AND_HOLD,37,2019-02-28,1002.0413599999999
ACB,GOOD,BUY_AND_HOLD,38,2019-03-01,1012.68136
ACB,GOOD,BUY_AND_HOLD,39,2019-03-04,1026.3613599999999
ACB,GOOD,BUY_AND_HOLD,40,2019-03-05,1023.32136
ACB,GOOD,BUY_AND_HOLD,41,2019-03-06,1023.32136
ACB,GOOD,BUY_AND_HOLD,42,2019-03-07,1029.4013599999998
ACB,GOOD,BUY_AND_HOLD,43,2019-03-08,1023.32136
ACB,GOOD,BUY_AND_HOLD,44,2019-03-11,1026.3613599999999
ACB,GOOD,BUY_AND_HOLD,45,2019-03-12,1043.0813600000001
ACB,GOOD,BUY_AND_HOLD,46,2019-03-13,1059.80136
ACB,GOOD,BUY_AND_HOLD,47,2019-03-14,1062.84136
ACB,GOOD,BUY_AND_HOLD,48,2019-03-15,1070.4413599999998
ACB,GOOD,BUY_AND_HOLD,49,2019-03-18,1076.5213600000002
ACB,GOOD,BUY_AND_HOLD,50,2019-03-19,1056.76136
ACB,GOOD,BUY_AND_HOLD,51,2019-03-20,1046.12136
ACB,GOOD,BUY_AND_HOLD,52,2019-03-21,1026.3613599999999
ACB,GOOD,BUY_AND_HOLD,53,2019-03-22,1029.4013599999998
ACB,GOOD,BUY_AND_HOLD,54,2019-03-25,1015.7213599999999
ACB,GOOD,BUY_AND_HOLD,55,2019-03-26,1023.32136
ACB,GOOD,BUY_AND_HOLD,56,2019-03-27,1026.3613599999999
ACB,GOOD,BUY_AND_HOLD,57,2019-03-28,1023.32136
ACB,GOOD,BUY_AND_HOLD,58,2019-03-29,1023.32136
ACB,GOOD,BUY_AND_HOLD,59,2019-04-01,1023.32136
ACB,GOOD,BUY_AND_HOLD,60,2019-04-02,1023.32136
ACB,GOOD,BUY_AND_HOLD,61,2019-04-03,1015.7213599999999
ACB,GOOD,BUY_AND_HOLD,62,2019-04-04,1018.76136
ACB,GOOD,BUY_AND_HOLD,63,2019-04-05,1018.76136
ACB,GOOD,BUY_AND_HOLD,64,2019-04-08,1040.0413600000002
ACB,GOOD,BUY_AND_HOLD,65,2019-04-09,1029.4013599999998
ACB,GOOD,BUY_AND_HOLD,66,2019-04-10,1018.76136
ACB,GOOD,BUY_AND_HOLD,67,2019-04-11,1023.32136
ACB,GOOD,BUY_AND_HOLD,68,2019-04-12,1018.76136
ACB,GOOD,BUY_AND_HOLD,69,2019-04-16,1012.68136
ACB,GOOD,BUY_AND_HOLD,70,2019-04-17,1009.64136
ACB,GOOD,BUY_AND_HOLD,71,2019-04-18,1002.0413599999999
ACB,GOOD,BUY_AND_HOLD,72,2019-04-19,999.0013600000001
ACB,GOOD,BUY_AND_HOLD,73,2019-04-22,988.36136
ACB,GOOD,BUY_AND_HOLD,74,2019-04-23,999.0013600000001
ACB,GOOD,BUY_AND_HOLD,75,2019-04-24,1015.7213599999999
ACB,GOOD,BUY_AND_HOLD,76,2019-04-25,1012.68136
ACB,GOOD,BUY_AND_HOLD,77,2019-04-26,1015.7213599999999
ACB,GOOD,BUY_AND_HOLD,78,2019-05-02,1002.0413599999999
ACB,GOOD,BUY_AND_HOLD,79,2019-05-03,1012.68136
ACB,GOOD,BUY_AND_HOLD,80,2019-05-06,992.92136
ACB,GOOD,BUY_AND_HOLD,81,2019-05-07,995.96136
ACB,GOOD,BUY_AND_HOLD,82,2019-05-08,995.96136
ACB,GOOD,BUY_AND_HOLD,83,2019-05-09,982.28136
ACB,GOOD,BUY_AND_HOLD,84,2019-05-10,988.36136
ACB,GOOD,BUY_AND_HOLD,85,2019-05-13,985.32136
ACB,GOOD,BUY_AND_HOLD,86,2019-05-14,982.28136
ACB,GOOD,BUY_AND_HOLD,87,2019-05-15,995.96136
ACB,GOOD,BUY_AND_HOLD,88,2019-05-16,988.36136
ACB,GOOD,BUY_AND_HOLD,89,2019-05-17,985.32136
ACB,GOOD,BUY_AND_HOLD,90,2019-05-20,988.36136
