model_key,model,seed,episode,split,control,profit,roi,arr,sharpe,max_drawdown,violations
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,1,train,1.0,2089.423689999999,208.94236899999993,13.36215981881863,0.5936560683338352,54.54149449392644,16
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,1,test,1.0,-183.42731999999978,-18.342731999999977,-9.71775039124293,-0.11807305982927171,68.32117501803909,18
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,2,train,0.95,2146.6937499999985,214.66937499999986,13.593911058794529,0.6017044954994059,54.791614961756885,16
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,2,test,0.95,-185.1263399999998,-18.51263399999998,-9.81256641282442,-0.11994919949914111,68.33010363847293,18
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,3,train,0.9025,2546.3576899999994,254.63576899999993,15.114170648321124,0.6581434920212881,54.81140192387307,16
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,3,test,0.9025,-185.22511999999983,-18.52251199999998,-9.818081971040037,-0.12009455324793225,68.33010363847293,18
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,4,train,0.8573749999999999,2895.23547,289.523547,16.321447807818235,0.7021739220334655,54.689933935882365,17
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,4,test,0.8573749999999999,-184.1236799999998,-18.412367999999983,-9.756599833597946,-0.11844164726456462,68.33010363847293,18
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,5,train,0.8145062499999999,2845.5127899999998,284.55127899999997,16.155408062584353,0.6970177865075554,54.62095458048538,17
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,5,test,0.8145062499999999,-185.3336099999999,-18.53336099999999,-9.824140086306898,-0.12025418968016327,68.33010363847293,18
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,6,train,0.7737809374999998,2817.5078799999997,281.75078799999994,16.061048930161228,0.6932886499794513,54.64761032319666,17
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,6,test,0.7737809374999998,-185.5638399999998,-18.55638399999998,-9.83699752541839,-0.12059068953610987,68.33010363847293,18
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,7,train,0.7350918906249998,2786.8246499999996,278.6824649999999,15.956956572978198,0.6888296993107593,54.688848878217755,17
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,7,test,0.7350918906249998,-185.31534999999985,-18.531534999999984,-9.823120414261965,-0.12022334025795547,68.33010363847293,18
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,8,train,0.6983372960937497,2759.0085999999997,275.90085999999997,15.861941198435181,0.6859772128849666,54.64135006700879,16
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,8,test,0.6983372960937497,-183.43746999999985,-18.343746999999986,-9.718316534793846,-0.1175119518070602,68.33010363847293,18
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,9,train,0.6634204312890623,2727.939159999999,272.7939159999999,15.755071055386626,0.6817884254752659,54.662928511677244,16
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,9,test,0.6634204312890623,-183.9587899999999,-18.39587899999999,-9.74739925046123,-0.11836560315603982,68.33010363847293,18
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,10,train,0.6302494097246091,2677.9652799999994,267.79652799999997,15.581502669111602,0.6761958575013403,54.58802957937204,16
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,41,10,test,0.6302494097246091,-186.9067799999999,-18.69067799999999,-9.912031355867423,-0.12298376896924633,68.33010363847293,18
