model_key,model,strategy,seed,episodes,gamma,beta_0,beta_decay,beta_min,epsilon_init,epsilon_decay,epsilon_min,vae_latent_dim,vae_lr,vae_beta_kl,train_profit,train_roi,train_arr,train_sharpe,train_max_drawdown,train_violations,test_profit,test_roi,test_arr,test_sharpe,test_max_drawdown,test_violations,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,cost_loss_mean,novelty_mean,finite,elapsed_seconds
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,41,45,0.95,,,,1.0,0.95,0.05,,,,2550.4003099999995,255.04003099999997,15.128753555575392,0.6568472748469575,54.60953598768472,15,-172.76086999999984,-17.276086999999983,-9.124715277060357,-0.09918521754381364,68.33010363847293,18,2723.161179999999,272.31611799999996,24.253468832635747,0.7560324923907711,8.192440998052925,,,,True,124.27194877399995
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,42,45,0.95,,,,1.0,0.95,0.05,,,,353.59908999999857,35.35990899999986,3.42368622397895,0.21948428217113716,21.16432922135421,0,-34.89200000000005,-3.4892000000000056,-1.7757503503496141,0.02258608773968974,50.14645584954904,11,388.4910899999986,38.849108999999864,5.199436574328564,0.19689819443144743,1.2380713166055315,,,,True,121.528132142
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,43,45,0.95,,,,1.0,0.95,0.05,,,,2885.7339199999965,288.5733919999996,16.289865297399086,1.0090313090774057,20.605275168818622,2,63.95850000000064,6.395850000000064,3.177074069973873,0.15088928597427748,20.17869643042798,1,2821.775419999996,282.17754199999956,13.112791227425213,0.8581420231031283,4.300936724785945,,,,True,120.98910563100003
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,44,45,0.95,,,,1.0,0.95,0.05,,,,3309.3685499999965,330.93685499999964,17.63557653195582,0.7597369359444319,52.707253834552105,13,-77.90487999999982,-7.790487999999981,-4.009171128498679,-0.02526059040841648,53.63257429983045,10,3387.2734299999966,338.7273429999996,21.6447476604545,0.7849975263528484,9.855145994304783,,,,True,121.77866859899984
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,45,45,0.95,,,,1.0,0.95,0.05,,,,9641.03253,964.103253,30.073092252226186,0.9623968169145305,55.76070387576656,23,-211.16203999999993,-21.116203999999993,-11.277967159364389,-0.1605969943204928,68.71936382873737,18,9852.19457,985.219457,41.351059411590576,1.1229938112350233,20.17108318503532,,,,True,121.84385923500008
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,46,45,0.95,,,,1.0,0.95,0.05,,,,340.9366400000017,34.093664000000174,3.3156635432145087,0.17806969690290567,43.820808900146574,2,-35.9446599999992,-3.5944659999999207,-1.8298133316391407,-0.44961691197613796,13.104188100159696,0,376.8813000000009,37.68813000000009,5.1454768748536495,0.6276866088790436,1.1785739726795137,,,,True,122.69913653399999
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,47,45,0.95,,,,1.0,0.95,0.05,,,,3132.7458899999965,313.27458899999965,17.089476657255975,1.1587054370306342,14.189366641738266,1,149.91858000000002,14.991858000000002,7.301520759373781,0.3182832168247774,44.25635710028705,5,2982.8273099999965,298.28273099999967,9.787955897882195,0.8404222202058569,3.046304023958007,,,,True,122.02136777800001
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,48,45,0.95,,,,1.0,0.95,0.05,,,,12752.30124,1275.2301240000002,33.83595041230094,1.045257811534804,55.774452383890846,25,-10.150969999999802,-1.0150969999999804,-0.5133997023825998,-4.440019274767627,1.2423490000000015,0,12762.452210000001,1276.2452210000001,34.34935011468354,5.485277086302431,28.326810680573555,,,,True,121.78364701100008
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,49,45,0.95,,,,1.0,0.95,0.05,,,,3829.505580000001,382.9505580000001,19.13551133906659,0.7988264261992141,37.82357519857301,6,33.64819000000011,3.3648190000000113,1.6835951400930416,0.052512105289104626,22.981055415678885,0,3795.857390000001,379.5857390000001,17.45191619897355,0.7463143209101094,8.76704480961586,,,,True,121.86039503300003
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,50,45,0.95,,,,1.0,0.95,0.05,,,,12641.479459999999,1264.147946,33.71560270703071,1.061022603990372,55.36265514906296,23,5.253770000000031,0.5253770000000032,0.2647027934074675,-0.7800673751440068,2.297553494004487,0,12636.22569,1263.622569,33.450899913623246,1.8410899791343789,5.1278025454220675,,,,True,121.89801477600008
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,51,45,0.95,,,,1.0,0.95,0.05,,,,9751.73002,975.173002,30.22285264978839,0.9721453399717405,55.77461404333345,22,94.3288500000001,9.43288500000001,4.652511963846329,0.32848043779524533,9.840373788584362,0,9657.401170000001,965.7401169999999,25.57034068594206,0.6436649021764951,17.145011431929642,,,,True,121.61522576599987
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,52,45,0.95,,,,1.0,0.95,0.05,,,,12885.240490000002,1288.5240490000003,33.97918473162667,1.0475132963782516,55.776974975707084,25,-219.8740400000006,-21.987404000000062,-11.773652969502745,-0.30455388993540444,57.02351130118851,13,13105.114530000003,1310.5114530000003,45.75283770112941,1.352067186313656,30.15016581688858,,,,True,122.0416189770001
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,53,45,0.95,,,,1.0,0.95,0.05,,,,7592.0190600000005,759.201906,27.01629691899141,0.9129276523201438,55.79332813580691,22,128.86785000000032,12.886785000000032,6.3060213942882415,0.2874548607814553,42.95077525259429,6,7463.15121,746.315121,20.71027552470317,0.6254727915386885,11.69257025074984,,,,True,122.21235540999987
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,54,45,0.95,,,,1.0,0.95,0.05,,,,9172.865669999996,917.2865669999995,29.423999232003627,0.9966385287660386,55.5338071548936,18,17.071440000000052,1.7071440000000053,0.8576233255352728,-0.3801600393267739,2.417748155848901,0,9155.794229999996,915.5794229999996,28.566375906468355,1.3767985680928125,3.95242720926123,,,,True,121.73316943600003
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,55,45,0.95,,,,1.0,0.95,0.05,,,,9164.05103,916.4051030000002,29.411525447702225,0.9591703711957003,55.637815694176915,22,-44.17074000000025,-4.417074000000025,-2.253303474835888,-0.13893154414905828,27.844493074176768,2,9208.22177,920.8221770000002,31.664828922538113,1.0981019153447584,13.589205948999266,,,,True,122.53609122300031
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,56,45,0.95,,,,1.0,0.95,0.05,,,,1498.670100000002,149.8670100000002,10.718488182118268,0.7085525376006951,20.288411012842886,3,90.73106000000007,9.073106000000006,4.478794506962358,0.358327468817171,6.641577255237839,0,1407.939040000002,140.7939040000002,6.23969367515591,0.35022506878352416,1.8816773434951442,,,,True,122.11407387300005
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,57,45,0.95,,,,1.0,0.95,0.05,,,,6354.283630000002,635.4283630000002,24.838404828097893,0.9311719064491389,37.04440268954593,13,35.787329999999656,3.578732999999966,1.78970274399608,0.04510870740577605,15.154989891598875,2,6318.4963000000025,631.8496300000003,23.048702084101812,0.886063199043363,5.958884285362783,,,,True,121.09718282099993
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,58,45,0.95,,,,1.0,0.95,0.05,,,,2086.7461500000013,208.67461500000016,13.351231614945181,0.717147880950942,25.43318629000125,8,-54.82351000000028,-5.482351000000028,-2.8044159092693977,0.0038118877882199658,46.58022079347454,11,2141.5696600000015,214.15696600000018,16.15564752421458,0.713335993162722,5.051470178939448,,,,True,121.35777080400021
EPSILON_GREEDY,Epsilon-Greedy — Battle strategy,epsilon,59,45,0.95,,,,1.0,0.95,0.05,,,,522.691850000002,52.26918500000019,4.786207472118953,0.3602728774802428,16.54408698861879,0,-27.012370000000146,-2.7012370000000145,-1.3719892539553302,-0.04959090859832964,33.735162023731355,3,549.7042200000021,54.970422000000205,6.158196726074284,0.40986378607857243,2.1064326163494878,,,,True,120.82636596300017
