ticker,period,model_key,model,runs,test_profit_mean,test_profit_std,test_profit_median,test_profit_q25,test_profit_q75,test_profit_valid_n,test_roi_mean,test_roi_std,test_roi_median,test_roi_q25,test_roi_q75,test_roi_valid_n,test_arr_mean,test_arr_std,test_arr_median,test_arr_q25,test_arr_q75,test_arr_valid_n,test_volatility_mean,test_volatility_std,test_volatility_median,test_volatility_q25,test_volatility_q75,test_volatility_valid_n,test_sharpe_mean,test_sharpe_std,test_sharpe_median,test_sharpe_q25,test_sharpe_q75,test_sharpe_valid_n,test_max_drawdown_mean,test_max_drawdown_std,test_max_drawdown_median,test_max_drawdown_q25,test_max_drawdown_q75,test_max_drawdown_valid_n,test_violations_mean,test_violations_std,test_violations_median,test_violations_q25,test_violations_q75,test_violations_valid_n,test_collapse_rate,test_no_trade_rate,test_invalid_action_rate_mean
VCB,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE (env_v3),20,57.25227399999968,75.7133083362819,71.61786999999936,18.30412000000055,96.46673750000002,20,5.725227399999968,7.57133083362819,7.1617869999999355,1.8304120000000554,9.646673750000001,20,2.7674625049315393,3.7674437403211405,3.5304233011488217,0.913689931566386,4.72768645901488,20,14.758557108400913,5.352869659012067,15.25875660264039,11.786555554299934,19.847004656021976,20,-0.00425351567985093,0.6264909653405157,0.1716668868919668,-0.0417758339758252,0.2656079414391961,20,19.0435395143056,8.378012860936343,20.728741017608435,12.453647216812305,24.58709953849891,20,0.25,0.4442616583193193,0.0,0.0,0.25,20,0.0,0.0,0.0
VCB,BAD,EPSILON_GREEDY,Deep SARSA Epsilon-Greedy,20,72.36833299999975,78.89495322734813,68.78569499999992,52.857254999999725,99.71177999999964,20,7.236833299999974,7.889495322734811,6.878569499999992,5.285725499999972,9.971177999999963,20,3.4991453027425705,3.877100940248299,3.3938569714856204,2.617760143591746,4.883665598597064,20,15.08582034878999,5.168471237942449,15.66768315227643,12.398180898522645,19.18808472319683,20,0.12620737956256398,0.37773954384824654,0.17642393532303507,0.12418910118518095,0.2404631379472451,20,19.068591164305968,8.565852291259546,20.528807445791458,12.123030936775535,23.859105008201688,20,0.35,0.48936048492959294,0.0,0.0,1.0,20,0.0,0.0,0.0
VCB,BAD,BUY_AND_HOLD,Buy-and-Hold,1,197.46518000000012,0.0,197.46518000000012,197.46518000000012,197.46518000000012,1,19.746518000000016,0.0,19.746518000000016,19.746518000000016,19.746518000000016,1,9.46261699036599,0.0,9.46261699036599,9.46261699036599,9.46261699036599,1,25.325146316049345,0.0,25.325146316049345,25.325146316049345,25.325146316049345,1,0.4077621538944718,0.0,0.4077621538944718,0.4077621538944718,0.4077621538944718,1,34.582351417649,0.0,34.582351417649,34.582351417649,34.582351417649,1,2.0,0.0,2.0,2.0,2.0,1,0.0,0.0,0.0
