ticker,period,model_key,model,runs,test_profit_mean,test_profit_std,test_roi_mean,test_roi_std,test_arr_mean,test_arr_std,test_volatility_mean,test_volatility_std,test_sharpe_mean,test_sharpe_std,test_max_drawdown_mean,test_max_drawdown_std,test_violations_mean,test_violations_std
FPT,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE (vae_019 + ucb_009),20,277.39901199999997,231.28923264192665,27.7399012,23.12892326419266,12.705967626415823,10.324426891675333,17.7921479103552,7.916838474551991,0.49240206581514034,0.594575956513429,21.055543609884552,9.612240050924251,2.1,1.860956177543373
FPT,BAD,EPSILON_GREEDY,Deep SARSA Epsilon-Greedy,20,277.12416000000013,199.9061772072694,27.71241600000001,19.990617720726934,12.807645783124618,8.89075495613243,16.75953248350964,8.287044346568026,0.4953170121572651,0.7787809474475541,20.053837478103535,10.585862820016825,2.25,2.1244194253340942
FPT,BAD,BUY_AND_HOLD,Buy-and-Hold,1,466.2460000000001,0.0,46.62460000000001,0.0,21.29684769467641,0.0,26.367857197811727,0.0,0.7907508139877614,0.0,29.65240611548645,0.0,4.0,0.0
