ticker,period,model_key,model,strategy,seed,episodes,gamma,beta_0,beta_decay,beta_min,epsilon_init,epsilon_decay,epsilon_min,vae_latent_dim,vae_lr,vae_beta_kl,train_profit,train_roi,train_arr,train_volatility,train_sharpe,train_max_drawdown,train_violations,test_profit,test_roi,test_arr,test_volatility,test_sharpe,test_max_drawdown,test_violations,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,cost_loss_mean,novelty_mean,finite,elapsed_seconds
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,41,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,502.8562999999997,50.28562999999997,7.043531953010707,17.135821374506317,0.36975271485684064,28.77824205548442,5,2435.5690600000003,243.55690600000003,50.99133614802695,26.58112948336777,1.6148213361905135,33.742798386044264,8,-1932.7127600000006,-193.27127600000006,-43.947804195016246,-1.2450686213336728,5.531154326427969,0.20394498407840728,0.03415754456715337,7.4019508971985815,True,320.616916823
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,42,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,204.02022000000215,20.402022000000215,3.1508416668463157,7.505846860956137,0.18799896421049722,15.794830295310499,0,664.0095899999997,66.40095899999997,18.53225075879237,17.082655521991033,0.9675330566622482,29.356255359696824,3,-459.9893699999975,-45.998936999999756,-15.381409091946054,-0.779534092451751,0.9470787712131385,0.18750852110057042,0.042288041493759074,7.070231548706844,True,321.024412093
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,43,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,144.24424,14.424424,2.276924799787028,10.095500222849681,0.07724250166418552,24.639019526746186,0,664.1472200000017,66.41472200000017,18.53552382473542,17.362726649592226,0.955150975354241,31.814065198005025,3,-519.9029800000017,-51.990298000000166,-16.258599024948392,-0.8779084736900554,1.6661092033747722,0.19185901366431138,0.049223233585984544,7.286328571475682,True,322.0042280559999
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,44,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,894.9320300000002,89.49320300000002,11.271005071172047,18.678979881517392,0.5631678620476959,28.77995996234587,6,2296.7911300000005,229.67911300000003,48.926984745089385,26.0494939896887,1.589398906219682,33.18054690732725,8,-1401.8591000000004,-140.18591,-37.65597967391734,-1.0262310441719862,6.529546754779639,0.21207684093508228,0.05453921582164436,7.531761983060052,True,323.1899293240001
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,45,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,1614.08896,161.40889600000003,17.41630002076542,22.35310892735207,0.7470309092564191,28.8822475777257,10,2298.43766,229.84376600000002,48.95181334816034,26.374854534392068,1.5735580237084676,33.61127541692382,8,-684.3487,-68.43486999999999,-31.535513327394924,-0.8265271144520485,6.588656220805865,0.20058705930052131,0.04358599133275706,7.444789351790971,True,324.413259015
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,46,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,493.45788999999627,49.34578899999963,6.931389161548407,7.128688790235886,0.7035061660340736,8.906396716940288,0,30.101869999999963,3.010186999999996,0.9950898084453375,1.1829439989438837,-0.8446323569830466,0.8108116461973474,0,463.3560199999963,46.33560199999963,5.936299353103069,1.54813852301712,0.2855800415393551,0.1896241630973487,0.0629428585413201,7.904399475893384,True,321.42570941300005
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,47,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,347.9712500000005,34.79712500000005,5.115755944173195,9.893156032123493,0.3559001286424885,17.031209186258863,0,602.5485599999997,60.25485599999997,17.05220711828943,16.930996006681305,0.9001943813765481,28.05378839611965,4,-254.57730999999922,-25.457730999999917,-11.936451174116236,-0.5442942527340595,1.8999336123397506,0.20438716617123834,0.05712601066534889,7.81563961165786,True,318.093688725
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,48,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,1832.7866000000008,183.2786600000001,19.00319068260572,22.60091781854902,0.8012511748831166,28.864764646858664,10,1915.8459500000008,191.5845950000001,42.945123100088665,23.765765241869246,1.5447005716651727,33.71142761934561,6,-83.05935,-8.305935000000005,-23.941932417482946,-0.7434493967820561,12.101004307579112,0.23480871792497307,0.05057118194627351,7.24902694719903,True,319.77475630900017
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,49,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,435.31741999999963,43.531741999999966,6.224282531911429,15.142369287074695,0.34587929263843803,27.567997202335725,5,27.14369000000056,2.714369000000056,0.8981653369351195,5.390699626952729,-0.17747508121060113,6.253591178258695,0,408.17372999999907,40.81737299999991,5.32611719497631,0.5233543738490392,2.9455663008480095,0.2167326864497415,0.05068458501442239,7.22744592782146,True,320.4804611789996
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,ucb,50,45,0.95,0.03,0.9,0.01,,,,16,0.0001,0.05,-54.740539999999555,-5.474053999999955,-0.9362144534678651,3.3143364220120333,-0.8731289839009464,10.464453811109898,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-54.740539999999555,-5.474053999999955,-0.9362144534678651,-0.8731289839009464,0.20184413842928026,0.1854400581326978,0.04507718666874129,7.598474812893849,True,318.03375299000027
