ticker,period,model_key,model,seed,episode,split,control,profit,roi,arr,volatility,sharpe,max_drawdown,violations
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,1,train,0.03,753.8383799999995,75.38383799999994,9.84169896597955,17.510211680846684,0.5141586751137853,28.751814360247398,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,1,test,0.03,2390.1109500000002,239.01109500000004,50.321356692889864,26.48430230088686,1.6028879114122079,33.69471278826116,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,2,train,0.027,763.7754199999993,76.37754199999992,9.94544042417489,17.629261474891354,0.5172620308344457,28.785406525205637,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,2,test,0.027,2390.1109500000002,239.01109500000004,50.321356692889864,26.48430230088686,1.6028879114122079,33.69471278826116,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,3,train,0.024300000000000002,766.8688399999996,76.68688399999996,9.977635978349397,17.653085548842487,0.5184801148676159,28.866127520270084,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,3,test,0.024300000000000002,2390.48954,239.04895399999998,50.32696113855406,26.475483108917143,1.6034747545939692,33.68666432961437,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,4,train,0.02187,689.629899999999,68.9629899999999,9.159310901385753,17.24243551842869,0.48302681735799025,28.810614898629517,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,4,test,0.02187,2390.48954,239.04895399999998,50.32696113855406,26.475483108917143,1.6034747545939692,33.68666432961437,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,5,train,0.019683,691.7756499999989,69.17756499999989,9.182461318200952,17.21921038718509,0.48468847245901775,28.781683280600866,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,5,test,0.019683,2390.48954,239.04895399999998,50.32696113855406,26.475483108917143,1.6034747545939692,33.68666432961437,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,6,train,0.0177147,685.3511399999991,68.53511399999991,9.11307432412174,17.229730016663108,0.48077910412619135,28.86930087786757,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,6,test,0.0177147,2390.48954,239.04895399999998,50.32696113855406,26.475483108917143,1.6034747545939692,33.68666432961437,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,7,train,0.015943230000000003,683.9606499999993,68.39606499999992,9.098027543071385,17.244544392941936,0.47970676421430214,28.888156846814944,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,7,test,0.015943230000000003,2390.48954,239.04895399999998,50.32696113855406,26.475483108917143,1.6034747545939692,33.68666432961437,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,8,train,0.014348907000000001,685.213039999999,68.5213039999999,9.111580377915729,17.22412694675998,0.4808009111304423,28.87117250465014,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,8,test,0.014348907000000001,2390.48954,239.04895399999998,50.32696113855406,26.475483108917143,1.6034747545939692,33.68666432961437,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,9,train,0.012914016300000003,696.0414999999991,69.6041499999999,9.22841286821039,17.168532672832367,0.4880916002783718,28.745812057131893,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,9,test,0.012914016300000003,2390.48954,239.04895399999998,50.32696113855406,26.475483108917143,1.6034747545939692,33.68666432961437,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,10,train,0.011622614670000002,696.3677799999991,69.63677799999991,9.231923577573475,17.187125169860888,0.4879422738501208,28.902488290615562,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,10,test,0.011622614670000002,2389.65871,238.965871,50.31466142517704,26.483298272224282,1.6027699982466337,33.70433201731443,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,11,train,0.010460353203000003,696.234439999999,69.6234439999999,9.230488933061377,17.147520690658784,0.48859513746890365,28.74363098924622,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,11,test,0.010460353203000003,2390.4586000000004,239.04586000000006,50.326503134838354,26.47597001373498,1.6034385671682885,33.6873219399284,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,12,train,0.01,696.264189999999,69.6264189999999,9.230809030254372,17.144730638570916,0.4886642522378803,28.779957316712302,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,12,test,0.01,2391.84999,239.18499900000003,50.347097079318395,26.459406118769262,1.6047962147952197,33.65777417959664,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,13,train,0.01,693.689249999999,69.3689249999999,9.203086455735377,17.158317717780072,0.4869140997187159,28.75756812686595,6
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,13,test,0.01,2391.84999,239.18499900000003,50.347097079318395,26.459406118769262,1.6047962147952197,33.65777417959664,8
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,14,train,0.01,685.460299999999,68.5460299999999,9.11425512936519,17.18692887524628,0.48162389821190416,28.868651218546017,6
