batch_idx,config_id,global_index,beta,beta_decay,delta,seed_list,seeds_completed,vae_recon,vae_kld,profit_mean,profit_std,arr_mean,arr_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,score
2,UCB-26,25,0.3,0.85,1.0,1|2|3,3,0.002609,0.476526,3375.756874,2992.862383,0.000179,0.000159,1.023258,0.414097,0.000333,0.000304,0.609158
2,UCB-34,33,0.3,0.97,0.5,1|2|3,3,0.002609,0.476526,881.517949,1504.851339,0.000047,0.000080,0.658328,0.584565,0.000041,0.000067,0.073763
2,UCB-35,34,0.3,0.97,1.0,1|2|3,3,0.002609,0.476526,321.370227,533.488333,0.000017,0.000028,0.639593,0.570874,0.000013,0.000017,0.068719
2,UCB-33,32,0.3,0.94,2.0,1|2|3,3,0.002609,0.476526,125.889107,177.201519,0.000007,0.000009,0.626352,0.603310,0.000035,0.000045,0.023042
2,UCB-36,35,0.3,0.97,2.0,1|2|3,3,0.002609,0.476526,413.921883,676.428297,0.000022,0.000036,0.734079,0.837218,0.000019,0.000026,-0.103139
3,UCB-42,41,0.85,0.91,2.0,1|2|3,3,0.002609,0.476526,1809.076907,2410.017567,9.618118e-05,1.281307e-04,1.086737,0.083203,0.000113,0.000157,1.003533
3,UCB-41,40,0.85,0.91,1.0,1|2|3,3,0.002609,0.476526,1124.387620,1581.990407,5.977909e-05,8.410794e-05,0.973525,0.137402,0.000071,0.000100,0.836122
3,UCB-40,39,0.85,0.91,0.5,1|2|3,3,0.002609,0.476526,435.761931,412.004601,2.316769e-05,2.190461e-05,1.336563,0.503492,0.000028,0.000032,0.833070
3,UCB-46,45,0.85,0.97,0.5,1|2|3,3,0.002609,0.476526,2479.068307,2686.737532,1.318019e-04,1.428427e-04,1.066079,0.276793,0.000144,0.000180,0.789285
3,UCB-37,36,0.85,0.85,0.5,1|2|3,3,0.002609,0.476526,4358.784717,3411.165058,2.317385e-04,1.813575e-04,0.997490,0.303843,0.000402,0.000316,0.693643
3,UCB-47,46,0.85,0.97,1.0,1|2|3,3,0.002609,0.476526,914.265684,1542.502727,4.860776e-05,8.200855e-05,0.996256,0.365172,0.000040,0.000065,0.631084
3,UCB-38,37,0.85,0.85,1.0,1|2|3,3,0.002609,0.476526,1323.051013,2263.321552,7.034118e-05,1.203315e-04,0.429910,0.393392,0.000133,0.000216,0.036517
3,UCB-39,38,0.85,0.85,2.0,1|2|3,3,0.002609,0.476526,7268.014906,6302.350253,3.864098e-04,3.350695e-04,0.549363,0.546490,0.000635,0.000545,0.002868
3,UCB-48,47,0.85,0.97,2.0,1|2|3,3,0.002609,0.476526,708.741500,1219.327768,3.768089e-05,6.482667e-05,0.597063,0.719791,0.000031,0.000048,-0.122728
3,UCB-45,44,0.85,0.94,2.0,1|2|3,3,0.002609,0.476526,29.289383,35.423287,1.557198e-06,1.883312e-06,0.867589,1.032293,0.000003,0.000001,-0.164704
3,UCB-43,42,0.85,0.94,0.5,1|2|3,3,0.002609,0.476526,17.136067,18.552418,9.110551e-07,9.863567e-07,0.578005,0.759088,0.000003,0.000001,-0.181083
3,UCB-44,43,0.85,0.94,1.0,1|2|3,3,0.002609,0.476526,3.939840,13.923360,2.094653e-07,7.402485e-07,0.228733,0.535471,0.000003,0.000002,-0.306738
