rank,config_id,global_index,gamma,beta,beta_decay,delta,seed_list,seeds_completed,sharpe_mean,sharpe_std,profit_mean,profit_std,arr_mean,arr_std,max_drawdown_mean,max_drawdown_std,score
1,UCB-20,19,0.95,0.15,0.94,1.0,1|2|3,3,1.71282,0.716748,370.596377,284.468411,2e-05,1.5e-05,1.3e-05,1.7e-05,0.996072
2,UCB-30,29,0.95,0.3,0.91,2.0,1|2|3,3,1.350585,0.458975,3813.249216,5820.416889,0.000203,0.000309,0.000325,0.000538,0.891607
3,UCB-40,39,0.95,0.85,0.91,0.5,1|2|3,3,1.336563,0.503492,435.761931,412.004601,2.316769e-05,2.190461e-05,2.8e-05,3.2e-05,0.83307
4,UCB-16,15,0.95,0.15,0.91,0.5,1|2|3,3,1.301674,0.624185,1568.785629,2407.732173,8.3e-05,0.000128,0.000143,0.000238,0.677488
5,UCB-11,10,0.95,0.03,0.97,1.0,1|2|3,3,1.280058,0.327968,3809.05194,6173.445989,0.000203,0.000328,0.000313,0.000526,0.952088
