config_id,vae_latent_dim,vae_lr,vae_beta_kl,vae_batch_size,bootstrap_trajectories,bootstrap_updates,online_aux_updates,vae_replay_capacity,seeds,val_profit_mean,val_roi_mean,val_arr_mean,val_sharpe_mean,val_sharpe_std,val_mdd_mean,val_violations_mean,train_sharpe_mean,gap_sharpe_mean,gap_arr_mean,vae_loss_last_mean,novelty_mean,novelty_std,finite_rate,score
vae_018,16,0.0001,0.01,256,5,100,1,50000,3,1106.443026666666,110.64430266666659,26.175861409765044,1.038498428203426,0.446270095861325,26.630307093287442,3.3333333333333335,0.3099854117253255,-0.7285130164781005,-18.168054043032914,0.24181534349918365,6.547640939558382,3.653548682060217,1.0,0.9354396834521685
vae_022,16,0.0003,0.01,256,5,100,1,50000,3,1113.7927799999995,111.37927799999996,26.322044749848853,1.0262826214646876,0.4452736737802114,27.09393896928508,3.6666666666666665,0.369783737493736,-0.6564988839709516,-17.505943837807663,0.18551732103029883,18.916915901038895,18.100824691824027,1.0,0.930820710520622
vae_038,32,0.0003,0.01,256,5,100,1,50000,3,1077.445043333333,107.74450433333328,25.616365589067197,1.0198425652705236,0.40556806347350577,26.8199508754828,3.3333333333333335,0.3501184497663852,-0.6697241155041386,-16.819725334298866,0.15177010993162787,32.64413319288877,29.975484629756764,1.0,0.9283274119925709
vae_026,16,0.001,0.01,256,5,100,1,50000,3,1084.3988233333328,108.43988233333327,25.66721005964618,1.0164141703107994,0.436085972764191,26.66335377322599,3.3333333333333335,0.34649289200897443,-0.669921278301825,-17.328094818957126,0.055636969705422666,51.503376763667085,48.99617933611497,1.0,0.9187962286154694
vae_030,16,0.003,0.01,256,5,100,1,50000,3,1060.881023333333,106.08810233333328,25.21874807841216,0.9994955779298801,0.40409827304428453,26.838947932664308,3.3333333333333335,0.3401144245091751,-0.6593811534207051,-16.89026195077193,0.029992618287603,47.83647274590553,42.304139930867166,1.0,0.9021330706580577
vae_010,8,0.001,0.01,256,5,100,1,50000,3,1032.5704299999995,103.25704299999995,24.44220953700204,0.9828279380957086,0.4220075025632042,26.25857249191203,3.3333333333333335,0.39112537742838027,-0.5917025606673283,-15.424558171627035,0.06861830999453859,26.095219681026247,24.31847884890981,1.0,0.8877282331324418
vae_002,8,0.0001,0.01,256,5,100,1,50000,3,1011.7934799999997,101.17934799999999,24.032979638144905,0.970886481224637,0.3864224703123845,26.352184376888463,3.3333333333333335,0.3791588126825977,-0.5917276685420393,-15.301130890627915,0.23861047625541684,6.226251873208738,3.6185961923515073,1.0,0.875804150484224
vae_046,32,0.003,0.01,256,5,100,1,50000,3,1018.2843400000002,101.82843400000002,24.173216595537728,0.9702600944488126,0.386723549666476,26.56067620159621,3.3333333333333335,0.3757800845385837,-0.5944800099102289,-15.414609194669644,0.026588026434183065,82.73107331153426,79.32806813363224,1.0,0.8750448898889343
vae_006,8,0.0003,0.01,256,5,100,1,50000,3,1026.373073333333,102.6373073333333,24.273114884500377,0.9680768208069978,0.42690134701777566,26.396314752401807,3.3333333333333335,0.3917435604375852,-0.5763332603694125,-15.239411609809558,0.17087972164154044,15.521196539731735,13.959376908695175,1.0,0.870438492258375
vae_014,8,0.003,0.01,256,5,100,1,50000,3,1018.8435133333331,101.88435133333333,24.126067935280776,0.9630995378519512,0.39971699064703914,26.464479682430326,3.3333333333333335,0.3376246851603582,-0.6254748526915931,-16.011462842327667,0.03326075896620747,32.033177460415914,28.325866242575344,1.0,0.8572622891818629
vae_034,32,0.0001,0.01,256,5,100,1,50000,3,1016.1850566666662,101.61850566666664,24.064460652937665,0.9574959365734782,0.44959933082152065,26.484167232826426,3.3333333333333335,0.33929420009618866,-0.6182017364772895,-15.464789213747471,0.244066854317983,7.553010427124611,4.810225265671665,1.0,0.8403070522089675
vae_042,32,0.001,0.01,256,5,100,1,50000,3,1005.95671,100.595671,23.877254403885402,0.9541723795218832,0.39745485966907584,26.466974970206792,3.3333333333333335,0.2807993872901096,-0.6733729922317736,-16.052696775016337,0.048788438240686995,81.36483980679728,77.53497351533818,1.0,0.8342373443172004
