Tên cổ phiếu,Profit (%),ROI (%),ARR (%),Sharpe Ratio,Max Drawdown (%),Violation (count)
ACB,21.87 ± 54.19,2.19 ± 5.42,1.06 ± 2.67,-0.03 ± 0.27,17.66 ± 11.51,1.90 ± 3.09
FPT,181.26 ± 160.62,18.13 ± 16.06,8.49 ± 7.24,0.42 ± 0.42,20.35 ± 7.75,1.70 ± 1.59
GAS,-54.43 ± 107.87,-5.44 ± 10.79,-2.92 ± 5.65,-0.20 ± 0.31,21.53 ± 9.07,2.45 ± 3.03
HPG,-54.64 ± 151.94,-5.46 ± 15.19,-3.07 ± 7.80,-0.16 ± 0.40,33.51 ± 20.69,4.95 ± 5.77
SSI,6.33 ± 198.99,0.63 ± 19.90,-0.17 ± 10.19,0.02 ± 0.46,36.51 ± 19.69,10.65 ± 11.40
VCB,72.37 ± 78.89,7.24 ± 7.89,3.50 ± 3.88,0.13 ± 0.38,19.07 ± 8.57,0.35 ± 0.49
