Tên cổ phiếu,Profit (%),ROI (%),ARR (%),Sharpe Ratio,Max Drawdown (%),Violation (count)
ACB,533.54 ± 492.61,53.35 ± 49.26,14.08 ± 11.92,0.50 ± 0.83,14.95 ± 11.02,3.70 ± 4.77
FPT,879.13 ± 851.30,87.91 ± 85.13,20.70 ± 18.28,0.81 ± 0.79,18.45 ± 11.29,2.65 ± 2.70
GAS,23.66 ± 202.08,2.37 ± 20.21,0.42 ± 6.05,-0.07 ± 0.43,31.07 ± 9.53,4.05 ± 3.03
HPG,1043.16 ± 794.79,104.32 ± 79.48,24.69 ± 16.75,1.04 ± 0.47,21.82 ± 12.27,3.45 ± 3.61
SSI,1150.34 ± 970.76,115.03 ± 97.08,26.31 ± 18.81,1.04 ± 0.45,28.82 ± 16.60,6.55 ± 6.75
VCB,390.90 ± 355.44,39.09 ± 35.54,10.81 ± 9.54,0.42 ± 0.59,21.57 ± 10.87,2.40 ± 2.91
