Tên cổ phiếu,Profit (%),ROI (%),ARR (%),Sharpe Ratio,Max Drawdown (%),Violation (count)
ACB,17.20 ± 55.13,1.72 ± 5.51,0.82 ± 2.75,-0.12 ± 0.39,17.70 ± 12.39,2.00 ± 2.97
FPT,217.50 ± 187.14,21.75 ± 18.71,10.08 ± 8.40,0.46 ± 0.62,19.47 ± 7.24,1.45 ± 1.36
GAS,-53.88 ± 105.44,-5.39 ± 10.54,-2.89 ± 5.58,-0.19 ± 0.35,20.83 ± 9.06,2.60 ± 3.25
HPG,-25.10 ± 130.05,-2.51 ± 13.01,-1.47 ± 6.56,-0.14 ± 0.39,30.05 ± 20.44,4.40 ± 5.55
SSI,-34.45 ± 205.13,-3.45 ± 20.51,-2.32 ± 10.92,-0.11 ± 0.54,37.81 ± 19.46,10.80 ± 10.83
VCB,50.45 ± 78.25,5.05 ± 7.83,2.43 ± 3.88,-0.03 ± 0.62,18.98 ± 7.71,0.20 ± 0.41
