Tên cổ phiếu,Profit (%),ROI (%),ARR (%),Sharpe Ratio,Max Drawdown (%),Violation (count)
ACB,17.98 ± 53.25,1.80 ± 5.33,0.86 ± 2.68,-0.06 ± 0.31,18.06 ± 12.25,2.05 ± 3.00
FPT,219.83 ± 188.24,21.98 ± 18.82,10.19 ± 8.30,0.53 ± 0.48,19.60 ± 8.50,1.70 ± 1.53
GAS,-73.66 ± 109.28,-7.37 ± 10.93,-3.93 ± 5.69,-0.28 ± 0.40,21.75 ± 8.66,2.45 ± 2.86
HPG,-39.05 ± 133.51,-3.90 ± 13.35,-2.22 ± 7.02,-0.11 ± 0.33,31.93 ± 20.67,4.45 ± 5.50
SSI,-20.66 ± 221.08,-2.07 ± 22.11,-1.66 ± 11.38,-0.07 ± 0.50,38.54 ± 19.63,10.80 ± 10.46
VCB,61.34 ± 106.76,6.13 ± 10.68,2.90 ± 5.32,0.01 ± 0.63,19.00 ± 8.56,0.40 ± 0.60
