Tên cổ phiếu,Profit (%),ROI (%),ARR (%),Sharpe Ratio,Max Drawdown (%),Violation (count)
ACB,35.00 ± 0.00,3.50 ± 0.00,1.74 ± 0.00,0.13 ± 0.00,38.37 ± 0.00,9.00 ± 0.00
FPT,466.25 ± 0.00,46.62 ± 0.00,21.17 ± 0.00,0.79 ± 0.00,29.65 ± 0.00,4.00 ± 0.00
GAS,1.43 ± 0.00,0.14 ± 0.00,0.07 ± 0.00,0.10 ± 0.00,28.87 ± 0.00,11.00 ± 0.00
HPG,-201.89 ± 0.00,-20.19 ± 0.00,-10.70 ± 0.00,-0.14 ± 0.00,67.78 ± 0.00,19.00 ± 0.00
SSI,-270.98 ± 0.00,-27.10 ± 0.00,-14.66 ± 0.00,-0.12 ± 0.00,70.63 ± 0.00,40.00 ± 0.00
VCB,197.47 ± 0.00,19.75 ± 0.00,9.46 ± 0.00,0.41 ± 0.00,34.58 ± 0.00,2.00 ± 0.00
