Tên cổ phiếu,Profit (%),ROI (%),ARR (%),Sharpe Ratio,Max Drawdown (%),Violation (count)
ACB,21.06 ± 51.24,2.11 ± 5.12,1.02 ± 2.55,-0.10 ± 0.40,18.05 ± 12.27,1.95 ± 2.91
FPT,216.96 ± 190.22,21.70 ± 19.02,10.05 ± 8.44,0.51 ± 0.55,19.15 ± 8.19,1.40 ± 1.39
GAS,-75.67 ± 101.09,-7.57 ± 10.11,-4.01 ± 5.30,-0.27 ± 0.30,22.03 ± 7.76,2.45 ± 2.98
HPG,-16.62 ± 130.33,-1.66 ± 13.03,-1.04 ± 6.53,-0.08 ± 0.35,31.30 ± 19.85,4.10 ± 5.00
SSI,-29.00 ± 215.99,-2.90 ± 21.60,-2.08 ± 11.32,-0.10 ± 0.53,39.01 ± 18.75,10.85 ± 10.50
VCB,75.04 ± 108.96,7.50 ± 10.90,3.57 ± 5.29,0.08 ± 0.59,18.54 ± 8.19,0.35 ± 0.49
