Tên cổ phiếu,Profit (%),ROI (%),ARR (%),Sharpe Ratio,Max Drawdown (%),Violation (count)
ACB,516.56 ± 487.18,51.66 ± 48.72,13.68 ± 11.70,0.47 ± 0.92,15.40 ± 10.86,3.55 ± 4.52
FPT,872.64 ± 805.57,87.26 ± 80.56,20.83 ± 17.32,0.80 ± 0.88,18.63 ± 10.53,2.65 ± 2.62
GAS,32.90 ± 180.81,3.29 ± 18.08,0.77 ± 5.73,-0.01 ± 0.38,29.24 ± 11.15,3.85 ± 3.07
HPG,1052.18 ± 809.59,105.22 ± 80.96,24.80 ± 17.06,0.98 ± 0.68,21.60 ± 12.29,3.10 ± 3.54
SSI,1163.66 ± 955.33,116.37 ± 95.53,26.68 ± 18.49,1.04 ± 0.42,29.16 ± 16.78,6.70 ± 6.91
VCB,351.94 ± 311.37,35.19 ± 31.14,9.91 ± 8.60,0.35 ± 0.59,21.68 ± 11.72,2.60 ± 3.17
