Tên cổ phiếu,Profit (%),ROI (%),ARR (%),Sharpe Ratio,Max Drawdown (%),Violation (count)
ACB,1459.72 ± 0.00,145.97 ± 0.00,34.87 ± 0.00,1.09 ± 0.00,33.06 ± 0.00,13.00 ± 0.00
FPT,2532.76 ± 0.00,253.28 ± 0.00,52.11 ± 0.00,1.64 ± 0.00,33.71 ± 0.00,8.00 ± 0.00
GAS,247.54 ± 0.00,24.75 ± 0.00,7.63 ± 0.00,0.33 ± 0.00,50.79 ± 0.00,17.00 ± 0.00
HPG,2224.20 ± 0.00,222.42 ± 0.00,47.56 ± 0.00,1.30 ± 0.00,40.21 ± 0.00,12.00 ± 0.00
SSI,2707.65 ± 0.00,270.76 ± 0.00,54.57 ± 0.00,1.27 ± 0.00,59.02 ± 0.00,21.00 ± 0.00
VCB,919.65 ± 0.00,91.96 ± 0.00,24.20 ± 0.00,0.87 ± 0.00,39.14 ± 0.00,9.00 ± 0.00
