model,seed,episode,split,profit,roi,arr,sharpe,max_drawdown,violations
Enhanced UCB-VAE,44,1,train,3186.432469999997,318.6432469999997,17.25763007724135,0.7463864114308145,52.80539617177925,15
Enhanced UCB-VAE,44,1,test,-0.9992099999997208,-0.099920999999972,-0.0504215258723128,0.0933368031491612,49.01398104265823,10
Enhanced UCB-VAE,44,2,train,3212.8753199999974,321.28753199999977,17.339749178806628,0.7436935020893104,52.96593635657844,15
Enhanced UCB-VAE,44,2,test,-0.9992099999997208,-0.099920999999972,-0.0504215258723128,0.0933368031491612,49.01398104265823,10
Enhanced UCB-VAE,44,3,train,3251.104889999998,325.1104889999998,17.457666024478446,0.7505852562354507,53.01583110081012,15
Enhanced UCB-VAE,44,3,test,-1.5297399999997197,-0.1529739999999719,-0.0772029639536597,0.092661871162376,49.06092691015208,10
Enhanced UCB-VAE,44,4,train,3278.1824599999964,327.81824599999965,17.54061631680839,0.7539514686697951,53.0980106582712,14
Enhanced UCB-VAE,44,4,test,-4.717899999999872,-0.4717899999999872,-0.2382917079310265,0.0889069990891082,49.20420107175766,10
Enhanced UCB-VAE,44,5,train,3293.909609999997,329.3909609999997,17.58858138827668,0.748388626788964,53.03986430937707,15
Enhanced UCB-VAE,44,5,test,-4.697879999999714,-0.4697879999999713,-0.2372793566165931,0.0892313415645011,49.28339755648591,10
Enhanced UCB-VAE,44,6,train,3268.293459999997,326.8293459999997,17.51037627166263,0.7486018789952616,53.33235036052511,15
Enhanced UCB-VAE,44,6,test,-2.967559999999821,-0.2967559999999821,-0.1498203573447321,0.0918195616549868,49.300304671203165,10
Enhanced UCB-VAE,44,7,train,3277.512249999997,327.7512249999997,17.53856881331062,0.7491162046732519,53.36804365983835,15
Enhanced UCB-VAE,44,7,test,-2.967559999999821,-0.2967559999999821,-0.1498203573447321,0.0918195616549868,49.300304671203165,10
Enhanced UCB-VAE,44,8,train,3292.595919999998,329.25959199999977,17.584580844261446,0.7504626997894795,53.30734319113297,15
Enhanced UCB-VAE,44,8,test,-45.308359999999766,-4.530835999999976,-2.312011674840553,0.0184168930204098,49.300304671203165,10
Enhanced UCB-VAE,44,9,train,3306.1498299999976,330.61498299999977,17.625803995547116,0.752108385193198,53.18509874774681,15
Enhanced UCB-VAE,44,9,test,-53.52981999999963,-5.352981999999964,-2.737324285214981,0.004309567229639,49.300304671203165,10
Enhanced UCB-VAE,44,10,train,3374.147069999998,337.4147069999998,17.83088780097819,0.7624550618245766,52.71175435816846,14
Enhanced UCB-VAE,44,10,test,-34.13036999999974,-3.4130369999999743,-1.736652433678787,0.0369479314297964,49.0435319402244,10
Enhanced UCB-VAE,44,11,train,3347.8821999999973,334.78821999999974,17.752009486524535,0.758141489612068,52.98979317921494,15
Enhanced UCB-VAE,44,11,test,-24.00651999999957,-2.400651999999957,-1.2183932572123468,0.0527639455721327,48.59329221038146,9
Enhanced UCB-VAE,44,12,train,3372.680699999997,337.2680699999997,17.826495127752896,0.7601419930185765,53.01271270121815,15
Enhanced UCB-VAE,44,12,test,-23.66851999999972,-2.366851999999972,-1.2011364570433505,0.0520412416163785,48.544805709649246,9
Enhanced UCB-VAE,44,13,train,3379.682089999997,337.9682089999998,17.847456778726233,0.760815788467663,53.02121425691932,15
Enhanced UCB-VAE,44,13,test,-36.07514999999955,-3.607514999999956,-1.8365171325255725,0.0322131276469484,49.215047049711785,9
Enhanced UCB-VAE,44,14,train,3353.512579999997,335.3512579999997,17.76895416427937,0.7571900787478578,53.1900065794942,15
