model_key,model,seed,episodes,beta_0,epsilon_init,epsilon_decay,epsilon_min,profit,roi,arr,sharpe,max_drawdown,violations,q_loss_mean,vae_loss_mean,cost_loss_mean
ENHANCED,Enhanced UCB-VAE,44,45,0.03,,,,-88.71158000000014,-8.871158000000014,-4.578371760590006,-0.0204210900624988,56.83309594816856,12,11.269734468964147,0.1267005451023578,
ENHANCED,Enhanced UCB-VAE,45,45,0.03,,,,-291.22461999999985,-29.12246199999998,-15.941187119459032,-0.3829081449270019,60.36138958533619,14,31.234272692090386,0.1237533117419686,
ENHANCED,Enhanced UCB-VAE,46,45,0.03,,,,47.59511000000021,4.75951100000002,2.373459287749502,0.0869563796438428,4.38284606506019,0,1.5961979738392804,0.121045487168534,
ENHANCED,Enhanced UCB-VAE,47,45,0.03,,,,-137.92344000000014,-13.792344000000014,-7.213757699260725,-0.0665303566179742,64.3485654052946,16,2.3930428169224336,0.1254605107266327,
ENHANCED,Enhanced UCB-VAE,48,45,0.03,,,,63.25508999999988,6.325508999999988,3.1426557339815586,0.4353094801469406,1.9527737984316191,0,29.896164051705934,0.1336309649820985,
ENHANCED,Enhanced UCB-VAE,49,45,0.03,,,,41.57306999999992,4.157306999999991,2.076149591943577,0.091398562526713,28.001131301965955,1,4.452102178468008,0.1293706048151542,
ENHANCED,Enhanced UCB-VAE,50,45,0.03,,,,0.7291400000001431,0.0729140000000143,0.0367776647060891,-2.6002266309374447,0.8144485442434238,0,0.8274647257699312,0.1194179992223608,
ENHANCED,Enhanced UCB-VAE,51,45,0.03,,,,90.15117000000008,9.015117000000007,4.450768258545268,0.3524517904812553,9.04923106952568,1,21.895963971831684,0.1323371269579591,
ENHANCED,Enhanced UCB-VAE,52,45,0.03,,,,-204.21295999999984,-20.421295999999984,-10.88452771415569,-0.2666080456621989,57.357630537154336,13,32.07749635959849,0.1383472348595487,
ENHANCED,Enhanced UCB-VAE,53,45,0.03,,,,154.09190000000058,15.40919000000006,7.49780352101721,0.3281869893084413,38.96837168357256,5,15.984766387417956,0.1267161785014744,
ENHANCED,Enhanced UCB-VAE,54,45,0.03,,,,47.00279999999998,4.700279999999998,2.344254403536117,0.0984751831587814,3.832892669469648,0,0.3634935887370914,0.123231120202048,
ENHANCED,Enhanced UCB-VAE,55,45,0.03,,,,-69.39658000000043,-6.939658000000043,-3.563351633074996,-0.1957049727806521,30.374657827795204,2,31.261133069903764,0.1326669094891383,
ENHANCED,Enhanced UCB-VAE,56,45,0.03,,,,29.43142999999964,2.943142999999964,1.4741123703953862,-0.0651049435344778,6.12622538424597,0,1.442206324478518,0.1363824416851175,
ENHANCED,Enhanced UCB-VAE,57,45,0.03,,,,79.26429999999937,7.926429999999937,3.923224857539487,0.2129028334996502,15.359530600781698,2,5.563618634186504,0.1195077903054911,
ENHANCED,Enhanced UCB-VAE,58,45,0.03,,,,-60.89003000000014,-6.089003000000013,-3.119638398647784,-0.0075573185269525,46.71555012773882,11,5.143674860636339,0.1232314159644061,
ENHANCED,Enhanced UCB-VAE,59,45,0.03,,,,-165.31695000000025,-16.531695000000024,-8.713089001807429,-0.491109991706707,36.878984608709295,3,0.4292460502740455,0.1128763961637842,
ENHANCED,Enhanced UCB-VAE,60,45,0.03,,,,-57.95473000000016,-5.795473000000015,-2.9669916589173506,-0.0186305014639028,44.09517110711399,9,6.8678643953101135,0.1219183927723046,
ENHANCED,Enhanced UCB-VAE,61,45,0.03,,,,-105.23532000000046,-10.523532000000046,-5.455201726177372,-0.6095396621138448,18.738746575138027,1,1.0263790702645632,0.1150954239327332,
ENHANCED,Enhanced UCB-VAE,62,45,0.03,,,,82.09426999999891,8.209426999999891,4.060608944569699,0.2242589163657128,9.65765138278847,1,12.064657809778495,0.1120817096839691,
ENHANCED,Enhanced UCB-VAE,63,45,0.03,,,,-169.15179,-16.915179,-8.924915860542548,-0.1096678235332034,66.16466333278291,17,22.242880543293776,0.1302864391485164,
