config_id,beta_0,beta_decay,beta_min,seeds,val_profit_mean,val_roi_mean,val_arr_mean,val_sharpe_mean,val_sharpe_std,val_mdd_mean,val_violations_mean,train_sharpe_mean,gap_sharpe_mean,gap_arr_mean,vae_loss_last_mean,novelty_mean,novelty_std,finite_rate,score
ucb_008,0.03,0.9,0.005,3,1157.1502233333329,115.71502233333327,27.345486544151314,1.0723602215930546,0.43217059963475574,26.897857911152688,3.3333333333333335,0.3175953421326365,-0.7547648794604179,-19.301400423843702,0.2425028284390767,6.328688731747316,3.4949047415327605,1.0,0.9860262800494275
ucb_032,0.15,0.9,0.005,3,1145.5906299999995,114.55906299999997,27.062352548542748,1.053003199608337,0.4425312148464896,27.1810353894451,3.3333333333333335,0.3502554612889133,-0.7027477383194237,-18.279319861798385,0.2406574686368306,6.333669621903308,3.5037951560814005,1.0,0.9680322389189706
ucb_028,0.1,0.96,0.005,3,1117.4024699999993,111.74024699999995,26.45376808783489,1.0379610282195315,0.4306336582046393,26.8238456281444,3.3333333333333335,0.37848879552382453,-0.6594722326957071,-17.55946451752794,0.2418870131174723,6.325104914168478,3.4952568110678013,1.0,0.9574594769027616
ucb_000,0.01,0.9,0.005,3,1127.9762899999996,112.79762899999996,26.709367971353288,1.0481888011471276,0.4264752151096491,26.796440202604515,3.3333333333333335,0.31395550874455297,-0.7342332924025746,-18.753788054627808,0.24244005481402078,6.326820546344432,3.492728161545541,1.0,0.956772053514299
ucb_004,0.01,0.96,0.005,3,1128.0532099999994,112.80532099999994,26.652788115091184,1.0517901054111116,0.45625406618017544,26.63382191086393,3.3333333333333335,0.31630111661808036,-0.7354889887930312,-18.642705244117774,0.24234421551227567,6.3115563856006665,3.4922912514206756,1.0,0.9533942571457434
ucb_040,0.3,0.9,0.005,3,1142.132676666666,114.2132676666666,26.974073369453265,1.0497064704133137,0.46644031315282297,26.794478060287826,3.3333333333333335,0.2992028917256948,-0.7505035786876189,-19.11925729721984,0.23869177699089048,6.322456110203981,3.5055315228393966,1.0,0.9496271819126647
ucb_024,0.1,0.9,0.005,3,1139.1541566666663,113.91541566666665,26.94057090149047,1.0485982774435951,0.4305236131623822,27.18603718290261,3.6666666666666665,0.3034833249557035,-0.7451149524878917,-19.027146497640732,0.2414381255706151,6.334319161651098,3.5028426854903376,1.0,0.94750780352759
ucb_036,0.15,0.96,0.005,3,1114.570356666666,111.45703566666661,26.44037346089176,1.033698139512776,0.43049053216119865,27.24813077575003,3.3333333333333335,0.34675836330066195,-0.686939776212114,-17.682733989209257,0.24051646391550696,6.325993783685525,3.505509484633525,1.0,0.9429815780453032
ucb_016,0.05,0.9,0.005,3,1125.6000033333328,112.56000033333326,26.580363052718003,1.0384741340920145,0.4559037881762371,26.838745696033616,3.3333333333333335,0.2906408466327633,-0.7478332874592512,-18.71551905152138,0.24247367680072784,6.315725204345682,3.500310225284951,1.0,0.9340536288804195
ucb_020,0.05,0.96,0.005,3,1098.6647133333329,109.86647133333328,25.983522372769155,1.0299623483717777,0.4496784424341781,26.888982307517153,3.3333333333333335,0.35941786323875907,-0.6705444851330187,-17.410176288275334,0.24246929585933677,6.307316187617857,3.499751323949937,1.0,0.9327274458736237
ucb_012,0.03,0.96,0.005,3,1105.6750366666663,110.56750366666661,26.15773256388169,1.0298362202519078,0.4404691215497821,26.93561242171758,3.3333333333333335,0.30027088299758287,-0.7295653372543249,-18.362636039403814,0.24252363542715702,6.31456298672196,3.498769932409972,1.0,0.9242124607285811
ucb_048,0.5,0.9,0.005,3,1110.4462466666662,111.04462466666659,26.29728816513691,1.0330912105725156,0.44724843125784425,27.21148102035436,3.3333333333333335,0.2961930726906687,-0.736898137881847,-18.4566148701166,0.2376768191655477,6.3145065850678535,3.506014285686833,1.0,0.9241505318739798
ucb_044,0.3,0.96,0.005,3,1110.5489499999996,111.05489499999993,26.27260555236273,1.027956833036663,0.46475474398737376,26.84358807165236,3.3333333333333335,0.30132550497753,-0.726631328059133,-18.20788811717409,0.23803744216759995,6.3085131841194695,3.5115055692959647,1.0,0.9203756688577094
ucb_052,0.5,0.96,0.005,3,1069.7087133333332,106.97087133333332,25.309926147143443,0.9930676403291576,0.48093210206567794,27.035163119810946,3.3333333333333335,0.3188746069858111,-0.6741930333433466,-17.092438651982093,0.22567863265673316,6.302665946624458,3.5062713229816462,1.0,0.8729913559181974
