ticker,period,model_key,step,time,portfolio_value
VCB,GOOD,BUY_AND_HOLD,0,2018-12-28,1000.0
VCB,GOOD,BUY_AND_HOLD,1,2019-01-02,1000.7353000000003
VCB,GOOD,BUY_AND_HOLD,2,2019-01-03,1000.7353000000003
VCB,GOOD,BUY_AND_HOLD,3,2019-01-04,1015.3553000000003
VCB,GOOD,BUY_AND_HOLD,4,2019-01-07,1019.2253000000003
VCB,GOOD,BUY_AND_HOLD,5,2019-01-08,1026.5353
VCB,GOOD,BUY_AND_HOLD,6,2019-01-09,1041.1553000000001
VCB,GOOD,BUY_AND_HOLD,7,2019-01-10,1026.5353
VCB,GOOD,BUY_AND_HOLD,8,2019-01-11,1030.4053000000001
VCB,GOOD,BUY_AND_HOLD,9,2019-01-14,1032.1253000000002
VCB,GOOD,BUY_AND_HOLD,10,2019-01-15,1042.8753000000004
VCB,GOOD,BUY_AND_HOLD,11,2019-01-16,1033.8453000000004
VCB,GOOD,BUY_AND_HOLD,12,2019-01-17,1030.4053000000001
VCB,GOOD,BUY_AND_HOLD,13,2019-01-18,1022.6653000000002
VCB,GOOD,BUY_AND_HOLD,14,2019-01-21,1041.1553000000001
VCB,GOOD,BUY_AND_HOLD,15,2019-01-22,1030.4053000000001
VCB,GOOD,BUY_AND_HOLD,16,2019-01-23,1033.8453000000004
VCB,GOOD,BUY_AND_HOLD,17,2019-01-24,1033.8453000000004
VCB,GOOD,BUY_AND_HOLD,18,2019-01-25,1041.1553000000001
VCB,GOOD,BUY_AND_HOLD,19,2019-01-28,1035.5653000000002
VCB,GOOD,BUY_AND_HOLD,20,2019-01-29,1057.9253
VCB,GOOD,BUY_AND_HOLD,21,2019-01-30,1057.9253
VCB,GOOD,BUY_AND_HOLD,22,2019-01-31,1059.6453000000001
VCB,GOOD,BUY_AND_HOLD,23,2019-02-01,1054.0553000000002
VCB,GOOD,BUY_AND_HOLD,24,2019-02-11,1083.7253000000003
VCB,GOOD,BUY_AND_HOLD,25,2019-02-12,1092.7553
VCB,GOOD,BUY_AND_HOLD,26,2019-02-13,1114.6853
VCB,GOOD,BUY_AND_HOLD,27,2019-02-14,1122.4253
VCB,GOOD,BUY_AND_HOLD,28,2019-02-15,1105.6553000000001
VCB,GOOD,BUY_AND_HOLD,29,2019-02-18,1118.5553000000002
VCB,GOOD,BUY_AND_HOLD,30,2019-02-19,1100.0653000000002
VCB,GOOD,BUY_AND_HOLD,31,2019-02-20,1101.7853000000002
VCB,GOOD,BUY_AND_HOLD,32,2019-02-21,1120.2753000000002
VCB,GOOD,BUY_AND_HOLD,33,2019-02-22,1155.5353000000002
VCB,GOOD,BUY_AND_HOLD,34,2019-02-25,1180.9053000000001
VCB,GOOD,BUY_AND_HOLD,35,2019-02-26,1173.5953000000002
VCB,GOOD,BUY_AND_HOLD,36,2019-02-27,1153.3853000000001
VCB,GOOD,BUY_AND_HOLD,37,2019-02-28,1127.5853000000002
VCB,GOOD,BUY_AND_HOLD,38,2019-03-01,1158.9753000000003
VCB,GOOD,BUY_AND_HOLD,39,2019-03-04,1170.1553000000001
VCB,GOOD,BUY_AND_HOLD,40,2019-03-05,1173.5953000000002
VCB,GOOD,BUY_AND_HOLD,41,2019-03-06,1168.4353
VCB,GOOD,BUY_AND_HOLD,42,2019-03-07,1175.7453000000003
VCB,GOOD,BUY_AND_HOLD,43,2019-03-08,1170.1553000000001
VCB,GOOD,BUY_AND_HOLD,44,2019-03-11,1166.2853000000002
VCB,GOOD,BUY_AND_HOLD,45,2019-03-12,1206.7053000000003
VCB,GOOD,BUY_AND_HOLD,46,2019-03-13,1214.4453000000003
VCB,GOOD,BUY_AND_HOLD,47,2019-03-14,1245.4053000000001
VCB,GOOD,BUY_AND_HOLD,48,2019-03-15,1229.0653000000002
VCB,GOOD,BUY_AND_HOLD,49,2019-03-18,1258.3053000000002
VCB,GOOD,BUY_AND_HOLD,50,2019-03-19,1243.6853
VCB,GOOD,BUY_AND_HOLD,51,2019-03-20,1241.9653000000003
VCB,GOOD,BUY_AND_HOLD,52,2019-03-21,1239.8153000000002
VCB,GOOD,BUY_AND_HOLD,53,2019-03-22,1245.4053000000001
VCB,GOOD,BUY_AND_HOLD,54,2019-03-25,1219.6053000000002
VCB,GOOD,BUY_AND_HOLD,55,2019-03-26,1219.6053000000002
VCB,GOOD,BUY_AND_HOLD,56,2019-03-27,1219.6053000000002
VCB,GOOD,BUY_AND_HOLD,57,2019-03-28,1241.9653000000003
VCB,GOOD,BUY_AND_HOLD,58,2019-03-29,1252.7153000000003
VCB,GOOD,BUY_AND_HOLD,59,2019-04-01,1262.1753
VCB,GOOD,BUY_AND_HOLD,60,2019-04-02,1256.5853000000002
VCB,GOOD,BUY_AND_HOLD,61,2019-04-03,1250.9953000000003
VCB,GOOD,BUY_AND_HOLD,62,2019-04-04,1260.4553000000003
VCB,GOOD,BUY_AND_HOLD,63,2019-04-05,1267.7653000000003
VCB,GOOD,BUY_AND_HOLD,64,2019-04-08,1297.0053
VCB,GOOD,BUY_AND_HOLD,65,2019-04-09,1298.7253000000003
VCB,GOOD,BUY_AND_HOLD,66,2019-04-10,1282.3853000000001
VCB,GOOD,BUY_AND_HOLD,67,2019-04-11,1275.0753000000002
VCB,GOOD,BUY_AND_HOLD,68,2019-04-12,1265.6153000000002
VCB,GOOD,BUY_AND_HOLD,69,2019-04-16,1254.8653000000002
VCB,GOOD,BUY_AND_HOLD,70,2019-04-17,1265.6153000000002
VCB,GOOD,BUY_AND_HOLD,71,2019-04-18,1263.8953000000001
VCB,GOOD,BUY_AND_HOLD,72,2019-04-19,1265.6153000000002
VCB,GOOD,BUY_AND_HOLD,73,2019-04-22,1263.8953000000001
VCB,GOOD,BUY_AND_HOLD,74,2019-04-23,1256.5853000000002
VCB,GOOD,BUY_AND_HOLD,75,2019-04-24,1275.0753000000002
VCB,GOOD,BUY_AND_HOLD,76,2019-04-25,1260.4553000000003
VCB,GOOD,BUY_AND_HOLD,77,2019-04-26,1263.8953000000001
VCB,GOOD,BUY_AND_HOLD,78,2019-05-02,1245.4053000000001
VCB,GOOD,BUY_AND_HOLD,79,2019-05-03,1241.9653000000003
VCB,GOOD,BUY_AND_HOLD,80,2019-05-06,1234.6553000000001
VCB,GOOD,BUY_AND_HOLD,81,2019-05-07,1221.7553
VCB,GOOD,BUY_AND_HOLD,82,2019-05-08,1212.2953000000002
VCB,GOOD,BUY_AND_HOLD,83,2019-05-09,1219.6053000000002
VCB,GOOD,BUY_AND_HOLD,84,2019-05-10,1221.7553
VCB,GOOD,BUY_AND_HOLD,85,2019-05-13,1226.9153000000001
VCB,GOOD,BUY_AND_HOLD,86,2019-05-14,1239.8153000000002
VCB,GOOD,BUY_AND_HOLD,87,2019-05-15,1243.6853
VCB,GOOD,BUY_AND_HOLD,88,2019-05-16,1243.6853
VCB,GOOD,BUY_AND_HOLD,89,2019-05-17,1243.6853
VCB,GOOD,BUY_AND_HOLD,90,2019-05-20,1262.1753
VCB,GOOD,BUY_AND_HOLD,91,2019-05-21,1260.4553000000003
VCB,GOOD,BUY_AND_HOLD,92,2019-05-22,1250.9953000000003
VCB,GOOD,BUY_AND_HOLD,93,2019-05-23,1258.3053000000002
VCB,GOOD,BUY_AND_HOLD,94,2019-05-24,1238.0953000000002
VCB,GOOD,BUY_AND_HOLD,95,2019-05-27,1254.8653000000002
VCB,GOOD,BUY_AND_HOLD,96,2019-05-28,1254.8653000000002
VCB,GOOD,BUY_AND_HOLD,97,2019-05-29,1256.5853000000002
VCB,GOOD,BUY_AND_HOLD,98,2019-05-30,1260.4553000000003
VCB,GOOD,BUY_AND_HOLD,99,2019-05-31,1250.9953000000003
VCB,GOOD,BUY_AND_HOLD,100,2019-06-03,1238.0953000000002
VCB,GOOD,BUY_AND_HOLD,101,2019-06-04,1250.9953000000003
VCB,GOOD,BUY_AND_HOLD,102,2019-06-05,1241.9653000000003
VCB,GOOD,BUY_AND_HOLD,103,2019-06-06,1226.9153000000001
VCB,GOOD,BUY_AND_HOLD,104,2019-06-07,1221.7553
VCB,GOOD,BUY_AND_HOLD,105,2019-06-10,1241.9653000000003
VCB,GOOD,BUY_AND_HOLD,106,2019-06-11,1254.8653000000002
VCB,GOOD,BUY_AND_HOLD,107,2019-06-12,1247.5553000000002
VCB,GOOD,BUY_AND_HOLD,108,2019-06-13,1252.7153000000003
VCB,GOOD,BUY_AND_HOLD,109,2019-06-14,1287.9753000000003
VCB,GOOD,BUY_AND_HOLD,110,2019-06-17,1287.9753000000003
VCB,GOOD,BUY_AND_HOLD,111,2019-06-18,1308.1853
VCB,GOOD,BUY_AND_HOLD,112,2019-06-19,1298.7253000000003
VCB,GOOD,BUY_AND_HOLD,113,2019-06-20,1330.1153000000002
VCB,GOOD,BUY_AND_HOLD,114,2019-06-21,1321.0853000000002
VCB,GOOD,BUY_AND_HOLD,115,2019-06-24,1357.6353000000001
VCB,GOOD,BUY_AND_HOLD,116,2019-06-25,1346.8853000000001
VCB,GOOD,BUY_AND_HOLD,117,2019-06-26,1311.6253000000004
VCB,GOOD,BUY_AND_HOLD,118,2019-06-27,1293.5653000000002
VCB,GOOD,BUY_AND_HOLD,119,2019-06-28,1311.6253000000004
VCB,GOOD,BUY_AND_HOLD,120,2019-07-01,1326.6753
VCB,GOOD,BUY_AND_HOLD,121,2019-07-02,1311.6253000000004
VCB,GOOD,BUY_AND_HOLD,122,2019-07-03,1295.2853000000002
VCB,GOOD,BUY_AND_HOLD,123,2019-07-04,1348.6053000000002
VCB,GOOD,BUY_AND_HOLD,124,2019-07-05,1350.3253000000002
VCB,GOOD,BUY_AND_HOLD,125,2019-07-08,1326.6753
VCB,GOOD,BUY_AND_HOLD,126,2019-07-09,1337.4253
VCB,GOOD,BUY_AND_HOLD,127,2019-07-10,1348.6053000000002
VCB,GOOD,BUY_AND_HOLD,128,2019-07-11,1376.1253000000004
VCB,GOOD,BUY_AND_HOLD,129,2019-07-12,1370.5353000000002
VCB,GOOD,BUY_AND_HOLD,130,2019-07-15,1394.6153000000002
VCB,GOOD,BUY_AND_HOLD,131,2019-07-16,1435.0353000000002
VCB,GOOD,BUY_AND_HOLD,132,2019-07-17,1416.5453000000002
VCB,GOOD,BUY_AND_HOLD,133,2019-07-18,1420.4153000000003
VCB,GOOD,BUY_AND_HOLD,134,2019-07-19,1468.1453000000004
VCB,GOOD,BUY_AND_HOLD,135,2019-07-22,1468.1453000000004
VCB,GOOD,BUY_AND_HOLD,136,2019-07-23,1466.4253000000003
VCB,GOOD,BUY_AND_HOLD,137,2019-07-24,1429.4453
