ticker,period,model_key,result_schema_version,model,strategy,seed,episodes,gamma,near_zero_vol_percent,collapse_flat_ratio,beta_0,beta_decay,beta_min,epsilon_init,beta_decay_transitions,beta_min_action_coverage,ucb_epsilon_init,ucb_epsilon_decay,ucb_epsilon_min,ucb_warmup_episodes,q_scale_floor,final_beta,final_ucb_epsilon,final_action_coverage,ucb_total_transitions,epsilon_decay,epsilon_min,vae_latent_dim,vae_lr,vae_beta_kl,train_profit,train_roi,train_arr,train_volatility,train_sharpe,train_max_drawdown,train_violations,train_flat_step_ratio,train_no_trade,train_near_zero_vol,train_collapse,train_trade_count,train_invalid_action_count,train_invalid_action_rate,train_turnover,train_exposure_ratio,train_q_scale_mean,train_exploration_bonus_mean,train_exploration_bonus_max,test_profit,test_roi,test_arr,test_volatility,test_sharpe,test_max_drawdown,test_violations,test_flat_step_ratio,test_no_trade,test_near_zero_vol,test_collapse,test_trade_count,test_invalid_action_count,test_invalid_action_rate,test_turnover,test_exposure_ratio,test_q_scale_mean,test_exploration_bonus_mean,test_exploration_bonus_max,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,cost_loss_mean,novelty_mean,finite
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,51,3,0.95,0.05,0.95,1.0,0.8,0.1,,5000.0,0.7,1.0,0.8,0.05,15.0,0.001,0.9859083008570227,0.6400000000000001,1.0,477,,,16.0,0.0001,0.05,15.416219999999498,1.5416219999999499,2.5259337126231296,3.2253871522630893,0.1478185881363626,2.098619072176167,0,0.006289308176100629,False,False,False,145,0,0.0,3.4737800000000005,0.06007862409560905,0.23887726753575247,0.9316851349133229,0.9859083294868469,-3.7862599999995155,-0.37862599999995156,-1.0683269592234312,0.4119860634007087,-7.752830986284921,0.37862599999995156,0,0.0125,False,False,False,78,0,0.0,1.4962600000000006,0.020316599536802753,0.23509718105196953,0.9430326961658217,0.9859083294868469,19.202479999999014,1.9202479999999014,3.594260671846561,7.9006495744212835,0.018140331842005253,0.1876693546772003,0.09853769391775132,3.3190846437757666,True
ACB,GOOD,EPSILON_GREEDY,env_v3_ucb_warmup_scaled_bonus,Epsilon-Greedy — Battle strategy,epsilon,51,3,0.95,0.05,0.95,,,,1.0,,,,,,,,,,,0,0.95,0.05,,,,-2.6632400000006555,-0.26632400000006556,-0.43389791582469917,1.6609562485387825,-1.4502899477041347,1.1410886285526851,0,0.06918238993710692,False,False,False,139,0,0.0,3.26324,0.025932389129411516,,,,-3.646199999999453,-0.3646199999999453,-1.0289399166751645,0.4119002880753951,-7.646941150876482,0.3646199999999453,0,0.0125,False,False,False,78,0,0.0,1.4962000000000004,0.019738178741684077,,,,0.9829599999987977,0.09829599999987976,0.5950420008504653,6.1966512031723475,0.019458411261439323,,,,True
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,env_v3_ucb_warmup_scaled_bonus,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,ucb,51,3,0.95,0.05,0.95,1.0,0.8,0.1,,5000.0,0.7,1.0,0.8,0.05,15.0,0.001,0.9859083008570227,0.6400000000000001,1.0,477,,,16.0,0.0001,0.05,30.426630000000387,3.0426630000000388,4.985917983029453,3.1355199832435563,0.8929356522882097,2.0489458387130455,0,0.15723270440251572,False,False,False,133,0,0.0,6.38337,0.0733236340501134,0.2684885678613711,0.9386584713773908,0.9859083294868469,-4.959140000000161,-0.4959140000000161,-1.442165397050199,1.7104490166703785,-2.076253862392093,1.1898634024579524,0,0.025,False,False,False,67,0,0.0,3.5991399999999993,0.051363188885634424,0.23852554503828288,0.9376670910553498,0.9859083294868469,35.38577000000055,3.5385770000000547,6.428083380079652,2.969189514680303,0.02309571175525586,0.1914450705051422,0.09862547963857651,3.1246850756081668,True
ACB,BAD,EPSILON_GREEDY,env_v3_ucb_warmup_scaled_bonus,Epsilon-Greedy — Battle strategy,epsilon,51,3,0.95,0.05,0.95,,,,1.0,,,,,,,,,,,0,0.95,0.05,,,,-4.615059999999858,-0.46150599999998576,-0.748099859886564,1.7256643894300774,-1.5751767765186488,1.3757530006526584,0,0.15723270440251572,False,False,False,130,0,0.0,5.855060000000002,0.03782226930533161,,,,2.4737499999999955,0.24737499999999954,0.7245494205410097,1.5308994562263973,-0.7903827206252017,0.5231169105441944,0,0.0375,False,False,False,67,0,0.0,3.4962500000000003,0.050663423852753665,,,,-7.088809999999853,-0.7088809999999853,-1.4726492804275737,-0.7847940558934472,0.023030266010512907,,,,True
