ticker,period,model_key,step,time,portfolio_value
HPG,GOOD,BUY_AND_HOLD,0,2018-12-28,1000.0
HPG,GOOD,BUY_AND_HOLD,1,2019-01-02,994.1665899999999
HPG,GOOD,BUY_AND_HOLD,2,2019-01-03,951.81659
HPG,GOOD,BUY_AND_HOLD,3,2019-01-04,959.07659
HPG,GOOD,BUY_AND_HOLD,4,2019-01-07,946.97659
HPG,GOOD,BUY_AND_HOLD,5,2019-01-08,931.2465900000001
HPG,GOOD,BUY_AND_HOLD,6,2019-01-09,951.81659
HPG,GOOD,BUY_AND_HOLD,7,2019-01-10,961.4965900000001
HPG,GOOD,BUY_AND_HOLD,8,2019-01-11,946.97659
HPG,GOOD,BUY_AND_HOLD,9,2019-01-14,945.76659
HPG,GOOD,BUY_AND_HOLD,10,2019-01-15,945.76659
HPG,GOOD,BUY_AND_HOLD,11,2019-01-16,950.60659
HPG,GOOD,BUY_AND_HOLD,12,2019-01-17,933.6665899999999
HPG,GOOD,BUY_AND_HOLD,13,2019-01-18,943.34659
HPG,GOOD,BUY_AND_HOLD,14,2019-01-21,954.23659
HPG,GOOD,BUY_AND_HOLD,15,2019-01-22,951.81659
HPG,GOOD,BUY_AND_HOLD,16,2019-01-23,969.96659
HPG,GOOD,BUY_AND_HOLD,17,2019-01-24,963.9165899999999
HPG,GOOD,BUY_AND_HOLD,18,2019-01-25,959.07659
HPG,GOOD,BUY_AND_HOLD,19,2019-01-28,960.2865899999999
HPG,GOOD,BUY_AND_HOLD,20,2019-01-29,959.07659
HPG,GOOD,BUY_AND_HOLD,21,2019-01-30,936.08659
HPG,GOOD,BUY_AND_HOLD,22,2019-01-31,894.9465899999999
HPG,GOOD,BUY_AND_HOLD,23,2019-02-01,881.6365900000001
HPG,GOOD,BUY_AND_HOLD,24,2019-02-11,933.6665899999999
HPG,GOOD,BUY_AND_HOLD,25,2019-02-12,951.81659
HPG,GOOD,BUY_AND_HOLD,26,2019-02-13,997.7965899999999
HPG,GOOD,BUY_AND_HOLD,27,2019-02-14,1000.2165900000001
HPG,GOOD,BUY_AND_HOLD,28,2019-02-15,1019.5765900000001
HPG,GOOD,BUY_AND_HOLD,29,2019-02-18,1037.7265899999998
HPG,GOOD,BUY_AND_HOLD,30,2019-02-19,1023.20659
HPG,GOOD,BUY_AND_HOLD,31,2019-02-20,1038.9365899999998
HPG,GOOD,BUY_AND_HOLD,32,2019-02-21,1054.6665899999998
HPG,GOOD,BUY_AND_HOLD,33,2019-02-22,1093.38659
HPG,GOOD,BUY_AND_HOLD,34,2019-02-25,1122.42659
HPG,GOOD,BUY_AND_HOLD,35,2019-02-26,1112.7465900000002
HPG,GOOD,BUY_AND_HOLD,36,2019-02-27,1109.11659
HPG,GOOD,BUY_AND_HOLD,37,2019-02-28,1083.7065900000002
HPG,GOOD,BUY_AND_HOLD,38,2019-03-01,1104.27659
HPG,GOOD,BUY_AND_HOLD,39,2019-03-04,1140.5765900000001
HPG,GOOD,BUY_AND_HOLD,40,2019-03-05,1130.8965900000003
HPG,GOOD,BUY_AND_HOLD,41,2019-03-06,1128.4765899999998
HPG,GOOD,BUY_AND_HOLD,42,2019-03-07,1099.4365899999998
HPG,GOOD,BUY_AND_HOLD,43,2019-03-08,1095.8065900000001
HPG,GOOD,BUY_AND_HOLD,44,2019-03-11,1090.96659
HPG,GOOD,BUY_AND_HOLD,45,2019-03-12,1092.17659
HPG,GOOD,BUY_AND_HOLD,46,2019-03-13,1107.90659
HPG,GOOD,BUY_AND_HOLD,47,2019-03-14,1103.06659
HPG,GOOD,BUY_AND_HOLD,48,2019-03-15,1029.25659
HPG,GOOD,BUY_AND_HOLD,49,2019-03-18,1028.04659
HPG,GOOD,BUY_AND_HOLD,50,2019-03-19,1029.25659
HPG,GOOD,BUY_AND_HOLD,51,2019-03-20,1042.56659
HPG,GOOD,BUY_AND_HOLD,52,2019-03-21,1032.88659
HPG,GOOD,BUY_AND_HOLD,53,2019-03-22,1030.46659
HPG,GOOD,BUY_AND_HOLD,54,2019-03-25,1013.52659
HPG,GOOD,BUY_AND_HOLD,55,2019-03-26,1019.5765900000001
HPG,GOOD,BUY_AND_HOLD,56,2019-03-27,1043.77659
HPG,GOOD,BUY_AND_HOLD,57,2019-03-28,1047.40659
HPG,GOOD,BUY_AND_HOLD,58,2019-03-29,1038.9365899999998
HPG,GOOD,BUY_AND_HOLD,59,2019-04-01,1030.46659
HPG,GOOD,BUY_AND_HOLD,60,2019-04-02,1035.3065900000001
HPG,GOOD,BUY_AND_HOLD,61,2019-04-03,1035.3065900000001
HPG,GOOD,BUY_AND_HOLD,62,2019-04-04,1044.98659
HPG,GOOD,BUY_AND_HOLD,63,2019-04-05,1048.61659
HPG,GOOD,BUY_AND_HOLD,64,2019-04-08,1044.98659
HPG,GOOD,BUY_AND_HOLD,65,2019-04-09,1035.3065900000001
HPG,GOOD,BUY_AND_HOLD,66,2019-04-10,1030.46659
HPG,GOOD,BUY_AND_HOLD,67,2019-04-11,1030.46659
HPG,GOOD,BUY_AND_HOLD,68,2019-04-12,1034.09659
HPG,GOOD,BUY_AND_HOLD,69,2019-04-16,1024.4165899999998
HPG,GOOD,BUY_AND_HOLD,70,2019-04-17,1019.5765900000001
HPG,GOOD,BUY_AND_HOLD,71,2019-04-18,1009.8965900000001
HPG,GOOD,BUY_AND_HOLD,72,2019-04-19,1019.5765900000001
HPG,GOOD,BUY_AND_HOLD,73,2019-04-22,1028.04659
HPG,GOOD,BUY_AND_HOLD,74,2019-04-23,1029.25659
HPG,GOOD,BUY_AND_HOLD,75,2019-04-24,1076.44659
HPG,GOOD,BUY_AND_HOLD,76,2019-04-25,1067.9765899999998
HPG,GOOD,BUY_AND_HOLD,77,2019-04-26,1083.7065900000002
HPG,GOOD,BUY_AND_HOLD,78,2019-05-02,1097.0165899999997
HPG,GOOD,BUY_AND_HOLD,79,2019-05-03,1101.8565899999999
HPG,GOOD,BUY_AND_HOLD,80,2019-05-06,1078.86659
HPG,GOOD,BUY_AND_HOLD,81,2019-05-07,1081.2865900000002
HPG,GOOD,BUY_AND_HOLD,82,2019-05-08,1069.1865899999998
HPG,GOOD,BUY_AND_HOLD,83,2019-05-09,1061.92659
HPG,GOOD,BUY_AND_HOLD,84,2019-05-10,1059.50659
HPG,GOOD,BUY_AND_HOLD,85,2019-05-13,1034.09659
HPG,GOOD,BUY_AND_HOLD,86,2019-05-14,1044.98659
HPG,GOOD,BUY_AND_HOLD,87,2019-05-15,1044.98659
HPG,GOOD,BUY_AND_HOLD,88,2019-05-16,1042.56659
HPG,GOOD,BUY_AND_HOLD,89,2019-05-17,1040.1465900000003
HPG,GOOD,BUY_AND_HOLD,90,2019-05-20,1058.29659
HPG,GOOD,BUY_AND_HOLD,91,2019-05-21,1061.92659
HPG,GOOD,BUY_AND_HOLD,92,2019-05-22,1064.34659
HPG,GOOD,BUY_AND_HOLD,93,2019-05-23,1057.08659
HPG,GOOD,BUY_AND_HOLD,94,2019-05-24,1037.7265899999998
HPG,GOOD,BUY_AND_HOLD,95,2019-05-27,1038.9365899999998
HPG,GOOD,BUY_AND_HOLD,96,2019-05-28,1034.09659
HPG,GOOD,BUY_AND_HOLD,97,2019-05-29,1048.61659
HPG,GOOD,BUY_AND_HOLD,98,2019-05-30,1032.88659
HPG,GOOD,BUY_AND_HOLD,99,2019-05-31,1035.3065900000001
HPG,GOOD,BUY_AND_HOLD,100,2019-06-03,1017.1565899999999
HPG,GOOD,BUY_AND_HOLD,101,2019-06-04,1019.5765900000001
HPG,GOOD,BUY_AND_HOLD,102,2019-06-05,999.0065900000001
HPG,GOOD,BUY_AND_HOLD,103,2019-06-06,953.02659
HPG,GOOD,BUY_AND_HOLD,104,2019-06-07,962.70659
HPG,GOOD,BUY_AND_HOLD,105,2019-06-10,961.4965900000001
HPG,GOOD,BUY_AND_HOLD,106,2019-06-11,965.12659
HPG,GOOD,BUY_AND_HOLD,107,2019-06-12,969.96659
HPG,GOOD,BUY_AND_HOLD,108,2019-06-13,965.12659
HPG,GOOD,BUY_AND_HOLD,109,2019-06-14,962.70659
HPG,GOOD,BUY_AND_HOLD,110,2019-06-17,942.1365900000001
HPG,GOOD,BUY_AND_HOLD,111,2019-06-18,967.54659
HPG,GOOD,BUY_AND_HOLD,112,2019-06-19,1000.2165900000001
HPG,GOOD,BUY_AND_HOLD,113,2019-06-20,990.53659
HPG,GOOD,BUY_AND_HOLD,114,2019-06-21,994.1665899999999
HPG,GOOD,BUY_AND_HOLD,115,2019-06-24,979.6465900000001
HPG,GOOD,BUY_AND_HOLD,116,2019-06-25,969.96659
HPG,GOOD,BUY_AND_HOLD,117,2019-06-26,961.4965900000001
HPG,GOOD,BUY_AND_HOLD,118,2019-06-27,946.97659
HPG,GOOD,BUY_AND_HOLD,119,2019-06-28,985.6965899999999
HPG,GOOD,BUY_AND_HOLD,120,2019-07-01,965.12659
HPG,GOOD,BUY_AND_HOLD,121,2019-07-02,948.18659
HPG,GOOD,BUY_AND_HOLD,122,2019-07-03,930.0365899999999
HPG,GOOD,BUY_AND_HOLD,123,2019-07-04,936.08659
HPG,GOOD,BUY_AND_HOLD,124,2019-07-05,936.08659
HPG,GOOD,BUY_AND_HOLD,125,2019-07-08,913.09659
HPG,GOOD,BUY_AND_HOLD,126,2019-07-09,896.15659
HPG,GOOD,BUY_AND_HOLD,127,2019-07-10,896.15659
HPG,GOOD,BUY_AND_HOLD,128,2019-07-11,904.62659
HPG,GOOD,BUY_AND_HOLD,129,2019-07-12,919.14659
HPG,GOOD,BUY_AND_HOLD,130,2019-07-15,900.9965900000001
HPG,GOOD,BUY_AND_HOLD,131,2019-07-16,907.04659
HPG,GOOD,BUY_AND_HOLD,132,2019-07-17,896.15659
HPG,GOOD,BUY_AND_HOLD,133,2019-07-18,879.21659
HPG,GOOD,BUY_AND_HOLD,134,2019-07-19,864.6965899999999
HPG,GOOD,BUY_AND_HOLD,135,2019-07-22,871.95659
HPG,GOOD,BUY_AND_HOLD,136,2019-07-23,910.67659
HPG,GOOD,BUY_AND_HOLD,137,2019-07-24,904.62659
HPG,GOOD,BUY_AND_HOLD,138,2019-07-25,939.71659
HPG,GOOD,BUY_AND_HOLD,139,2019-07-26,946.97659
HPG,GOOD,BUY_AND_HOLD,140,2019-07-29,927.61659
HPG,GOOD,BUY_AND_HOLD,141,2019-07-30,902.20659
HPG,GOOD,BUY_AND_HOLD,142,2019-07-31,946.97659
HPG,GOOD,BUY_AND_HOLD,143,2019-08-01,948.18659
HPG,GOOD,BUY_AND_HOLD,144,2019-08-02,942.1365900000001
HPG,GOOD,BUY_AND_HOLD,145,2019-08-05,930.0365899999999
HPG,GOOD,BUY_AND_HOLD,146,2019-08-06,913.09659
HPG,GOOD,BUY_AND_HOLD,147,2019-08-07,927.61659
HPG,GOOD,BUY_AND_HOLD,148,2019-08-08,977.2265899999999
HPG,GOOD,BUY_AND_HOLD,149,2019-08-09,969.96659
HPG,GOOD,BUY_AND_HOLD,150,2019-08-12,990.53659
HPG,GOOD,BUY_AND_HOLD,151,2019-08-13,984.48659
HPG,GOOD,BUY_AND_HOLD,152,2019-08-14,984.48659
HPG,GOOD,BUY_AND_HOLD,153,2019-08-15,976.01659
HPG,GOOD,BUY_AND_HOLD,154,2019-08-16,967.54659
HPG,GOOD,BUY_AND_HOLD,155,2019-08-19,967.54659
HPG,GOOD,BUY_AND_HOLD,156,2019-08-20,961.4965900000001
HPG,GOOD,BUY_AND_HOLD,157,2019-08-21,973.59659
HPG,GOOD,BUY_AND_HOLD,158,2019-08-22,967.54659
HPG,GOOD,BUY_AND_HOLD,159,2019-08-23,982.06659
HPG,GOOD,BUY_AND_HOLD,160,2019-08-26,956.65659
HPG,GOOD,BUY_AND_HOLD,161,2019-08-27,939.71659
HPG,GOOD,BUY_AND_HOLD,162,2019-08-28,933.6665899999999
HPG,GOOD,BUY_AND_HOLD,163,2019-08-29,930.0365899999999
HPG,GOOD,BUY_AND_HOLD,164,2019-08-30,932.45659
HPG,GOOD,BUY_AND_HOLD,165,2019-09-03,909.46659
HPG,GOOD,BUY_AND_HOLD,166,2019-09-04,907.04659
HPG,GOOD,BUY_AND_HOLD,167,2019-09-05,910.67659
HPG,GOOD,BUY_AND_HOLD,168,2019-09-06,898.57659
HPG,GOOD,BUY_AND_HOLD,169,2019-09-09,890.10659
HPG,GOOD,BUY_AND_HOLD,170,2019-09-10,893.73659
HPG,GOOD,BUY_AND_HOLD,171,2019-09-11,925.1965899999999
HPG,GOOD,BUY_AND_HOLD,172,2019-09-12,946.97659
HPG,GOOD,BUY_AND_HOLD,173,2019-09-13,948.18659
HPG,GOOD,BUY_AND_HOLD,174,2019-09-16,950.60659
HPG,GOOD,BUY_AND_HOLD,175,2019-09-17,953.02659
HPG,GOOD,BUY_AND_HOLD,176,2019-09-18,965.12659
