ticker,period,model_key,model,seed,episode,split,control,profit,roi,arr,volatility,sharpe,max_drawdown,violations
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,1,train,0.03,-222.5464199999999,-22.25464199999999,-2.7601235028929305,29.723335120157586,-0.013461393743886937,73.38943108859412,47
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,1,test,0.03,-83.09135000000026,-8.309135000000026,-4.281933233128521,31.827488567709484,-0.04123975128567351,29.615785476015237,11
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,2,train,0.027,-222.83872000000008,-22.283872000000006,-2.764189117159288,29.685842482095552,-0.013974527369889935,73.39822619313266,48
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,2,test,0.027,-84.06295000000011,-8.40629500000001,-4.3331156836633244,31.833347673186275,-0.04285862665991504,29.691866474558754,11
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,3,train,0.024300000000000002,-217.09489999999994,-21.709489999999995,-2.6845459373043834,29.6842667297874,-0.011212706163437544,73.42812225698636,48
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,3,test,0.024300000000000002,-84.06295000000011,-8.40629500000001,-4.3331156836633244,31.833347673186275,-0.04285862665991504,29.691866474558754,11
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,4,train,0.02187,-217.23744,-21.723744,-2.6865160879630534,29.65105374807393,-0.011626646323350552,73.42812225698636,48
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,4,test,0.02187,-84.06295000000011,-8.40629500000001,-4.3331156836633244,31.833347673186275,-0.04285862665991504,29.691866474558754,11
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,5,train,0.019683,-188.57785999999976,-18.857785999999976,-2.2966599916618757,29.459715159111983,5.89395176276317e-05,73.32319431819111,46
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,5,test,0.019683,-84.06295000000011,-8.40629500000001,-4.3331156836633244,31.833347673186275,-0.04285862665991504,29.691866474558754,11
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,6,train,0.0177147,-190.56650999999965,-19.056650999999967,-2.3233131851165933,29.475706280958853,-0.000702309360870161,73.45809551012663,47
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,6,test,0.0177147,-84.06295000000011,-8.40629500000001,-4.3331156836633244,31.833347673186275,-0.04285862665991504,29.691866474558754,11
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,7,train,0.015943230000000003,-202.1533099999998,-20.21533099999998,-2.479774561345649,29.58223426288485,-0.005114844686537528,73.29406724479892,47
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,7,test,0.015943230000000003,-84.06295000000011,-8.40629500000001,-4.3331156836633244,31.833347673186275,-0.04285862665991504,29.691866474558754,11
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,8,train,0.014348907000000001,-209.37434000000007,-20.937434000000007,-2.578307748119446,29.70219781299978,-0.007325012898456692,73.28497607371696,47
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — vae_019 + ucb_009,41,8,test,0.014348907000000001,-84.06295000000011,-8.40629500000001,-4.3331156836633244,31.833347673186275,-0.04285862665991504,29.691866474558754,11
